N	4gram	Vinokur_Ku_2	Dialekti
1	в то же время	3	4
2	сама по себе не	1	3
3	т д и т	1	2
4	да и то не	1	2
5	и с другой стороны	1	2
6	не может и не	1	2
7	и т д и	1	2
8	несмотря на то что	1	2
9	в голову не приходит	1	1
10	и тем не менее	4	1
11	я имею в виду	1	1
12	дело в том что	1	1
13	свой смысл и свое	1	1
14	и т д или	1	1
15	одной и той же	1	1
16	всяком случае гораздо более	1	1
17	не что иное как	1	1
18	в то время как	1	1
19	иметь в виду что	1	1
20	может и не должен	1	1
21	потому что он не	1	1
22	и в голову не	1	1
23	и т д в	1	1
24	само по себе не	1	1
25	есть не что иное	1	1
26	во всяком случае гораздо	1	1
27	в связи с этим	1	1
