N	3gram	Voloshinov_1	Sovremen
1	мы не можем	1	6
2	с точки зрения	6	5
3	не может быть	3	4
4	с самого начала	4	3
5	друг с другом	1	2
6	во всяком случае	3	2
7	через некоторое время	1	2
8	так как он	1	2
9	то же самое	1	2
10	и может быть	2	1
11	что иное как	1	1
12	и в этом	2	1
13	по крайней мере	3	1
14	уже знаем что	1	1
15	не могут быть	2	1
16	а в конце	1	1
17	всяком случае не	1	1
18	в связи с	1	1
19	не дает нам	1	1
20	дело в том	1	1
21	одна и та	1	1
22	на самом деле	4	1
23	могут быть поняты	1	1
24	может быть сведен	1	1
25	он может быть	1	1
26	в этом смысле	3	1
27	так же как	2	1
28	теперь мы должны	1	1
29	в свое время	1	1
30	шаг за шагом	1	1
31	а потом и	1	1
32	быть сведен без	1	1
33	давая себе даже	1	1
34	и ни в	1	1
35	сведен без остатка	1	1
36	до сих пор	3	1
37	вместе с ним	1	1
38	только одна из	1	1
39	по аналогии с	2	1
40	друг на друга	2	1
41	бы то ни	1	1
42	и та же	1	1
43	а может быть	1	1
44	не давая себе	1	1
45	но отнюдь не	2	1
46	в конечном счете	2	1
47	совершенно так же	1	1
48	можно было бы	1	1
49	в самом деле	2	1
50	по его мнению	1	1
51	все же в	1	1
52	мы по крайней	1	1
53	той или иной	1	1
54	что же делает	1	1
55	и прежде всего	1	1
56	мы знаем что	1	1
57	но мы знаем	1	1
58	может быть только	1	1
59	на другую и	1	1
60	конечном счете только	1	1
61	зрения может быть	1	1
62	не что иное	1	1
63	но мы уже	1	1
64	со всеми его	1	1
65	мы уже знаем	1	1
66	в том что	1	1
67	в данном случае	1	1
68	никакому сомнению что	1	1
69	то ни было	1	1
70	с одной стороны	1	1
71	ничего общего не	1	1
72	а в некоторых	1	1
