N	3gram	Losev_Dial_3	VelikijI
1	то что мы	3	3
2	к тому что	2	3
3	в нем нет	1	2
4	не в силах	1	2
5	в вопросе о	2	2
6	в том что	3	2
7	и т д	23	2
8	я думаю что	1	1
9	тогда нет и	4	1
10	и во всяком	1	1
11	что все в	1	1
12	т д и	6	1
13	и есть то	1	1
14	в этом мире	1	1
15	как не есть	1	1
16	свою личность как	1	1
17	если бог не	1	1
18	в разные эпохи	1	1
19	бы то ни	1	1
20	нем нет никакого	1	1
21	если оно не	1	1
22	есть одна из	1	1
23	и можно ли	2	1
24	по крайней мере	5	1
25	есть то что	5	1
26	нет ничего и	1	1
27	того что он	3	1
28	и в этом	2	1
29	все что было	1	1
30	не могут быть	2	1
31	уже и не	1	1
32	с другой стороны	2	1
33	личности и ее	1	1
34	д и т	5	1
35	потому что их	1	1
36	и все это	1	1
37	и никогда не	1	1
38	оно не имеет	1	1
39	от бога и	1	1
40	и что в	1	1
41	как и в	3	1
42	и в вопросе	1	1
