N	2gram	Tiupa_Disk_2	Poddanst
1	не только	10	17
2	и в	16	14
3	и не	15	12
4	в области	2	11
5	в этом	16	10
6	в качестве	16	9
7	но в	11	9
8	то же	6	9
9	в том	8	9
10	в пределах	4	8
11	только в	3	7
12	в то	5	7
13	же время	5	7
14	в ней	2	6
15	xix века	1	6
16	но и	11	6
17	в которых	1	5
18	с другой	5	5
19	может быть	16	5
20	не в	3	5
21	а также	8	4
22	в своем	5	4
23	как бы	4	4
24	но также	1	4
25	том что	10	4
26	не может	9	4
27	в котором	3	4
28	на пути	1	4
29	в русской	3	4
30	что в	5	4
31	же в	1	4
32	а в	2	4
33	то что	5	4
34	мы не	1	3
35	сводится к	2	3
36	столь же	3	3
37	между тем	2	3
38	это не	3	3
39	хотя и	1	3
40	и как	3	3
41	с одной	4	3
42	в себе	19	3
43	в нем	7	3
44	прежде всего	7	3
45	одной стороны	4	3
46	с точки	2	3
47	но не	7	3
48	могут быть	3	3
49	тем самым	6	3
50	потому что	4	3
51	точки зрения	4	3
52	я и	4	3
53	и это	2	2
54	например в	3	2
55	в ее	1	2
56	переход от	1	2
57	и есть	1	2
58	в мире	11	2
59	было в	3	2
60	есть не	1	2
61	в сочетании	2	2
62	одних и	1	2
63	в глубинах	1	2
64	только это	1	2
65	никак не	1	2
66	не нужно	2	2
67	время в	2	2
68	в значительной	1	2
69	во всех	1	2
70	говорить о	2	2
71	если в	1	2
72	со стороны	10	2
73	из важнейших	2	2
74	в е	1	2
75	отнюдь не	6	2
76	того что	1	2
77	стороны и	2	2
78	и весьма	1	2
79	к чему	1	2
80	есть в	2	2
81	в его	3	2
82	из них	3	2
83	не к	2	2
84	в силу	1	2
85	и с	2	2
86	точек зрения	1	2
87	полной мере	1	2
88	именно в	2	2
89	мира с	2	2
90	в жизни	1	2
91	в них	3	2
92	не было	3	2
93	а не	14	2
94	в ряду	2	2
95	должно быть	2	2
96	человеческого счастья	1	2
97	более чем	2	2
98	не столько	3	2
99	в а	1	2
100	что из	1	2
101	не менее	7	2
102	своем значении	1	2
103	все это	2	2
104	не о	2	2
105	одна из	1	2
106	слова но	1	2
107	мысль о	3	2
108	да и	1	2
109	в полной	1	2
110	еще более	1	2
111	заключает в	2	2
112	может и	2	2
113	в частности	12	2
114	имеет не	1	2
115	как на	3	2
116	том числе	1	2
117	которых не	2	1
118	в применении	1	1
119	также и	3	1
120	же как	2	1
121	открытым для	1	1
122	и то	4	1
123	и героическую	1	1
124	и леса	1	1
125	в иных	1	1
126	в себя	2	1
127	по преимуществу	2	1
128	к жизни	3	1
129	на две	1	1
130	к смерти	1	1
131	применении к	1	1
132	должна быть	2	1
133	его нет	1	1
134	поэзии и	1	1
135	не с	2	1
136	по природе	2	1
137	и само	1	1
138	еще в	3	1
139	преимущественно к	1	1
140	в эпоху	1	1
141	для этого	1	1
142	в собственном	1	1
143	не вполне	1	1
144	с ее	2	1
145	и ее	3	1
146	в некотором	1	1
147	и здесь	1	1
148	может не	1	1
149	и что	1	1
150	еще не	6	1
151	были бы	1	1
152	и на	5	1
153	он был	1	1
154	вечности и	1	1
155	с его	6	1
156	восходит к	3	1
157	грань между	1	1
158	что и	2	1
159	отличие от	12	1
160	не просто	1	1
161	в истории	1	1
162	в рамках	7	1
163	и мир	1	1
164	вот как	1	1
165	в современной	1	1
166	такова же	1	1
167	все же	6	1
168	это область	1	1
169	в какой	1	1
170	должен быть	1	1
