N	2gram	Bakhtin_sl_2	Problemy
1	и в	39	34
2	и не	22	29
3	как бы	7	27
4	что он	2	23
5	в его	7	22
6	в нем	19	19
7	может быть	37	19
8	не может	20	19
9	и все	5	19
10	как и	6	18
11	о себе	1	18
12	к себе	1	17
13	в этом	16	16
14	но в	6	16
15	и его	33	16
16	все это	16	16
17	он не	2	15
18	и с	9	15
19	прежде всего	8	15
20	то же	4	14
21	к нему	3	14
22	для него	7	13
23	по замыслу	2	12
24	и к	6	12
25	в то	4	12
26	же время	4	12
27	но и	21	12
28	в сущности	6	11
29	вовсе не	10	11
30	с другим	1	11
31	себя самого	1	11
32	то что	2	11
33	не только	24	10
34	слова и	8	10
35	не в	9	9
36	в отношении	4	9
37	героя и	5	9
38	а не	14	9
39	и т	35	8
40	с самого	1	8
41	самого начала	1	8
42	никогда не	7	8
43	в речах	2	8
44	с ним	7	8
45	в другом	2	8
46	в самом	1	8
47	себя и	4	8
48	и слово	2	8
49	и для	5	8
50	точки зрения	8	8
51	на него	2	7
52	как мы	7	7
53	слова в	13	7
54	и даже	7	7
55	что не	1	7
56	с которым	2	7
57	там где	6	7
58	этого слова	1	7
59	все же	6	7
60	отношении к	4	7
61	что в	3	7
62	мы уже	2	6
63	и на	4	6
64	с его	7	6
65	отношение к	4	6
66	своему предмету	5	6
67	в пределах	13	6
68	в плане	5	6
69	так и	15	6
70	в себе	2	6
71	только в	5	6
72	т п	33	6
73	стремится к	3	6
74	от него	5	6
75	с ними	5	6
76	не знает	2	6
77	отношению к	4	6
78	на них	2	5
79	он сам	1	5
80	в чем	3	5
81	по отношению	4	5
82	чужого слова	40	5
83	и наконец	5	5
84	в целом	1	5
85	но все	5	5
86	лишь в	3	5
87	на протяжении	2	5
88	в слове	6	5
89	нему и	1	5
90	в конце	1	5
91	даже в	2	5
92	это слово	1	5
93	таким образом	8	5
94	и сам	1	5
95	и что	1	5
96	что и	3	5
97	это не	5	5
98	все время	1	5
99	того что	1	5
100	всяком случае	2	5
101	в одном	2	5
102	к своему	9	5
103	дело идет	2	5
104	и от	3	5
105	хотя бы	3	5
106	а в	4	5
107	героя в	3	5
108	во всяком	3	5
109	с таким	2	4
110	он как	1	4
111	еще не	7	4
112	но не	6	4
113	но как	2	4
114	как в	13	4
115	героев достоевского	1	4
116	бы и	3	4
117	он в	1	4
118	все эти	6	4
119	но на	1	4
120	на его	2	4
121	при этом	7	4
122	в диалогах	2	4
123	на этом	3	4
124	в мире	1	4
125	его в	4	4
126	с другими	4	4
127	ни в	4	4
128	рядом с	3	4
129	все равно	1	4
130	его слово	15	4
131	с точки	3	4
132	но это	3	4
133	ничего не	1	4
134	как раз	1	4
135	стиль и	1	4
136	его внутренней	1	4
137	и это	1	4
138	свое слово	2	4
139	только на	1	4
140	в виде	2	4
141	так как	4	4
142	не о	1	4
143	у него	3	4
144	протяжении всего	1	4
145	даже и	4	4
146	с другой	5	4
147	тем что	1	4
148	человека как	1	4
149	вместе с	2	4
150	слова о	2	4
151	да и	1	4
152	как к	3	4
153	к чужому	3	4
154	из своего	1	4
155	слово героя	2	4
156	в такой	1	3
157	за собой	1	3
158	ведь и	2	3
159	сливается с	4	3
160	стиля в	1	3
161	говорить о	3	3
162	в виду	1	3
163	в ней	3	3
164	что его	1	3
165	совсем не	1	3
166	ивана карамазова	1	3
167	в одной	1	3
168	романах достоевского	1	3
169	хотя и	2	3
170	и как	3	3
171	уже в	2	3
172	ее как	1	3
173	как он	2	3
174	он ни	1	3
175	без исключения	1	3
176	в каждом	1	3
177	знает что	1	3
178	это было	1	3
179	оно стремится	2	3
180	его и	2	3
181	достоевского и	1	3
182	далеко не	2	3
183	этого не	1	3
184	собственного слова	1	3
185	мы видели	2	3
186	должно быть	1	3
187	его слова	7	3
188	такой же	1	3
189	в своей	1	3
190	другим и	1	3
191	самого героя	1	3
192	не менее	4	3
193	но он	2	3
194	по себе	5	3
195	с миром	1	3
196	том что	5	3
197	которого он	2	3
198	признания и	1	3
199	во всем	4	3
200	уже говорили	1	3
201	слова с	4	3
202	с ее	2	3
203	два голоса	2	3
204	характер и	1	3
205	еще в	1	3
206	для этого	4	3
207	между тем	3	3
208	наконец в	4	3
209	в него	7	3
210	в том	5	3
211	большинстве случаев	5	3
212	нуждается в	2	3
213	как такового	1	3
214	к самому	1	3
215	до конца	17	3
216	в последующем	1	3
217	эти слова	2	3
218	со словом	5	3
219	установкой на	3	3
220	в романах	3	3
221	слов в	2	3
222	чужой голос	1	3
223	словом и	8	3
224	сознания и	1	3
225	лишь о	2	3
226	это как	1	3
227	но зато	1	3
228	только с	2	3
229	другой стороны	1	3
230	жизни и	6	3
231	и стилей	2	2
232	от этой	1	2
233	слово конечно	1	2
234	например в	5	2
235	себя как	1	2
236	он может	1	2
237	это и	2	2
238	все те	1	2
239	и этот	1	2
240	той же	3	2
241	а как	1	2
242	он знает	1	2
243	себе как	2	2
244	и свой	1	2
245	та же	1	2
246	время от	1	2
247	героя но	1	2
248	на тему	1	2
249	свой предмет	1	2
250	того же	1	2
251	слово не	1	2
252	во всех	12	2
253	слово другого	1	2
254	в сторону	1	2
255	отличие от	13	2
256	за пределы	2	2
257	сама по	3	2
258	материалом для	1	2
259	с этим	2	2
260	в своем	6	2
261	и слова	5	2
262	и внутреннюю	1	2
263	увидим что	1	2
264	свой голос	2	2
265	в большинстве	6	2
266	чужое слово	10	2
267	диалог в	2	2
268	можно лишь	1	2
269	так сказать	6	2
270	вообще не	1	2
271	т д	2	2
272	а просто	2	2
273	всех этих	4	2
274	а вовсе	2	2
275	пределах одного	7	2
276	те же	2	2
277	входит в	4	2
278	диалога в	1	2
279	то все	1	2
280	мог бы	1	2
281	в них	6	2
282	что такое	1	2
283	этого необходимо	1	2
284	она в	1	2
285	от времени	1	2
286	в отличие	12	2
287	завершенный образ	1	2
288	которые в	2	2
289	тем не	1	2
290	по ту	1	2
291	речи в	1	2
292	однако в	2	2
293	между двумя	1	2
294	в той	4	2
295	выступает здесь	2	2
296	почти все	2	2
297	голосов но	1	2
298	его целом	1	2
299	этими двумя	1	2
300	его собственного	1	2
301	чем не	2	2
302	и без	1	2
303	слова как	2	2
304	этом случае	6	2
305	к ней	2	2
306	же он	1	2
307	же слова	1	2
308	о нем	2	2
309	слова его	5	2
310	входят в	2	2
311	не слышит	1	2
312	и со	1	2
313	не является	1	2
314	нет ни	1	2
315	отнюдь не	1	2
316	лежит в	1	2
317	отличается от	2	2
318	как для	3	2
319	той или	5	2
