N	3gram	Ircho_Kome_3	FransuaR
1	то же время	4	10
2	в то же	4	10
3	до сих пор	9	8
4	в том что	9	6
5	и в то	1	5
6	сих пор еще	1	4
7	в настоящее время	1	3
8	в том числе	1	3
9	таким образом и	1	3
10	в связи с	3	3
11	более или менее	1	2
12	и до сих	1	2
13	с точки зрения	3	2
14	бы то ни	2	2
15	том числе и	1	2
16	по своему характеру	1	2
17	с одной стороны	3	2
18	в то время	2	2
19	о том что	4	2
20	в этих условиях	1	2
21	можно сказать что	1	2
22	с другой стороны	2	2
23	для того чтобы	6	2
24	том что она	1	1
25	таким образом что	1	1
26	но и все	1	1
27	многие из которых	1	1
28	по отношению к	3	1
29	того чтобы показать	1	1
30	и как раз	1	1
31	в самом деле	6	1
32	подобно тому как	1	1
33	не похож на	1	1
34	во время своего	1	1
35	сих пор они	1	1
36	в некоторых случаях	1	1
37	одной стороны и	1	1
38	нет ничего более	1	1
39	и во многом	1	1
40	вместе с тем	3	1
41	в отличие от	1	1
42	в этом отношении	2	1
43	на его глазах	1	1
44	когда он был	1	1
45	мы еще вернемся	1	1
46	но в их	1	1
47	и в частности	1	1
48	о том как	3	1
49	в отношениях между	1	1
50	в самом начале	1	1
51	то ни было	2	1
52	нашей работы в	1	1
53	состоит в том	2	1
54	так и в	1	1
55	но при этом	1	1
56	и в отношении	1	1
57	обстоит дело с	2	1
58	и в этом	1	1
59	по сравнению с	2	1
60	и с этой	2	1
61	к которой мы	1	1
62	как бы в	1	1
63	в свое время	1	1
64	мы можем судить	1	1
65	нет ни одного	1	1
66	речь шла о	2	1
67	он был бы	1	1
68	своего отца в	1	1
69	ничего более далекого	1	1
70	с самого начала	4	1
71	и в самом	3	1
72	вопрос о том	1	1
73	речь идет о	3	1
74	прежде всего это	1	1
75	после того как	1	1
76	более далекого от	1	1
77	в этой комедии	1	1
78	друг за другом	1	1
79	друг с другом	1	1
80	но если бы	1	1
81	к тому же	4	1
82	как мы знаем	1	1
83	то же самое	3	1
