N	3gram	Tiupa_Hudo_1	UchenyiS
1	в конечном счете	5	4
2	не может быть	3	4
3	в то же	5	3
4	бы то ни	1	3
5	то же время	5	3
6	с другой стороны	5	3
7	то ни было	1	3
8	и в этой	1	2
9	в этом смысле	3	2
10	не могут быть	1	2
11	в художественном произведении	1	2
12	тех или иных	2	2
13	в противном случае	2	2
14	в том что	7	2
15	то же самое	1	2
16	по крайней мере	1	2
17	этого термина не	1	1
18	так или иначе	3	1
19	с одной стороны	2	1
20	этом смысле можно	1	1
21	более или менее	5	1
22	по себе еще	1	1
23	в его эстетической	1	1
24	говоря иначе в	1	1
25	мы имеем в	3	1
26	в широком и	1	1
27	и некоторыми другими	1	1
28	научному анализу и	1	1
29	и в то	1	1
30	можно сказать что	3	1
31	в эстетический объект	2	1
32	быть не может	1	1
33	искусства в его	1	1
34	не входит в	1	1
35	имеем в виду	3	1
36	является одним из	1	1
37	и прежде всего	1	1
38	эстетического объекта и	1	1
39	что такое искусство?	1	1
40	том что она	1	1
41	в этом случае	1	1
42	это было бы	1	1
43	произведения искусства как	1	1
44	на первый взгляд	1	1
45	не только к	1	1
46	входит в эстетический	1	1
