N	3gram	Bakhtin_KF_1	VelikijI
1	все что есть	1	3
2	к тому что	1	3
3	то что я	2	2
4	бы и не	2	2
5	вместо того чтобы	1	2
6	в том что	2	2
7	но прежде всего	1	1
8	никогда не было	1	1
9	пред тобой и	1	1
10	в этом мире	1	1
11	отрываю себя от	1	1
12	хотя бы и	1	1
13	и должна быть	1	1
14	бы то ни	2	1
15	лишь в процессе	1	1
16	вместе с тем	1	1
17	единственного бытия в	4	1
18	в известном смысле	1	1
19	и в этом	3	1
20	ее и в	1	1
21	и менее всего	1	1
22	на этом пути	1	1
23	истина не нужна	1	1
24	раз и навсегда	2	1
25	это факт моего	1	1
26	в своей истории	1	1
27	менее всего можно	1	1
28	но и тут	1	1
