N	3gram	Kanaev_Sov_1	FransuaR
1	то же время	1	9
2	в то же	1	9
3	в свою очередь	2	3
4	как мы видим	1	3
5	с точки зрения	5	3
6	в том что	1	3
7	дело в том	1	2
8	по отношению к	1	2
9	можно было бы	1	2
10	и есть то	1	2
11	и благодаря этому	1	2
12	в свое время	1	2
13	и все те	1	1
14	и может быть	1	1
15	что иное как	1	1
16	до наших дней	1	1
17	на самом деле	1	1
18	то же самое	2	1
19	мы уже знаем	1	1
20	со всеми ее	1	1
21	уже знаем что	1	1
22	таким образом все	1	1
23	ведь это не	1	1
24	по аналогии с	1	1
25	все же в	1	1
26	на этот вопрос	1	1
27	а в конце	1	1
28	не подлежит сомнению	2	1
29	не что иное	1	1
30	в данном случае	1	1
31	со всеми его	1	1
32	и в этом	1	1
33	и во всей	1	1
34	в связи с	1	1
35	есть не что	1	1
36	вместе с ним	1	1
37	во всяком случае	2	1
38	как и во	1	1
39	с самого начала	3	1
40	через все стадии	1	1
41	и прежде всего	1	1
42	понимают все те	1	1
43	что в каждом	1	1
44	в этом смысле	1	1
45	мы не знаем	1	1
46	мы видим что	1	1
47	в себе в	1	1
48	на другой день	1	1
