N	3gram	Savitsky_P_1	Myslijsy
1	более или менее	1	8
2	сами по себе	3	7
3	во всяком случае	1	7
4	в том что	4	7
5	не было бы	1	4
6	заключает в себе	2	4
7	с одной стороны	3	3
8	и т д	1	3
9	место в ряду	1	2
10	есть прежде всего	1	2
11	можно думать что	1	2
12	для того кто	1	2
13	не в том	1	2
14	с другой стороны	1	2
15	для того чтобы	1	2
16	то же время	7	2
17	само по себе	1	2
18	не может быть	1	2
19	в этом смысле	1	2
20	в то же	7	2
21	в сравнении с	3	2
22	многие из тех	1	1
23	что то же	1	1
24	есть для нас	1	1
25	одной стороны и	2	1
26	распадается на две	1	1
27	в наших глазах	1	1
28	этой последней в	1	1
29	в отличие от	1	1
30	прочим потому что	1	1
31	в собственном смысле	1	1
32	и не может	1	1
33	в законченные и	1	1
34	бы она ни	1	1
35	в нем в	1	1
36	вместе с тем	1	1
37	что во всех	1	1
38	в применении к	1	1
39	по сравнению с	1	1
40	то что происходит	1	1
41	между тем в	1	1
42	как бы она	1	1
43	и быть может	1	1
44	потому что есть	1	1
45	далеко не все	1	1
46	между прочим потому	1	1
47	и тем самым	1	1
48	в том виде	1	1
49	мы знаем что	1	1
50	не прийти к	1	1
51	до тех пор	1	1
52	в большинстве случаев	1	1
53	во многих случаях	1	1
54	и в этом	1	1
