N	3gram	Losev_Vlad_1	VelikijI
1	за то что	1	3
2	к тому что	1	3
3	том что он	2	2
4	в том что	7	2
5	и т д	2	2
6	отношение к богу	1	1
7	и вообще в	1	1
8	что все в	1	1
9	да и то	1	1
10	людей но и	1	1
11	бы то ни	1	1
12	вместе с тем	1	1
13	что он был	1	1
14	жил и в	1	1
15	от него в	1	1
16	в конце концов	3	1
17	и в этом	1	1
18	может быть этот	1	1
19	с другой стороны	3	1
20	раз и навсегда	1	1
21	так и в	1	1
22	и вместе с	1	1
23	потому что их	1	1
24	и теперь в	1	1
25	и все это	1	1
26	и никогда не	1	1
27	в тот день	1	1
28	и что в	1	1
29	в жизни и	1	1
