N	2gram	Losev_Vlad_3	Tvorches
1	и в	40	20
2	в году	10	16
3	не только	25	13
4	никогда не	11	11
5	как бы	3	11
6	таким образом	11	10
7	в то	7	10
8	в его	14	10
9	и его	10	9
10	там же	7	9
11	же с	7	9
12	и не	25	9
13	при этом	3	8
14	и с	9	8
15	в том	18	8
16	может быть	8	8
17	в этом	16	8
18	прежде всего	10	8
19	но и	18	8
20	м с	2	7
21	то же	4	7
22	это не	3	7
23	представление о	1	7
24	же время	2	7
25	наряду с	2	7
26	года в	1	7
27	потому что	11	7
28	не может	14	7
29	xix века	6	7
30	что в	17	7
31	в целом	2	6
32	как и	7	6
33	в своей	9	6
34	что он	5	6
35	так и	6	6
36	в конце	12	6
37	у него	24	6
38	именно в	3	6
39	а не	8	6
40	в основном	4	6
41	все это	1	6
42	например в	1	5
43	еще не	4	5
44	и на	6	5
45	но не	4	5
46	все же	4	5
47	в этой	8	5
48	и сам	1	5
49	в мире	2	5
50	то есть	24	5
51	о том	11	5
52	и даже	6	5
53	в творчестве	1	5
54	но это	6	5
55	так же	8	5
56	мы не	2	4
57	все эти	5	4
58	что они	1	4
59	отнюдь не	5	4
60	как в	1	4
61	хотя и	7	4
62	когда он	1	4
63	но в	4	4
64	не в	3	4
65	в дальнейшем	4	4
66	что она	2	4
67	об этом	6	4
68	года и	1	4
69	если бы	3	4
70	тем самым	2	4
71	ничего не	5	4
72	в духе	3	4
73	в чем	3	4
74	мы видим	1	4
75	января года	4	4
76	в душе	1	4
77	а в	7	4
78	марта года	1	4
79	если не	6	4
80	и потому	10	4
81	в терминах	1	4
82	и от	6	4
83	том что	18	4
84	но у	2	4
85	же как	3	3
86	человека и	3	3
87	по мнению	4	3
88	с большим	3	3
89	он сам	2	3
90	а с	4	3
91	это определение	1	3
92	в себе	9	3
93	в нем	3	3
94	он не	8	3
95	в плане	1	3
96	его в	2	3
97	и мы	1	3
98	но уже	2	3
99	в самом	4	3
100	в котором	4	3
101	в их	2	3
102	место в	1	3
103	в которых	1	3
104	заставляет нас	1	3
105	тем что	5	3
106	одна из	1	3
107	и это	6	3
108	до сих	1	3
109	апреля года	1	3
110	уже не	9	3
111	в начале	2	3
112	для него	8	3
113	так как	7	3
114	то что	28	3
115	и др	1	3
116	в свете	1	3
117	вместе с	7	3
118	с этой	2	3
119	сих пор	1	3
120	нет ничего	2	3
121	один из	1	3
122	не является	2	3
123	но зато	1	3
124	одной из	2	3
125	в своих	7	3
126	к этому	2	3
127	в таком	3	3
128	как известно	1	2
129	таком случае	2	2
130	начинается с	1	2
131	самом деле	1	2
132	и есть	1	2
133	по преимуществу	2	2
134	он всегда	2	2
135	этот факт	1	2
136	я не	3	2
137	и он	1	2
138	в ее	1	2
139	они имеют	1	2
140	тут же	5	2
141	нет и	1	2
142	во многом	2	2
143	во что	2	2
144	так что	14	2
145	в истории	5	2
146	и поэтому	1	2
147	и наконец	2	2
148	в этот	2	2
149	но эта	1	2
150	в которой	2	2
151	бы не	1	2
152	тоже не	5	2
153	тому же	5	2
154	так сказать	1	2
155	и если	7	2
156	наш взгляд	1	2
157	в статье	1	2
158	а скорее	2	2
159	едва ли	11	2
160	на наш	1	2
161	и по	2	2
162	том же	1	2
