N	2gram	Vinokur_St_1	FransuaR
1	и в	44	65
2	то есть	2	45
3	и др	1	24
4	как бы	4	22
5	и не	16	22
6	вовсе не	19	18
7	в сущности	2	16
8	в том	36	16
9	в этом	21	15
10	но в	10	14
11	в нем	5	13
12	и на	1	11
13	прежде всего	7	11
14	все эти	5	10
15	не только	18	10
16	и его	8	10
17	так и	9	10
18	но и	10	10
19	и потому	2	10
20	том числе	2	10
21	во всех	8	9
22	в эпоху	2	9
23	в его	9	9
24	все это	5	9
25	за пределы	2	8
26	всех этих	2	8
27	в своем	2	8
28	в основе	3	8
29	в духе	1	8
30	и даже	5	8
31	здесь в	1	8
32	и другие	1	8
33	его в	2	7
34	точки зрения	11	7
35	в области	14	7
36	только в	10	7
37	числе и	2	7
38	жизни и	5	7
39	на самом	6	6
40	в ней	3	6
41	еще не	3	6
42	все же	8	6
43	и у	2	6
44	при этом	2	6
45	том что	29	6
46	в отношении	9	6
47	никогда не	5	6
48	как мы	1	6
49	времени и	1	6
50	одно из	2	6
51	так как	5	6
52	может быть	15	6
53	не знает	2	6
54	сказать что	7	6
55	литературы и	2	5
56	с его	1	5
57	как в	13	5
58	с их	1	5
59	на протяжении	1	5
60	в них	1	5
61	мировой литературы	1	5
62	как и	9	5
63	есть в	2	5
64	в своей	6	5
65	потому что	6	5
66	той или	1	5
67	между тем	3	5
68	для него	6	5
69	в одном	1	5
70	или иной	1	5
71	еще и	2	5
72	превращается в	2	5
73	в частности	4	5
74	xix века	1	5
75	в той	6	5
76	и все	2	5
77	еще более	4	5
78	в своих	2	5
79	здесь и	1	4
80	и до	1	4
81	и к	1	4
82	в самом	7	4
83	в этой	11	4
84	в узком	1	4
85	входит в	1	4
86	во время	3	4
87	не в	12	4
88	до сих	7	4
89	можно только	1	4
90	из них	8	4
91	отношение к	2	4
92	нужно сказать	5	4
93	сих пор	7	4
94	для нас	7	4
95	культуры в	3	4
96	совершенно не	5	4
97	это в	4	4
98	можно говорить	1	3
99	в применении	3	3
100	самом деле	11	3
101	по его	2	3
102	ренессанса и	1	3
103	конечно и	3	3
104	не просто	1	3
105	и вовсе	1	3
106	уже не	1	3
107	но все	4	3
108	то что	18	3
109	в себе	2	3
110	но на	2	3
111	и с	3	3
112	и других	1	3
113	это не	8	3
114	далеко не	1	3
115	в ее	4	3
116	с точки	8	3
117	разного рода	1	3
118	но это	6	3
119	даже в	3	3
120	на котором	1	3
121	ничего не	2	3
122	по своей	2	3
123	этом отношении	7	3
124	не могут	1	3
125	в виду	1	3
126	она была	1	3
127	и вообще	3	3
128	о нем	1	3
129	с другой	9	3
130	второй половины	1	3
131	и во	2	3
132	к нему	2	3
133	во всей	1	3
134	в форме	1	3
135	что он	10	3
136	но как	1	3
137	как раз	4	3
138	в других	2	3
139	даже и	2	3
140	не были	1	3
141	и их	2	3
142	применении к	3	3
143	в тех	3	3
144	нужно отметить	1	3
145	но для	2	3
146	не является	3	3
147	пор еще	1	3
148	от всех	1	3
149	не может	8	3
150	что в	30	3
151	отношения к	2	2
152	например в	8	2
153	это очень	3	2
154	видеть в	1	2
155	очень широко	1	2
156	всех его	1	2
157	не была	2	2
158	который был	1	2
159	бы ни	1	2
160	подчеркнуть что	2	2
161	это время	1	2
162	он был	3	2
163	на них	1	2
164	время в	1	2
165	в чем	3	2
166	но не	3	2
167	времени то	1	2
168	нет и	1	2
169	из этих	6	2
170	существовали и	1	2
171	во многих	3	2
172	он не	2	2
173	и вот	1	2
174	он так	1	2
175	свое время	2	2
176	и по	5	2
177	это его	1	2
178	так например	7	2
179	значительной степени	1	2
180	слов о	1	2
181	на все	1	2
182	это было	1	2
183	в свой	2	2
184	были в	1	2
185	всегда и	1	2
186	в этих	2	2
187	от своего	1	2
188	и без	3	2
189	но эта	1	2
190	их в	2	2
191	бы быть	1	2
192	и очень	4	2
193	в таких	1	2
194	а иногда	2	2
195	дело в	6	2
196	на него	2	2
197	в процессе	1	2
198	образом в	1	2
199	этих двух	3	2
200	они являются	1	2
201	половины xix	1	2
202	начиная с	2	2
203	есть только	2	2
204	могут быть	5	2
205	к тому	1	2
206	в наши	1	2
207	и это	2	2
208	но при	1	2
209	и этим	1	2
210	во многом	1	2
211	во второй	9	2
212	но у	1	2
213	поэтому в	3	2
214	стремление к	3	2
215	знает и	2	2
216	о том	17	2
217	можно сказать	1	2
218	ни на	2	2
219	отметить что	2	2
220	в свете	1	2
221	еще только	1	2
222	но с	3	2
223	этот вопрос	4	2
224	с одной	3	2
225	литературы в	1	2
226	др но	1	2
227	ни с	3	2
228	о шекспире	1	2
229	не для	2	2
230	в наиболее	1	2
231	от того	1	2
232	что не	3	2
233	в некоторых	1	2
234	одной стороны	2	2
235	на этот	3	2
236	до конца	1	2
237	более того	1	2
238	несмотря на	2	2
239	и так	3	2
240	некоторые из	1	2
241	в разной	1	2
242	да и	3	2
243	в это	1	2
244	того что	9	2
245	что мы	5	2
246	в целом	5	2
247	между прочим	2	2
248	кроме того	1	2
249	и для	3	2
250	при таком	2	2
251	и от	1	2
252	не подлежит	1	2
253	это можно	3	2
254	или в	1	2
255	узком смысле	1	2
256	хотя и	1	2
257	в свое	2	2
258	в таком	3	2
259	а между	1	1
260	своем роде	1	1
261	то на	1	1
262	речь идет	4	1
263	не имел	1	1
264	разумеется совершенно	4	1
265	тех же	1	1
266	многих отношениях	1	1
267	этого последнего	1	1
268	это и	4	1
269	все его	1	1
270	на деле	1	1
271	на две	1	1
272	в какой-то	1	1
273	объясняется и	1	1
274	то же	5	1
275	же образ	1	1
276	их и	1	1
277	а как	2	1
278	смотреть на	1	1
279	и была	1	1
280	отступает от	1	1
281	если я	1	1
282	правильного понимания	1	1
283	мы не	2	1
284	на эти	7	1
285	оба эти	2	1
286	совпадает с	2	1
287	говорить о	2	1
288	историческое явление	1	1
289	литературы о	1	1
290	и другая	1	1
291	конечно это	2	1
292	значение которых	1	1
293	видит в	1	1
294	премудрость и	1	1
295	времени вполне	1	1
296	с которыми	2	1
297	по отношению	3	1
298	друг от	1	1
299	это были	1	1
300	или иное	3	1
301	в свои	1	1
302	только путем	1	1
303	в настоящем	1	1
304	конечно совершенно	1	1
305	это вовсе	2	1
306	даже сказать	1	1
307	с этим	3	1
308	так называемая	3	1
309	чем мы	1	1
310	курсив мой	1	1
311	как к	3	1
312	это был	1	1
313	и понимания	1	1
314	говорит что	3	1
315	что по	1	1
316	нет здесь	1	1
317	от этого	2	1
318	и конечно	1	1
319	еще на	1	1
320	лежит на	1	1
321	в которой	4	1
322	тот общий	1	1
323	он в	1	1
324	чуть ли	2	1
325	в нашем	1	1
326	в известном	1	1
327	раз в	2	1
328	всего необходимо	1	1
329	эпохи и	3	1
330	как он	1	1
331	на то	4	1
332	не могла	2	1
333	вообще не	2	1
334	но именно	2	1
335	о которой	3	1
336	для того	10	1
337	же это	3	1
338	и более	2	1
339	было чуждо	1	1
340	ни были	2	1
341	и сам	2	1
342	нашего времени	1	1
343	можно даже	1	1
344	но дело	1	1
345	в основу	4	1
346	в работе	1	1
347	могла бы	1	1
348	эта книга	2	1
349	находилась в	1	1
350	связанные с	3	1
351	две такие	1	1
352	этом утверждении	1	1
353	об этом	3	1
354	где оно	1	1
355	литературного языка	1	1
356	лишь в	3	1
357	которое с	1	1
358	претензии на	1	1
359	было бы	17	1
360	и дает	1	1
361	сегодняшнего дня	1	1
362	более широком	1	1
363	ведь в	1	1
364	научная литература	1	1
365	даже по	1	1
366	какая-то особая	1	1
367	он является	1	1
368	о которых	1	1
369	мы имеем	2	1
370	и уже	2	1
371	понимает в	1	1
372	к самой	1	1
373	они подверглись	1	1
374	в развитии	1	1
375	был бы	1	1
376	которую он	1	1
377	литература и	1	1
378	место в	1	1
379	места в	2	1
380	несколько слов	1	1
381	и при	1	1
382	работы в	3	1
383	что такое	1	1
384	можно найти	2	1
385	это делает	1	1
386	почти не	1	1
387	мы называем	1	1
388	не столько	1	1
