N	2gram	Medvedev_I_1	Narrotol
1	и не	2	14
2	в этом	2	13
3	и в	1	13
4	так и	1	9
5	а в	1	9
6	того что	1	6
7	никогда не	1	6
8	ничего не	2	6
9	а также	1	6
10	отношению к	1	5
11	по отношению	1	5
12	он не	2	5
13	я не	1	5
14	с другой	1	5
15	жизни и	1	4
16	для него	1	4
17	о жизни	1	4
18	если бы	1	4
19	что в	2	4
20	все эти	1	3
21	о ней	1	3
22	того чтобы	1	3
23	и сам	1	3
24	то и	1	3
25	в целом	1	3
26	нам в	1	3
27	для других	1	3
28	бы в	1	2
29	говорить о	1	2
30	видит в	1	2
31	со всеми	1	2
32	более чем	1	2
33	только что	1	2
34	а с	1	2
35	по поводу	1	2
36	как о	1	2
37	стало быть	1	2
38	за границей	1	2
39	не случайно	1	2
40	это был	1	2
41	себя в	1	2
42	могло бы	1	2
43	и с	3	1
44	когда его	1	1
45	и ничего	1	1
46	утверждает что	1	1
47	при такой	1	1
48	оказывается для	1	1
49	и без	1	1
50	на котором	1	1
51	а для	1	1
52	вплоть до	1	1
53	было не	1	1
54	личности для	1	1
55	хотя его	1	1
56	что при	1	1
57	другое дело	1	1
58	и о	1	1
59	еще одной	1	1
60	для того	1	1
61	того же	1	1
62	автора и	1	1
63	это было	1	1
64	в основе	1	1
65	очевидно что	1	1
66	как только	1	1
67	бы его	1	1
68	во многом	1	1
69	все это	1	1
70	есть только	1	1
71	тем что	1	1
72	то она	1	1
73	теперь я	1	1
