N	3gram	Tiupa_Anal_1	Dialekti
1	по крайней мере	1	9
2	с точки зрения	4	8
3	в том что	9	6
4	и та же	1	4
5	то или иное	1	4
6	одно и то	1	4
7	и то же	1	4
8	в связи с	1	4
9	одна и та	1	4
10	субъекта и объекта	1	4
11	то же время	6	4
12	о том что	3	4
13	с другой стороны	2	4
14	только тогда когда	1	4
15	что иное как	5	3
16	в самом деле	2	3
17	в таком случае	3	3
18	сами по себе	2	3
19	как будто бы	1	3
20	в то же	8	3
21	сам по себе	1	3
22	не что иное	4	3
23	не может быть	16	3
24	не в состоянии	1	2
25	личность есть всегда	1	2
26	в той или	3	2
27	более или менее	1	2
28	тогда когда оно	1	2
29	до сих пор	1	2
30	в силу своей	2	2
31	в зависимости от	1	2
32	и т п	3	2
33	говоря уже о	1	2
34	и в частности	1	2
35	в данном случае	2	2
36	не только в	1	2
37	и должно быть	1	2
38	придется понимать как	1	2
39	не могут быть	2	2
40	во всяком случае	1	2
41	внутреннего и внешнего	2	2
42	есть не что	3	2
43	в широком смысле	2	2
44	то же самое	2	2
45	не говоря уже	1	2
46	ни с какой	1	1
47	тех пор пока	1	1
48	однако так что	1	1
49	того что в	2	1
50	я никогда не	1	1
51	так что оно	1	1
52	равно как и	1	1
53	большей или меньшей	4	1
54	совершенно необходима для	1	1
55	подобно тому как	3	1
56	в этом смысле	1	1
57	в том и	2	1
58	антитеза внутреннего и	2	1
59	о том как	1	1
60	таит в себе	1	1
61	совмещает в себе	1	1
62	оно дано только	1	1
63	не было и	1	1
64	пребывающее ядро и	1	1
65	обязательно отождествляются в	1	1
66	и не может	4	1
67	входящее в состав	1	1
68	ядро и переменчивые	1	1
69	всему внешнему что	1	1
70	бы то ни	3	1
71	но и в	2	1
72	есть всегда противопоставление	1	1
73	на самом же	1	1
74	в этом отношении	2	1
75	том что именно	1	1
76	того и другого	2	1
77	одном неделимом лике	1	1
78	не есть она	1	1
79	в частности к	1	1
80	два плана обязательно	1	1
81	в одном неделимом	1	1
82	дано только через	1	1
83	вместе с тем	1	1
84	есть она сама	1	1
85	вы видите здесь	1	1
86	плана обязательно отождествляются	1	1
87	субъект и объект	1	1
88	что не есть	1	1
89	в виду не	1	1
90	не в том	3	1
91	с одной стороны	3	1
92	на первый взгляд	1	1
93	только через внешнее	1	1
94	и при этом	1	1
95	в собственном значении	2	1
96	личности а не	2	1
97	этом мы будем	1	1
98	в любой другой	1	1
99	внешнему что не	1	1
100	все же не	1	1
101	всегда противопоставление себя	1	1
102	ни на что	1	1
103	и переменчивые акциденции	1	1
104	не он сам	1	1
105	для понятия личности	1	1
106	отождествляются в одном	1	1
107	различных плана и	1	1
108	здесь обязательно нечто	1	1
109	себя всему внешнему	1	1
110	я не могу	1	1
111	на что не	1	1
112	но о том	2	1
113	и эти два	1	1
114	с ним в	1	1
115	в свое время	2	1
116	необходима для понятия	1	1
117	друг с другом	1	1
118	того или иного	3	1
119	видите здесь обязательно	1	1
120	и как бы	1	1
121	обязательно нечто внутреннее	1	1
122	свою силу и	1	1
123	и как будто	1	1
124	то что мы	1	1
125	два различных плана	1	1
126	и вместе с	1	1
127	а не ее	1	1
128	и отличается от	1	1
129	той или иной	6	1
130	он не есть	1	1
131	до тех пор	1	1
132	что оно дано	1	1
133	преодолевается в личности	1	1
134	к тому что	1	1
135	обязательно два различных	1	1
136	может и должно	1	1
137	всем потому что	1	1
138	дело не в	1	1
139	плана и эти	1	1
140	самом же деле	1	1
141	противопоставление себя всему	1	1
142	том что он	2	1
143	во всех своих	1	1
144	к тому же	4	1
145	эти два плана	1	1
