N	3gram	Vinokur_Vv_1	Poddanst
1	в то же	5	7
2	то же время	5	7
3	в гораздо большей	1	4
4	не только в	4	4
5	в том что	12	4
6	с точки зрения	2	3
7	в сравнении с	1	3
8	с одной стороны	4	3
9	и как раз	1	2
10	одной стороны и	3	2
11	но и в	1	2
12	заключает в себе	1	2
13	в значительной мере	1	2
14	заключается в том	3	2
15	первой половины xix	1	1
16	том что в	1	1
17	в том виде	3	1
18	как она есть	2	1
19	что в этом	2	1
20	в настоящее время	1	1
21	в этом смысле	10	1
22	в с е	1	1
23	и в этом	3	1
24	философской мысли но	1	1
25	в сопоставлении с	2	1
26	хотя бы и	2	1
27	же время в	1	1
28	главным образом тем	1	1
29	можно говорить о	1	1
30	в отличие от	3	1
31	и именно в	3	1
32	в собственном смысле	2	1
33	совершенно ясно что	1	1
34	тех пор пока	1	1
35	вместе с тем	3	1
36	и то что	2	1
37	в применении к	6	1
38	так же как	1	1
39	же как явление	1	1
40	которые были бы	1	1
41	по сравнению с	3	1
42	но в общем	1	1
43	не только как	3	1
44	не в том	2	1
45	в определенном смысле	1	1
46	во всяком случае	3	1
47	с другой стороны	5	1
48	не может быть	8	1
49	до тех пор	1	1
50	но также и	9	1
51	само по себе	3	1
52	но в то	3	1
53	в частности в	1	1
54	известном смысле могут	1	1
55	не входят в	1	1
56	во многих случаях	1	1
57	в xix в	1	1
58	в известном смысле	3	1
59	для того чтобы	21	1
60	но в этом	1	1
61	в ней только	1	1
62	и т д	37	1
