N	3gram	Trubetskoy_1	Komedia
1	до сих пор	8	9
2	в том что	15	9
3	для того чтобы	7	6
4	в самом деле	5	6
5	в свою очередь	2	6
6	о том что	4	4
7	с самого начала	1	4
8	в то же	2	4
9	то же время	2	4
10	к тому же	5	4
11	лет тому назад	1	4
12	с одной стороны	2	3
13	до тех пор	1	3
14	то же самое	1	3
15	тем не менее	4	3
16	по отношению к	9	3
17	в связи с	3	3
18	с точки зрения	8	3
19	вместе с тем	2	3
20	во всяком случае	2	3
21	так или иначе	5	2
22	по сравнению с	5	2
23	из того же	2	2
24	именно потому что	2	2
25	с другой стороны	4	2
26	то ни было	2	2
27	в этом случае	4	2
28	и с этой	1	2
29	состоит в том	1	2
30	в то время	2	2
31	то обстоятельство что	1	2
32	но все же	2	2
33	иначе обстоит дело	1	2
34	то время как	1	2
35	в конце концов	4	2
36	бы то ни	2	2
37	хотя и не	1	2
38	это не так	1	1
39	не говоря уже	1	1
40	на пути к	1	1
41	одному и тому	1	1
42	потому что при	1	1
43	в том числе	1	1
44	таким же образом	2	1
45	друг с другом	9	1
46	далеко не в	2	1
47	этого потому что	1	1
48	и для самого	1	1
49	с этой целью	1	1
50	в течение которого	1	1
51	и еще больше	1	1
52	как все они	1	1
53	в том же	3	1
54	по этому поводу	1	1
55	на то что	7	1
56	что и для	1	1
57	бы при этом	1	1
58	новые вопросы является	1	1
59	к тому что	1	1
60	и если бы	1	1
61	и это обстоятельство	1	1
62	независимо от того	1	1
63	и не может	1	1
64	же самое что	1	1
65	и тому же	1	1
66	же образом как	1	1
67	на то обстоятельство	1	1
68	этой точки зрения	1	1
69	сих пор на	1	1
70	за то что	1	1
71	и до сих	1	1
72	ничего общего с	2	1
73	но вместе с	1	1
74	и без того	4	1
75	в настоящее время	2	1
76	и ничем не	1	1
77	и сам он	1	1
78	не совсем в	1	1
79	не в состоянии	2	1
80	или вовсе не	1	1
81	более или менее	7	1
82	даже если он	1	1
83	так как все	1	1
84	говоря уже о	1	1
85	с этой точки	1	1
86	как мы знаем	1	1
87	сих пор не	2	1
88	у них в	1	1
89	таким образом для	1	1
90	вопросы является ли	1	1
91	что у него	1	1
92	малейшего намека на	1	1
93	в зависимости от	1	1
94	но при этом	1	1
95	своих предшественников для	1	1
96	как бы то	2	1
97	что я во	1	1
98	в раннем детстве	1	1
99	том числе и	1	1
100	друг от друга	6	1
101	не менее в	1	1
102	все это делает	1	1
103	друг друга и	1	1
104	в своем уме	1	1
105	к ней и	1	1
106	меньше чем в	1	1
107	несмотря на то	2	1
108	таким образом и	1	1
109	по крайней мере	1	1
