N	2gram	Medvedev_V_1	Myslijsy
1	потому что	1	49
2	и в	2	24
3	и не	1	19
4	в том	2	18
5	то же	1	12
6	только в	1	11
7	так как	1	10
8	а только	1	8
9	в этом	1	8
10	том что	2	8
11	под влиянием	1	8
12	и только	1	6
13	по поводу	1	6
14	столь же	1	5
15	по крайней	1	5
16	крайней мере	1	5
17	в самом	1	4
18	главным образом	1	4
19	так в	1	4
20	говоря о	1	3
21	и то	1	3
22	далеко не	1	3
23	но это	1	3
24	самом деле	1	2
25	чего не	1	2
26	что язык	1	2
27	или без	1	2
28	одно и	1	2
29	в другом	1	2
30	и его	1	2
31	от общего	1	2
32	что слово	1	2
33	все это	1	2
34	хотя бы	1	2
35	к этому	1	2
36	одном и	1	1
37	значительной степени	1	1
38	том же	1	1
39	в их	1	1
40	в которых	1	1
41	не будем	1	1
42	в устах	1	1
43	дело в	1	1
44	о пределах	1	1
45	других и	1	1
46	на одном	1	1
47	именно в	1	1
48	по своим	1	1
49	и том	1	1
50	все то	1	1
51	же с	1	1
52	к чему	1	1
53	этом и	1	1
54	тем более	1	1
55	речи и	1	1
