N	2gram	Tiupa_Hudo_1	RusskieA
1	и в	19	29
2	том что	8	22
3	в том	18	22
4	что в	6	22
5	в поле	1	19
6	как бы	9	18
7	состоит в	16	15
8	и другие	2	14
9	так как	1	13
10	может быть	14	13
11	в этом	11	11
12	как и	2	11
13	одна из	2	11
14	не только	16	10
15	в лесу	1	10
16	все это	2	10
17	во многих	1	9
18	а на	5	9
19	о том	2	9
20	на части	1	9
21	а в	12	9
22	его в	2	8
23	но и	10	8
24	ее в	2	8
25	как в	2	7
26	представляют собой	1	7
27	или в	2	7
28	мы имеем	6	6
29	еще не	3	6
30	и на	2	6
31	при этом	13	6
32	таким образом	3	6
33	того чтобы	2	6
34	на нее	1	6
35	для того	2	6
36	вместе с	1	6
37	в данном	4	6
38	этом случае	1	6
39	же в	1	6
40	но не	11	5
41	но в	7	5
42	на земле	1	5
43	это не	2	5
44	не может	7	5
45	потому что	3	5
46	для этого	1	5
47	и что	3	5
48	или же	1	5
49	к жизни	2	5
50	то что	4	5
51	же как	1	4
52	то же	10	4
53	на них	1	4
54	не все	2	4
55	уже не	4	4
56	их в	3	4
57	том же	1	4
58	а затем	1	4
59	в них	2	4
60	далеко не	2	4
61	не в	7	4
62	у нас	1	4
63	мы рассмотрим	1	4
64	а также	5	4
65	к нему	3	4
66	так что	1	4
67	из них	1	4
68	именно в	2	4
69	а не	9	4
70	о чем	2	4
71	так же	2	4
72	как это	5	4
73	этих случаях	1	4
74	в таком	1	4
75	и через	1	3
76	в году	2	3
77	и о	3	3
78	в ее	5	3
79	можно предположить	1	3
80	что это	1	3
81	все эти	2	3
82	в этой	2	3
83	в лес	1	3
84	что она	2	3
85	подобно тому	1	3
86	и по	2	3
87	на этом	1	3
88	с другими	4	3
89	должен был	1	3
90	не всегда	1	3
91	на первый	1	3
92	в этих	3	3
93	в котором	1	3
94	в отличие	7	3
95	но он	3	3
96	в таких	1	3
97	не имеет	1	3
98	как мы	1	3
99	что от	1	3
100	нас к	1	3
101	под именем	1	3
102	во всех	3	3
103	а именно	2	3
104	того что	4	3
105	между тем	4	3
106	в качестве	24	3
107	или даже	3	3
108	за ним	1	3
