N	3gram	Bakhtin_Fr_4	Myshleni
1	для того чтобы	3	14
2	в том что	1	11
3	с точки зрения	2	9
4	в этом отношении	1	5
5	с самого начала	3	5
6	можно сказать что	1	5
7	подобно тому как	3	4
8	то же самое	1	4
9	то время как	1	4
10	в то время	2	4
11	о том что	2	4
12	и того же	1	3
13	до сих пор	1	3
14	с одной стороны	2	3
15	и тот же	2	3
16	в свою очередь	1	3
17	не может быть	1	3
18	один и тот	2	3
19	одного и того	1	3
20	таким образом что	1	2
21	и не может	1	2
22	в той же	1	2
23	в отличие от	1	2
24	таким образом в	3	2
25	и то что	1	2
26	так как она	1	2
27	в сущности это	1	2
28	а с другой	1	2
29	с другой стороны	3	2
30	же самое что	1	2
31	включает в себя	1	2
32	мы видим что	1	2
33	как мы видели	2	2
34	в сущности то	1	1
35	но как раз	1	1
36	да и в	1	1
37	что совершенно правильно	1	1
38	более или менее	3	1
39	она так же	1	1
40	на самом деле	1	1
41	никто никогда не	1	1
42	в том числе	3	1
43	в силу их	1	1
44	с которым мы	1	1
45	те же самые	1	1
46	в том же	1	1
47	одной стороны и	1	1
48	сторону того же	1	1
49	на первый план	1	1
50	тесно связана с	1	1
51	как мы увидим	1	1
52	о чем мы	1	1
53	в известной мере	3	1
54	том числе и	2	1
55	в своей речи	1	1
56	тому же выводу	1	1
57	одно и то	1	1
58	само собой разумеется	1	1
59	именно в этой	1	1
60	таким образом и	3	1
61	смысле этого слова	1	1
62	и то же	1	1
63	это один и	1	1
64	которая в его	1	1
65	в связи с	1	1
66	мы уже говорили	5	1
67	к нему в	1	1
68	так и в	1	1
69	на эту тему	1	1
70	в полной мере	1	1
71	в основе этого	1	1
72	того что должно	1	1
73	что это не	1	1
74	в то же	8	1
75	в вопросе о	1	1
76	ту же функцию	1	1
77	и т.п и	1	1
78	тех или иных	1	1
79	теперь мы можем	1	1
80	так и по	1	1
81	того мнения что	1	1
