N	2gram	Berdyaev_V_1	Myshleni
1	то что	9	26
2	в этом	4	25
3	что он	4	25
4	потому что	4	21
5	в том	3	18
6	того чтобы	2	17
7	не только	2	16
8	и в	16	16
9	того что	5	16
10	так как	9	16
11	что в	3	16
12	том что	2	15
13	так же	1	15
14	и развитием	1	14
15	для того	1	14
16	в процессе	1	13
17	вопрос о	1	12
18	и что	3	12
19	и не	20	12
20	отношение к	1	11
21	в его	4	11
22	но не	2	10
23	как мы	1	10
24	только в	2	10
25	а не	7	10
26	может быть	1	9
27	то же	1	8
28	в известном	1	8
29	должно быть	3	8
30	как и	4	8
31	как это	1	8
32	и есть	4	7
33	в нем	4	7
34	так и	4	7
35	известном смысле	1	7
36	и на	1	6
37	могли бы	1	6
38	но в	3	6
39	в этой	1	6
40	не в	3	6
41	что оно	1	6
42	что все	4	6
43	у него	1	6
44	но и	5	6
45	к тому	3	6
46	должна быть	3	5
47	мы и	2	5
48	что они	7	5
49	как в	1	5
50	в своем	1	5
51	говорит что	1	5
52	в которой	1	5
53	тому что	3	5
54	с ним	2	5
55	того как	1	5
56	никогда не	3	5
57	ничего не	1	5
58	можно было	2	5
59	по сравнению	1	5
60	но мы	2	5
61	тот же	3	5
62	хотя бы	3	5
63	для него	2	5
64	тем что	2	5
65	сравнению с	1	5
66	как бы	5	5
67	это значит	1	5
68	и то	2	4
69	в самом	1	4
70	все эти	3	4
71	и по	1	4
72	это не	2	4
73	и другое	1	4
74	не имеет	3	4
75	могут быть	2	4
76	не есть	6	4
77	еще не	8	4
78	не могут	2	4
79	с другой	1	4
80	что мы	4	4
81	вместе с	1	4
82	в состоянии	1	4
83	с этой	1	4
84	в целом	1	4
85	мы видим	1	4
86	в результате	1	4
87	бы в	1	4
88	потребность в	1	4
89	мы не	2	3
90	говорить о	4	3
91	вместо того	2	3
92	но как	1	3
93	если в	1	3
94	все же	1	3
95	на этом	1	3
96	и тем	1	3
97	с тем	2	3
98	в этих	3	3
99	таким же	1	3
100	в их	1	3
101	но что	1	3
102	как она	1	3
103	в себя	2	3
104	переход к	1	3
105	и с	1	3
106	вот почему	2	3
107	в чем	3	3
108	к нему	1	3
109	а потому	1	3
110	что и	3	3
111	между тем	2	3
112	его и	2	3
113	в одном	1	3
114	а в	2	3
115	еще и	1	3
116	говорит о	1	3
117	прежде всего	2	3
118	к жизни	1	3
119	но это	3	3
120	ее в	2	3
121	к этому	1	3
122	значение в	1	3
123	они не	1	3
124	к полному	1	2
125	не имеют	1	2
126	их и	1	2
127	есть не	1	2
128	я не	1	2
129	зависимости от	1	2
130	в ней	4	2
131	во всех	3	2
132	что я	3	2
133	мы будем	1	2
134	что было	2	2
135	которые не	2	2
136	его на	1	2
137	то и	1	2
138	он делает	1	2
139	но все	1	2
140	в жизни	3	2
141	в них	3	2
142	все равно	2	2
143	в своей	3	2
144	в котором	4	2
145	все это	5	2
146	их в	3	2
147	видим что	1	2
148	во всем	1	2
149	до того	2	2
150	то это	3	2
151	в старой	2	2
152	уже на	2	2
153	в виду	1	2
154	в истории	8	2
155	на нее	1	2
156	почему в	2	2
157	не с	2	2
158	это мы	2	2
159	о временном	1	2
160	находится в	1	2
161	вслед за	2	2
162	сделать это	1	2
163	в вопросе	3	2
164	с которыми	1	2
165	но с	1	2
166	вовсе не	1	2
167	к ним	1	2
168	а с	2	2
169	себя и	1	2
170	у нас	1	2
171	может ли	1	2
172	о чем	1	2
173	и потому	7	2
174	в тот	1	2
175	и от	1	2
176	чтобы сделать	2	2
177	которая в	1	2
178	и другие	1	2
179	другой стороны	1	2
180	жизни и	3	2
181	в своих	1	2
182	во всяком	2	2
183	все что	4	2
184	эта новая	1	1
185	а между	2	1
186	нем но	1	1
187	миру и	1	1
188	что уже	1	1
189	и новые	2	1
190	почему мы	1	1
191	для раскрытия	1	1
192	который был	1	1
193	но она	1	1
194	и ее	1	1
195	в будущем	1	1
196	же что	1	1
197	будет так	1	1
198	целое и	1	1
199	он был	1	1
200	бы то	1	1
201	с его	3	1
202	конечно это	1	1
203	в ее	1	1
204	для всякого	1	1
205	и будет	3	1
206	более чем	2	1
207	которой они	2	1
208	вещах о	1	1
209	что это	1	1
210	и своем	1	1
211	сущности и	1	1
212	но прежде	1	1
213	чтобы овладеть	2	1
214	к миру	1	1
215	от которого	3	1
216	с именем	1	1
217	он так	1	1
218	конечно в	1	1
219	и менее	1	1
220	лишь в	3	1
221	уже сказано	1	1
222	стало возможным	2	1
223	ни в	3	1
224	и уже	1	1
225	их на	1	1
226	места в	1	1
227	в понимании	1	1
228	как сама	1	1
229	есть один	1	1
230	как можно	1	1
231	она не	1	1
232	другом но	1	1
233	ими ибо	1	1
234	много общего	1	1
235	на котором	1	1
236	в сознании	1	1
237	уже и	1	1
238	что на	1	1
239	над ним	1	1
240	вот в	1	1
241	в духе	2	1
242	раз навсегда	2	1
243	ли что	1	1
244	но к	1	1
245	для себя	1	1
246	из всего	1	1
247	не существует	1	1
248	с самыми	1	1
249	и которые	1	1
250	обнаруживает неспособность	1	1
251	мы в	1	1
252	но может	1	1
253	сказываются в	1	1
254	после того	1	1
255	и во	2	1
256	нет у	4	1
257	в которую	1	1
258	где можно	1	1
259	это основной	1	1
260	если за	1	1
261	слова для	1	1
262	мы хотим	4	1
263	один из	2	1
264	с ними	1	1
265	это слово	1	1
266	ее от	1	1
267	их не	1	1
268	теперь в	1	1
269	уже в	1	1
270	и они	3	1
271	в виде	1	1
272	по законам	1	1
273	для чего	1	1
274	что не	4	1
275	каким образом	1	1
276	этой новой	1	1
277	или даже	1	1
278	за ним	3	1
279	не так	2	1
280	тогда как	1	1
281	в прошлом	2	1
282	в конце	3	1
283	и никогда	2	1
284	и вместе	1	1
285	в форме	2	1
286	чему же	1	1
287	тогда это	1	1
288	мы это	2	1
289	хотели бы	1	1
290	не было	3	1
291	и своего	1	1
292	на которых	1	1
293	основной вопрос	1	1
294	с которым	1	1
295	к высшему	1	1
