N	2gram	Trubetskoy_1	Poddanst
1	не только	9	17
2	и в	14	14
3	и не	19	12
4	в области	2	11
5	в этом	17	10
6	в качестве	3	9
7	но в	2	9
8	то же	11	9
9	в том	17	9
10	хотя бы	5	8
11	только в	5	7
12	в обстановке	1	7
13	в то	10	7
14	же время	10	7
15	в ней	2	6
16	было бы	5	6
17	но и	10	6
18	быть может	1	6
19	отношении к	2	5
20	россии в	7	5
21	в которых	1	5
22	с другой	1	5
23	может быть	9	5
24	не в	4	5
25	и о	2	5
26	если бы	6	4
27	россии и	3	4
28	в своем	6	4
29	и к	6	4
30	как бы	4	4
31	и если	7	4
32	европейской культуры	2	4
33	том что	9	4
34	не может	22	4
35	и потому	3	4
36	в котором	2	4
37	по себе	2	4
38	что в	4	4
39	мы должны	7	4
40	а в	5	4
41	то что	13	4
42	и т	3	3
43	мы не	1	3
44	сводится к	3	3
45	в порядке	2	3
46	столь же	1	3
47	между тем	5	3
48	это не	1	3
49	и как	3	3
50	с ними	1	3
51	в себе	9	3
52	в нем	5	3
53	в россии	6	3
54	для того	6	3
55	заключается в	1	3
56	прежде всего	8	3
57	с тем	6	3
58	россия в	1	3
59	и без	1	3
60	с точки	9	3
61	но не	4	3
62	могут быть	1	3
63	тем самым	2	3
64	потому что	5	3
65	точки зрения	11	3
66	и это	1	2
67	отношения к	2	2
68	в сфере	1	2
69	значительной мере	2	2
70	в ее	1	2
71	и есть	2	2
72	в мире	4	2
73	есть не	1	2
74	по сравнению	1	2
75	народа его	1	2
76	которое в	1	2
77	никак не	1	2
78	время в	2	2
79	в значительной	3	2
80	во всех	5	2
81	говорить о	3	2
82	если в	6	2
83	в общем	1	2
84	от европы	2	2
85	со стороны	4	2
86	отнюдь не	7	2
87	в русском	1	2
88	с этим	2	2
89	того что	3	2
90	стороны и	1	2
91	помнить что	2	2
92	к чему	2	2
93	бы ни	2	2
94	в начале	2	2
95	признание что	3	2
96	главным образом	3	2
97	и других	1	2
98	в его	4	2
99	из них	3	2
100	в виде	3	2
101	не к	2	2
102	в силу	2	2
103	и вот	2	2
104	в последние	5	2
105	и с	7	2
106	полной мере	1	2
107	может ли	1	2
108	именно в	3	2
109	и мы	1	2
110	и тем	2	2
111	в жизни	1	2
112	православная церковь	1	2
113	для них	3	2
114	церкви и	9	2
115	не было	3	2
116	а не	2	2
117	должно быть	3	2
118	эта идея	1	2
119	в европе	1	2
120	не столько	1	2
121	друг другу	2	2
122	в тот	1	2
123	культуры в	3	2
124	не менее	1	2
125	все это	6	2
126	между прочим	1	2
127	не о	2	2
128	одна из	3	2
129	слова но	1	2
130	мысль о	1	2
131	да и	3	2
132	в полной	1	2
133	тем более	1	2
134	для нас	2	2
135	заключает в	1	2
136	может и	1	2
137	в частности	2	2
138	как на	8	2
139	том числе	1	2
140	в применении	1	1
141	от этой	2	1
142	россию и	2	1
143	также и	1	1
144	же как	1	1
145	области техники	1	1
146	с другом	14	1
147	и то	4	1
148	тем же	1	1
149	в себя	1	1
150	культуры и	2	1
151	идет речь	4	1
152	они стремятся	1	1
153	выражается в	1	1
154	применении к	1	1
155	должна быть	2	1
156	стремиться к	2	1
157	был и	3	1
158	поскольку она	1	1
159	за то	2	1
160	те же	1	1
161	христианства в	1	1
162	в борьбе	2	1
163	ибо только	1	1
164	русской культуре	1	1
165	от рабства	1	1
166	в эпоху	1	1
167	для этого	3	1
168	таковы реальные	1	1
169	вопроса необходимо	1	1
170	в собственном	1	1
171	тем чем	1	1
