N	3gram	Propp_Russ_1	Tragedij
1	и не случайно	1	2
2	в отличие от	1	2
3	и в дальнейшем	1	2
4	точно так же	1	2
5	в данном случае	1	2
6	и как бы	1	2
7	бросается в глаза	1	2
8	о том что	4	2
9	но все же	2	2
10	в том что	15	2
11	на стол все	1	1
12	в этом случае	5	1
13	и теперь еще	1	1
14	вплоть до xx	1	1
15	не только по	2	1
16	у него нет	1	1
17	но и на	2	1
18	как это часто	1	1
19	и т п	1	1
20	одном из своих	1	1
21	во всяком случае	1	1
22	объясняется тем что	1	1
23	и в этом	1	1
24	тем не менее	3	1
25	все же не	2	1
26	в связи с	4	1
27	важнее для нас	1	1
28	не только сам	1	1
29	у себя на	1	1
30	в одном из	1	1
31	несмотря на все	1	1
32	с тем и	2	1
33	после того как	2	1
34	к тому что	4	1
35	как и в	1	1
36	для нас другой	1	1
