N	2gram	Tiupa_Narr_2	Poddanst
1	не только	26	17
2	и в	13	14
3	и не	14	12
4	в области	2	11
5	в этом	13	10
6	в отношении	1	10
7	в качестве	14	9
8	но в	6	9
9	то же	4	9
10	в том	14	9
11	хотя бы	2	8
12	только в	11	7
13	в то	5	7
14	же время	3	7
15	в о	1	7
16	в ней	2	6
17	xix века	1	6
18	было бы	2	6
19	но и	15	6
20	быть может	2	6
21	в которых	1	5
22	с другой	5	5
23	может быть	10	5
24	а я	1	5
25	не в	8	5
26	и о	1	5
27	если бы	4	4
28	тех кто	1	4
29	а также	6	4
30	в своем	6	4
31	и к	6	4
32	как бы	6	4
33	но также	2	4
34	том что	13	4
35	не может	8	4
36	и потому	1	4
37	в котором	5	4
38	что в	4	4
39	мы должны	1	4
40	же в	4	4
41	а в	9	4
42	то что	8	4
43	и т	2	3
44	мы не	2	3
45	сводится к	9	3
46	столь же	2	3
47	между тем	3	3
48	это не	3	3
49	вслед за	6	3
50	хотя и	5	3
51	и как	1	3
52	с ними	3	3
53	с одной	5	3
54	в себе	8	3
55	в нем	5	3
56	для того	1	3
57	прежде всего	6	3
58	одной стороны	5	3
59	что мы	1	3
60	и без	1	3
61	с точки	2	3
62	но не	3	3
63	наряду с	1	3
64	тем самым	5	3
65	потому что	2	3
66	точки зрения	5	3
67	отношения к	1	2
68	например в	1	2
69	в ее	4	2
70	в мире	4	2
71	было в	1	2
72	есть не	1	2
73	начала и	2	2
74	с с	1	2
75	по сравнению	1	2
76	к началу	1	2
77	никак не	3	2
78	в xix	1	2
79	время в	1	2
80	во всех	1	2
81	говорить о	2	2
82	в общем	1	2
83	во всей	1	2
84	со стороны	6	2
85	в е	1	2
86	каждый в	1	2
87	отнюдь не	4	2
88	того что	6	2
89	стороны и	1	2
90	как мир	1	2
91	есть в	1	2
92	но о	1	2
93	в начале	2	2
94	в его	6	2
95	в виде	2	2
96	не к	4	2
97	в силу	4	2
98	как раз	3	2
99	где в	1	2
100	в последние	1	2
101	именно как	1	2
102	и с	1	2
103	полной мере	1	2
104	именно в	2	2
105	и тем	5	2
106	в жизни	6	2
107	церкви и	2	2
108	а не	17	2
109	должно быть	1	2
110	хх века	2	2
111	нужно было	1	2
112	более чем	2	2
113	суждений о	1	2
114	не столько	5	2
115	не менее	4	2
116	все это	1	2
117	не о	1	2
118	одна из	3	2
119	слова но	1	2
120	мысль о	2	2
121	да и	3	2
122	в полной	1	2
123	еще более	1	2
124	тем более	2	2
125	для нас	2	2
126	исключительно в	2	2
127	может и	1	2
128	в частности	11	2
129	так называемые	1	2
130	как на	2	2
131	мы призваны	1	2
132	гласит что	1	1
133	поскольку не	3	1
134	также и	1	1
135	же как	2	1
136	определенный момент	1	1
137	которого в	1	1
138	применительно к	1	1
139	тем и	1	1
140	как по	3	1
141	оказаться в	1	1
142	тем же	1	1
143	чем было	1	1
144	в определенный	1	1
145	в себя	4	1
146	по преимуществу	1	1
147	к жизни	1	1
148	на человеческую	1	1
149	должна быть	2	1
150	только а	1	1
151	отличаться от	1	1
152	поскольку она	1	1
153	на нее	1	1
154	те же	2	1
155	не с	1	1
156	особенно в	1	1
157	по природе	1	1
158	и среди	1	1
159	еще в	1	1
160	к первому	1	1
161	внимание к	1	1
162	не вполне	2	1
163	на себя	1	1
164	с ее	1	1
165	том виде	1	1
166	в некотором	1	1
167	мы и	1	1
168	и здесь	2	1
169	подчеркнуть что	2	1
170	может не	1	1
171	не означает	1	1
172	и что	2	1
173	еще не	2	1
174	мира а	1	1
175	с того	1	1
176	с его	3	1
177	и просветления	1	1
178	бы она	1	1
179	восходит к	2	1
180	грань между	1	1
181	два явления	1	1
182	прошлого не	1	1
183	не все	2	1
184	чем говорить	1	1
185	что и	2	1
186	отличие от	5	1
187	не просто	1	1
188	них в	1	1
189	также в	1	1
190	к внешнему	1	1
191	в рамках	6	1
192	человеческого бытия	1	1
193	и разрешается	1	1
194	на будущее	1	1
195	в современной	2	1
196	известном смысле	3	1
197	все же	6	1
198	взывает к	1	1
199	более или	1	1
200	в какой	4	1
201	может оказаться	2	1
202	не являясь	1	1
203	в самом	2	1
204	в которой	1	1
205	бы и	1	1
206	что это	4	1
207	могли бы	2	1
208	представляет собой	16	1
209	из этих	2	1
210	именно на	1	1
211	себя в	2	1
212	в известном	3	1
213	и будущее	1	1
214	в большинстве	1	1
215	только на	2	1
216	молодежи и	1	1
217	на то	2	1
218	в мир	1	1
219	не могла	1	1
220	к миру	2	1
221	только к	3	1
222	углубляется в	1	1
223	мир в	1	1
224	при виде	1	1
225	одно из	2	1
226	иначе как	1	1
227	чтобы в	2	1
228	века в	1	1
229	какой бы	1	1
230	каждый из	1	1
231	и по	3	1
232	следует понимать	1	1
233	прежде чем	1	1
234	каждого слова	1	1
235	с собой	1	1
236	многих других	1	1
237	бы это	1	1
238	представляют собой	2	1
239	она оказывается	2	1
240	или иной	3	1
241	большинстве случаев	1	1
242	ясно что	1	1
243	в душе	2	1
244	и иных	1	1
245	бы эти	1	1
246	и быть	1	1
247	а с	2	1
248	о личности	2	1
249	что не	1	1
250	в это	1	1
251	или хотя	1	1
252	обратиться к	2	1
253	собой его	1	1
254	выступает в	1	1
255	кто не	1	1
256	где он	1	1
257	церковь и	1	1
258	далеко не	5	1
259	не исключает	1	1
260	в этой	4	1
261	в реальной	1	1
262	личности не	1	1
263	как и	4	1
264	и уже	4	1
265	с которым	1	1
266	ведет к	2	1
267	в развитии	1	1
268	в бытии	2	1
269	раскрывается в	1	1
270	когда в	1	1
271	настоящее и	1	1
272	или менее	1	1
273	речь но	1	1
274	в ходе	1	1
275	от первой	1	1
276	так же	2	1
277	и особенно	1	1
278	представить себе	3	1
279	всяком случае	1	1
280	они едины	1	1
281	что именно	1	1
282	место в	5	1
283	в отличие	5	1
284	мысли и	1	1
285	в данном	10	1
286	вопрос о	1	1
287	сравнению с	1	1
288	что было	1	1
289	как к	3	1
290	и более	2	1
291	в прошлом	1	1
292	приобщается к	1	1
293	xix в	2	1
294	времени эта	1	1
295	время есть	1	1
296	от тех	1	1
297	нет никакого	1	1
298	в напряжении	1	1
299	идти ни	1	1
300	что есть	1	1
301	в формах	1	1
302	с которой	1	1
303	она не	1	1
304	что с	2	1
305	иной раз	1	1
306	не будут	1	1
307	но для	2	1
308	к другим	1	1
309	этом смысле	1	1
310	своего существования	1	1
311	как возможность	1	1
312	не тождественны	1	1
313	обратившись к	1	1
314	того чтобы	3	1
315	не имеет	2	1
316	никогда не	6	1
317	и конца	1	1
318	в результате	2	1
319	пространство в	1	1
320	о котором	3	1
321	находятся в	1	1
322	это сделать	1	1
323	и притом	1	1
324	более что	1	1
325	только что	2	1
326	и теперь	1	1
327	в этих	1	1
328	давно уже	2	1
329	на фоне	2	1
330	в каком	1	1
331	в психологии	1	1
332	бытия не	1	1
333	отношением к	1	1
334	и внутренне	1	1
335	одновременно и	1	1
336	что все	1	1
337	ли не	1	1
338	в других	2	1
339	частности в	1	1
340	реально и	1	1
341	вместе с	1	1
342	что при	1	1
343	который не	1	1
344	во всяком	1	1
345	они не	2	1
346	гораздо более	1	1
347	и личности	1	1
