N	3gram	Tiupa_Disk_2	FransuaR
1	в то же	4	6
2	то же время	5	6
3	с точки зрения	2	5
4	жизни и смерти	1	5
5	не может быть	3	4
6	но прежде всего	1	3
7	в этом отношении	4	3
8	с одной стороны	4	3
9	в свое время	2	3
10	о том что	3	3
11	с другой стороны	1	3
12	можно сказать что	1	2
13	в другом месте	1	2
14	только то что	1	2
15	он как бы	1	2
16	в значительной степени	1	2
17	содержит в себе	2	2
18	и в то	1	2
19	так и на	2	2
20	во всяком случае	1	2
21	в пределах одной	1	2
22	включает в себя	1	2
23	подобно тому как	2	2
24	только таким путем	1	1
25	время от времени	1	1
26	потому что в	1	1
27	прежде всего на	1	1
28	прежде всего в	1	1
29	дело в том	2	1
30	по отношению к	4	1
31	одной стороны и	2	1
32	так и его	1	1
33	и там где	1	1
34	и не может	2	1
35	до известной степени	1	1
36	в первую очередь	2	1
37	то что в	1	1
38	что в них	1	1
39	и той же	1	1
40	именно в этом	1	1
41	нового времени но	1	1
42	в области художественного	1	1
43	так и в	3	1
44	большую или меньшую	1	1
45	лично для себя	1	1
46	он описывает в	1	1
47	все это по	1	1
48	не могут быть	1	1
49	не только от	1	1
50	может быть названо	1	1
51	не претендуя на	1	1
52	того или иного	1	1
53	в наше время	2	1
54	но также и	1	1
55	в этом случае	2	1
56	и прежде всего	2	1
57	существенную роль в	1	1
58	но не менее	1	1
59	в большинстве случаев	1	1
60	одной и той	1	1
61	особое отношение к	1	1
62	в том что	6	1
63	как и в	5	1
64	то есть в	1	1
65	роль в этом	1	1
