N	3gram	Potebnia_M_3	Istorich
1	и т д	3	22
2	не может быть	3	7
3	тем не менее	3	6
4	более или менее	3	5
5	с другой стороны	4	5
6	до сих пор	3	5
7	мы должны будем	2	4
8	с одной стороны	3	4
9	на то что	1	4
10	в том что	16	4
11	по отношению к	5	3
12	то же самое	1	3
13	например в сказке	1	3
14	то время как	1	3
15	в то время	4	3
16	друг с другом	1	3
17	о том что	1	3
18	не в силу	1	3
19	может быть назван	1	2
20	мере того как	3	2
21	по мере того	3	2
22	можно видеть что	1	2
23	в таких случаях	1	2
24	но и в	4	2
25	могли бы быть	1	2
26	вместе с тем	4	2
27	если бы мы	1	2
28	на первый взгляд	1	2
29	на первых порах	2	2
30	один и тот	1	2
31	мы не можем	2	2
32	само по себе	3	2
33	по этому поводу	1	2
34	для нас не	1	2
35	и тот же	1	2
36	потому что образ	1	1
37	том что она	1	1
38	мы видим не	1	1
39	если бы в	1	1
40	сводится к тому	1	1
41	не только по	3	1
42	отсюда видно что	1	1
43	не зависит от	1	1
44	это было бы	1	1
45	равно как и	1	1
46	не говоря уже	1	1
47	подобно тому как	2	1
48	но и по	2	1
49	так что в	1	1
50	во многих случаях	1	1
51	одной стороны и	1	1
52	только тогда когда	7	1
53	в силу того	1	1
54	а переходит от	1	1
55	но все это	1	1
56	сами по себе	1	1
57	а может быть	1	1
58	только то что	1	1
59	и т п	2	1
60	за то что	1	1
61	в противном случае	1	1
62	говоря уже о	1	1
63	может быть только	3	1
64	в том случае	1	1
65	другими словами для	1	1
66	и многие другие	1	1
67	именно потому что	1	1
68	каждый из этих	1	1
69	в том чтобы	2	1
70	не только в	4	1
71	почему именно эти	1	1
72	таким образом и	1	1
73	в том как	3	1
74	с этим в	1	1
75	могут быть объяснены	1	1
76	она не знает	1	1
77	а не как	1	1
78	свойственна не только	1	1
79	первых порах кажется	1	1
80	не в том	5	1
81	он должен знать	1	1
82	там где нет	1	1
83	заключить что в	1	1
84	не могут быть	2	1
85	но и с	1	1
86	своей форме а	1	1
87	быть не может	1	1
88	в этой работе	1	1
89	может быть названо	1	1
90	вслед за тем	3	1
91	которое можно назвать	1	1
92	лишь тогда когда	1	1
93	по себе не	1	1
94	том случае когда	1	1
95	но столь же	1	1
96	силу того что	1	1
97	таким образом в	1	1
98	не само по	1	1
99	до тех пор	1	1
100	в такой форме	1	1
101	в первом случае	2	1
102	смысле этого слова	7	1
103	заметить что в	1	1
104	после того как	1	1
105	мы этого не	1	1
106	с течением времени	1	1
107	к тому что	2	1
108	легко может быть	1	1
109	может быть объяснено	1	1
110	то же что	4	1
111	для того чтобы	3	1
112	что и в	3	1
113	к тому же	1	1
114	по себе а	4	1
115	том что и	1	1
116	но тем не	2	1
117	в этом отношении	2	1
