N	3gram	Voloshinov_1	Literetu
1	то же время	1	7
2	в то же	1	7
3	в этом отношении	1	5
4	в отличие от	1	5
5	по отношению к	3	4
6	в данном случае	2	4
7	с одной стороны	2	4
8	в том что	2	4
9	в хх веке	1	3
10	с точки зрения	5	3
11	не может быть	4	3
12	состоит в том	1	2
13	в полном соответствии	2	2
14	в самом деле	2	2
15	подобно тому как	1	2
16	то же самое	1	2
17	полном соответствии с	2	2
18	а не как	1	2
19	с другой стороны	2	2
20	и вместе с	1	2
21	на то что	1	2
22	мы чувствуем что	1	1
23	в другом месте	1	1
24	что иное как	2	1
25	автора героя и	2	1
26	не знает категории	1	1
27	в книге п.н	1	1
28	на самом деле	1	1
29	эстетического объекта и	1	1
30	и к тому	1	1
31	же время в	1	1
32	то что в	1	1
33	почти никогда не	1	1
34	вместе с ними	1	1
35	но одно дело	1	1
36	эстетический объект и	2	1
37	ту или иную	1	1
38	не что иное	2	1
39	может быть не	1	1
40	если говорить о	1	1
41	героя и слушателя	2	1
42	в связи с	1	1
43	автора и его	1	1
44	и наконец в	2	1
45	он и не	1	1
46	для того чтобы	1	1
47	между тем как	1	1
48	этой точки зрения	1	1
49	более или менее	1	1
50	поэта как и	1	1
51	все же остается	1	1
52	ничего общего с	2	1
53	в конечном счете	1	1
54	с этой точки	1	1
55	книге п.н медведева	1	1
56	к тому что	1	1
57	и т.п и	3	1
58	тем не менее	1	1
59	эстетического объекта в	1	1
