N	4gram	Bakhtin_Pr_5	Tvorches
1	в то же время	10	12
2	но в то же	4	4
3	дело в том что	1	3
4	то же время он	1	2
5	в записках из подполья	1	2
6	а я иду босой	1	1
7	и разбиваю ретроградов под	1	1
8	уже в бедных людях	1	1
9	одна и та же	2	1
10	в раннем творчестве достоевского	1	1
11	идеи и разбиваю ретроградов	1	1
12	иду босой и голодный	1	1
13	все плачут и целуют	1	1
14	и в других романах	1	1
15	бы то ни было	3	1
16	разбиваю ретроградов под аустерлицем	1	1
17	новые идеи и разбиваю	1	1
18	мы уже говорили что	3	1
19	одного и того же	1	1
20	и в то же	2	1
21	на протяжении всего романа	2	1
22	все более и более	1	1
23	я иду босой и	1	1
24	на самом деле рассказ	1	1
