N	2gram	Bakhtin_fo_2	VLabPisa
1	таким образом	3	27
2	в этом	22	26
3	и в	46	25
4	и т	14	24
5	не только	11	22
6	может быть	7	21
7	и не	9	19
8	не может	2	17
9	т д	3	15
10	в его	8	15
11	этом отношении	2	13
12	в том	10	13
13	прежде всего	14	13
14	в частности	5	12
15	как это	2	12
16	все это	6	12
17	с другой	2	11
18	из них	8	11
19	в качестве	3	10
20	не могут	1	10
21	о том	4	10
22	то же	8	9
23	что в	5	9
24	об этом	1	9
25	по этому	1	9
26	для него	3	9
27	т п	11	9
28	но и	9	9
29	и др	5	9
30	к этому	3	9
31	в своем	5	8
32	ни один	1	8
33	все эти	5	8
34	другой стороны	1	8
35	могут быть	2	8
36	во всех	11	7
37	из этих	4	7
38	было бы	2	7
39	как и	8	7
40	том что	4	7
41	не было	3	7
42	а не	4	7
43	вместе с	9	7
44	же в	4	7
45	это и	1	6
46	в себе	4	6
47	в нем	5	6
48	это не	2	6
49	их в	4	6
50	том же	4	6
51	и его	12	6
52	в то	5	6
53	так и	7	6
54	в порядке	1	6
55	между тем	1	6
56	бы и	1	6
57	у него	9	6
58	в основном	8	6
59	то что	7	6
60	и есть	2	5
61	действительности и	1	5
62	в их	3	5
63	как говорит	1	5
64	все же	6	5
65	в пределах	5	5
66	не в	9	5
67	тому что	1	5
68	же время	4	5
69	связи с	8	5
70	образы и	1	5
71	на основе	3	5
72	он же	1	5
73	один из	2	5
74	как бы	10	5
75	не является	3	5
76	в результате	1	5
77	сказать что	1	5
78	только в	11	5
79	их и	1	4
80	с его	1	4
81	в этой	2	4
82	когда он	1	4
83	в самом	1	4
84	что все	2	4
85	них не	1	4
86	в них	7	4
87	в философии	1	4
88	одна из	1	4
89	никогда не	6	4
90	вот почему	1	4
91	к тому	3	4
92	должен быть	1	4
93	в ее	1	4
94	можно сказать	2	4
95	образов и	1	4
96	что он	3	4
97	рассказывает о	1	4
98	в одном	7	4
99	в связи	8	4
100	приведенных выше	1	4
101	в романе	13	4
102	равно как	2	4
103	в своей	1	4
104	например в	1	3
105	человека и	4	3
106	сил и	1	3
107	в котором	4	3
108	и он	4	3
109	в которых	3	3
110	но как	1	3
111	явлений и	2	3
112	нет и	3	3
113	что они	4	3
114	с этим	5	3
115	и как	3	3
116	и к	2	3
117	и художественного	3	3
118	следующим образом	1	3
119	всех этих	7	3
120	и по	3	3
121	его в	6	3
122	далеко не	2	3
123	что не	1	3
124	с тем	2	3
125	мы видели	2	3
126	во время	10	3
127	точки зрения	10	3
128	и ее	1	3
129	одном из	2	3
130	это мы	1	3
131	в другую	1	3
132	сводится к	1	3
133	у нас	2	3
134	она не	2	3
135	и художественное	1	3
136	значительной мере	1	3
137	том как	3	3
138	в виду	3	3
139	никак не	1	3
140	утверждает что	2	3
141	в значительной	1	3
142	что и	3	3
143	того что	3	3
144	п в	1	3
145	не обходится	1	3
146	является не	1	3
147	и их	4	3
148	момент в	1	3
149	из приведенных	1	3
150	в конце	2	3
151	этой проблемы	1	3
152	именно в	2	3
153	попал в	1	3
154	так же	2	3
155	по поводу	1	3
156	по существу	5	3
157	и от	2	3
158	бы в	1	3
159	действительной жизни	1	3
160	жизни и	8	3
161	как на	2	3
162	ее в	3	3
163	каждый образ	1	2
164	смысле слова	2	2
165	ту же	2	2
166	также и	4	2
167	чтобы не	1	2
168	видеть в	1	2
169	а как	1	2
170	мы имеем	2	2
171	в которой	1	2
172	на эти	1	2
173	говорить о	2	2
174	так называемые	1	2
175	подчеркнуть что	1	2
176	в ней	1	2
177	еще не	6	2
178	например у	1	2
179	в различных	1	2
180	в чем	1	2
181	бы не	1	2
182	но не	5	2
183	если в	2	2
184	в общем	1	2
185	том числе	3	2
186	отнюдь не	4	2
187	искусстве и	1	2
188	этом же	1	2
189	хотя и	3	2
190	но в	10	2
191	с нею	1	2
192	о более	1	2
193	ее как	1	2
194	как он	2	2
195	после этого	2	2
196	он не	5	2
197	так например	1	2
198	человека в	6	2
199	в каждом	1	2
200	а затем	3	2
201	они должны	1	2
202	и дальше	1	2
203	в другом	3	2
204	как об	1	2
205	он и	1	2
206	при разработке	1	2
207	и для	9	2
208	пародия на	2	2
209	могут не	1	2
210	не столько	1	2
211	от его	1	2
212	которые в	1	2
213	если бы	1	2
214	по себе	2	2
215	не по	1	2
216	того чтобы	8	2
217	и весь	2	2
218	этом процессе	1	2
219	точном смысле	1	2
220	в образах	1	2
221	же самое	3	2
222	числе и	2	2
223	должны быть	1	2
224	другом месте	2	2
225	в стихотворении	1	2
226	для того	8	2
227	его художественного	1	2
228	формы и	1	2
229	роль в	3	2
230	мы наблюдаем	3	2
231	в образе	4	2
232	он сам	1	2
233	и даже	3	2
234	во всяком	2	2
235	но к	1	2
236	лишь в	2	2
237	может не	1	2
238	из себя	1	2
239	конце концов	1	2
240	значит что	2	2
241	о его	2	2
242	важно подчеркнуть	1	2
243	что даже	1	2
244	как пародия	1	2
245	до нас	1	2
246	всех его	1	2
247	с одной	2	2
248	у них	2	2
249	ни с	1	2
250	вовсе не	13	2
251	к ним	2	2
252	в особенности	6	2
253	одной стороны	1	2
254	или иной	2	2
255	до сих	2	2
256	как у	3	2
257	несколько примеров	1	2
258	еще и	1	2
259	и образов	2	2
260	образами и	1	2
261	и непосредственно	1	2
262	о чем	3	2
263	и том	1	2
264	стороны в	1	2
265	было в	1	2
266	начиная с	1	2
267	и потому	2	2
268	сих пор	2	2
269	между прочим	1	2
270	каждой из	1	2
271	этого рода	1	2
272	на время	1	2
273	в точном	1	2
274	мира и	9	2
275	своих героев	1	2
276	все они	3	2
277	а в	3	2
278	в системе	1	2
279	в целях	1	2
280	между ними	2	2
281	не быть	2	2
282	что действие	1	2
283	частности в	1	2
284	этой точки	1	2
285	они не	1	2
286	можно говорить	1	1
287	говоря о	1	1
288	лежат в	1	1
289	начинается с	1	1
290	самом деле	1	1
291	она у	1	1
292	все его	4	1
293	романтиков и	2	1
294	и так	2	1
295	проявляются в	1	1
296	тот или	1	1
297	у гете	1	1
298	он всегда	1	1
299	должна быть	1	1
300	и смутное	1	1
301	также была	1	1
302	что всякий	1	1
303	со всех	1	1
304	бы уже	1	1
305	о различных	2	1
306	как мы	6	1
307	что если	1	1
308	и свой	1	1
309	вопрос о	1	1
310	почти все	3	1
311	и стиль	2	1
312	приходит к	1	1
313	из того	1	1
314	действительности также	1	1
315	всех сторон	1	1
316	это время	1	1
317	основе этого	1	1
318	проявляется в	1	1
319	свою очередь	1	1
320	и то	1	1
321	он был	2	1
322	вещь в	2	1
