N	2gram	Medvedev_F_1	VelikijI
1	и не	20	20
2	и в	24	16
3	так как	1	9
4	то что	8	9
5	еще не	6	8
6	в истории	4	8
7	в пустыне	1	8
8	что они	1	7
9	а не	10	7
10	и потому	9	7
11	не есть	2	6
12	на себя	1	5
13	но и	7	5
14	того что	5	5
15	хотя и	1	5
16	в мире	4	5
17	все это	9	5
18	как бы	6	5
19	и есть	1	4
20	в образе	1	4
21	говорить о	1	4
22	в его	23	4
23	нет у	1	4
24	в этом	15	4
25	что он	3	4
26	потому что	1	4
27	в нем	14	4
28	так и	18	4
29	что не	1	4
30	как и	11	4
31	в котором	1	4
32	в ней	10	4
33	и все	6	4
34	от этого	2	3
35	и что	2	3
36	должна быть	7	3
37	хотя бы	5	3
38	лишь в	8	3
39	в чем	1	3
40	с его	4	3
41	во всех	5	3
42	что и	2	3
43	в том	6	3
44	но в	5	3
45	бы и	1	3
46	все эти	6	3
47	они в	1	3
48	в своей	11	3
49	в жизни	3	3
50	ни в	2	3
51	в них	3	3
52	не было	3	3
53	должно быть	11	3
54	в этих	1	3
55	в первый	1	3
56	не в	8	3
57	тому что	1	3
58	но это	3	3
59	не имеет	1	3
60	никогда не	4	3
61	и для	1	3
62	к тому	3	3
63	жизни и	7	3
64	что в	4	3
65	людей в	1	3
66	оно не	4	3
67	а между	1	2
68	и это	2	2
69	того чтобы	1	2
70	и т	12	2
71	его не	2	2
72	мы не	3	2
73	что от	1	2
74	в последнем	1	2
75	с ним	2	2
76	вместо того	1	2
77	под этим	1	2
78	ее и	1	2
79	и во	1	2
80	между тем	2	2
81	нет и	2	2
82	вслед за	1	2
83	не с	2	2
84	только в	2	2
85	конечно не	4	2
86	уже не	2	2
87	не только	7	2
88	его и	2	2
89	не так	2	2
90	для него	3	2
91	это не	2	2
92	т д	8	2
93	а с	1	2
94	прежде всего	22	2
95	для них	1	2
96	с тем	2	2
97	мы и	1	2
98	один из	3	2
99	для человека	1	2
100	и тогда	1	2
101	мира в	2	2
102	не могут	1	2
103	значения и	2	2
104	что было	2	2
105	одна из	2	2
106	том что	1	2
107	для нас	1	2
108	в форме	1	2
109	они и	1	2
110	ее в	1	2
111	людей и	1	2
112	а в	6	2
113	но не	3	2
114	в духе	1	2
115	могут быть	1	2
116	всего в	3	2
117	во всяком	4	2
118	от этой	1	1
119	как мы	5	1
120	в ее	8	1
121	смысла от	1	1
122	ни стало	2	1
123	и позитивизм	2	1
124	в словах	1	1
125	и до	5	1
126	роль в	1	1
127	важное место	1	1
128	в нашу	1	1
129	и самое	1	1
130	значение в	3	1
131	если они	1	1
132	то же	10	1
133	этом первом	1	1
134	от всякой	2	1
135	в результате	2	1
136	по сравнению	1	1
137	которого они	1	1
138	сами же	2	1
139	вопрос о	2	1
140	самой жизни	1	1
141	нас это	1	1
142	только это	1	1
143	и ее	10	1
144	не был	1	1
145	же что	1	1
146	зависимости от	3	1
147	кто же	1	1
148	в их	11	1
149	и на	8	1
150	бы то	3	1
151	оно ни	1	1
152	все в	2	1
153	что оно	1	1
154	этого бытия	1	1
155	к нему	1	1
156	ее к	2	1
157	ее от	2	1
158	от них	1	1
159	если в	1	1
160	с которыми	1	1
161	менее всего	2	1
162	тогда как	1	1
163	бы в	3	1
164	мире и	1	1
165	и чем	3	1
166	что бы	5	1
167	во что	2	1
168	мы дадим	1	1
169	существует как	1	1
170	его на	1	1
171	как в	8	1
172	и самые	1	1
173	в своем	11	1
174	все же	3	1
175	в двух	1	1
176	нужна для	1	1
177	мы видим	1	1
178	мы увидим	4	1
179	позитивизма и	1	1
180	и свою	5	1
181	в самом	5	1
182	у них	3	1
183	в которой	4	1
184	бы ни	5	1
185	но под	1	1
186	в целом	6	1
187	и закономерности	3	1
188	сущности и	1	1
189	в этой	6	1
190	своей целью	1	1
191	жизнь как	3	1
192	в виде	1	1
193	и если	2	1
194	определить свое	1	1
195	должно иметь	1	1
196	или даже	1	1
197	перестает быть	3	1
198	в понимании	5	1
199	же они	2	1
200	и навсегда	1	1
201	и вот	2	1
202	и должна	2	1
203	вовсе не	10	1
204	не для	3	1
205	отношение к	3	1
206	нашего времени	1	1
207	так часто	1	1
208	но что	1	1
209	у него	1	1
210	наконец от	1	1
211	и по	1	1
212	на этом	1	1
213	в руки	1	1
214	наука не	1	1
215	на нее	2	1
216	то ни	3	1
217	свое и	1	1
218	не были	1	1
219	и с	8	1
220	ней и	1	1
221	было не	1	1
222	с другой	5	1
223	в следующих	1	1
224	лишь на	1	1
225	к миру	2	1
226	бытия в	3	1
227	и тем	1	1
228	них и	1	1
229	формах в	1	1
230	она и	1	1
231	ничем не	3	1
232	у человека	1	1
233	и уже	1	1
234	очень важное	1	1
235	жизни но	2	1
236	в бытии	1	1
237	их на	2	1
238	места в	2	1
239	таким же	2	1
240	вместе с	2	1
241	так же	4	1
242	ко всем	2	1
243	как это	6	1
244	стать в	1	1
245	в лице	2	1
246	этому же	1	1
247	у нас	5	1
248	если оно	1	1
249	сравнению с	1	1
250	для всякого	2	1
251	с такой	1	1
252	в одном	2	1
253	не понимает	1	1
254	есть одна	1	1
255	образ и	1	1
256	есть еще	1	1
257	это значит	1	1
258	сама она	1	1
259	и всех	1	1
260	этого слова	3	1
261	с этой	4	1
262	и очень	1	1
263	с бытием	1	1
264	раз и	2	1
265	какие бы	2	1
266	искусстве но	1	1
267	о мире	2	1
268	на котором	1	1
269	нужно знать	1	1
270	позитивизм и	1	1
271	не по	3	1
272	смысле и	1	1
273	указать на	2	1
274	и слишком	2	1
275	конкретные формы	1	1
276	и от	7	1
277	и всегда	1	1
278	мира и	1	1
279	ничего не	2	1
280	жизни не	2	1
281	лишь как	5	1
282	может быть	14	1
283	в русском	1	1
284	как она	3	1
285	видим что	1	1
286	во всем	2	1
287	еще той	1	1
288	на него	2	1
289	в сознании	1	1
290	уже и	1	1
291	жизни в	2	1
292	что на	1	1
293	может и	2	1
294	другой стороны	1	1
295	заключается что	1	1
296	для нашего	2	1
297	религии и	1	1
298	но все	2	1
299	есть и	1	1
300	к этому	1	1
301	ли они	1	1
302	его с	2	1
303	в искусстве	5	1
304	и другие	1	1
305	в своих	2	1
306	нас а	1	1
307	в процессе	9	1
308	и эта	1	1
309	это в	1	1
310	она не	6	1
311	они не	3	1
