N	3gram	Bakhtin_Fr_2	Narrotol
1	в том что	1	8
2	не только в	5	6
3	по отношению к	1	5
4	с одной стороны	3	5
5	о том что	3	4
6	в этом отношении	3	3
7	того или иного	1	3
8	то же время	6	3
9	можно сказать что	2	3
10	в то же	6	3
11	с точки зрения	5	2
12	на самом деле	1	2
13	подобно тому как	2	2
14	но и в	4	2
15	и не может	1	2
16	не только не	1	2
17	существенную роль в	1	2
18	не может быть	4	2
19	одной стороны и	1	1
20	в чем же	1	1
21	прежде всего на	1	1
22	в этом последнем	1	1
23	одной из этих	1	1
24	и т.п то	1	1
25	но и сам	1	1
26	бы это был	1	1
27	по сравнению с	2	1
28	и в то	2	1
29	не входит в	1	1
30	в строгом смысле	1	1
31	к тому или	1	1
32	и когда все	1	1
33	до сих пор	4	1
34	которые по словам	1	1
35	далеко не всегда	1	1
36	видит в нем	2	1
37	это прежде всего	1	1
38	и особенно в	1	1
39	все эти столь	1	1
40	в центре этого	1	1
41	во всяком случае	2	1
42	и шире и	1	1
43	а во время	1	1
44	для него уже	1	1
45	так и в	1	1
46	то есть в	1	1
47	начало и конец	1	1
48	если бы она	1	1
49	в большинстве случаев	1	1
50	можно не только	1	1
51	для того чтобы	1	1
