N	2gram	Bakhtin_Pr_1	Istorich
1	и в	29	26
2	т е	21	22
3	так как	6	18
4	мы имеем	1	14
5	никогда не	3	13
6	потому что	8	13
7	и на	7	12
8	в этом	22	12
9	таким образом	12	12
10	в том	8	12
11	что в	8	12
12	мы видели	1	11
13	может быть	24	11
14	и т	4	10
15	не только	15	10
16	том что	7	10
17	с другой	3	10
18	и не	31	10
19	еще не	5	9
20	а именно	1	9
21	что он	8	9
22	но и	14	9
23	и это	5	8
24	все эти	9	8
25	все же	9	8
26	в нем	19	8
27	т д	1	8
28	с ним	5	8
29	другой стороны	3	8
30	например в	3	7
31	но в	7	7
32	и его	14	7
33	о том	1	7
34	уже не	13	7
35	у него	5	7
36	превращается в	4	7
37	мы уже	2	6
38	мы не	1	6
39	как в	6	6
40	как он	1	6
41	в русской	1	6
42	и с	4	6
43	то что	15	6
44	и там	1	6
45	этом случае	1	6
46	в более	1	6
47	ее в	1	6
48	не может	12	6
49	то же	14	5
50	в ней	2	5
51	за собой	1	5
52	не будет	1	5
53	и этим	3	5
54	как и	12	5
55	и что	2	5
56	же мы	1	5
57	в то	10	5
58	то это	1	5
59	так и	7	5
60	в его	24	5
61	мы видим	2	5
62	только в	10	5
63	тем что	4	5
64	у нас	1	5
65	там где	10	5
66	его в	6	5
67	как мы	4	4
68	и он	1	4
69	с его	9	4
70	что оно	2	4
71	но как	3	4
72	из этих	1	4
73	имеем в	1	4
74	на его	2	4
75	и по	1	4
76	здесь мы	2	4
77	это не	9	4
78	не всегда	1	4
79	здесь же	1	4
80	что и	4	4
81	себе в	1	4
82	в других	1	4
83	до сих	2	4
84	прежде всего	7	4
85	зависит от	1	4
86	как бы	19	4
87	сих пор	2	4
88	в книге	1	4
89	у них	1	4
90	но это	4	4
91	есть и	2	4
92	на своем	1	4
93	все что	3	4
94	же как	1	3
95	должна быть	5	3
96	время как	1	3
97	из которых	2	3
98	независимо от	1	3
99	и наконец	4	3
100	та же	1	3
101	в себе	7	3
102	вообще не	1	3
103	что она	6	3
104	при этом	2	3
105	если бы	9	3
106	и вот	1	3
107	него и	1	3
108	в них	3	3
109	нет в	1	3
110	такой же	1	3
111	в своей	8	3
112	таким же	3	3
113	и ее	2	3
114	в одном	10	3
115	не в	7	3
116	их в	4	3
117	она не	7	3
118	на котором	3	3
119	того как	1	3
