N	3gram	Bakhtin_Fr_8	VerxiiNi
1	вместе с тем	1	8
2	с одной стороны	2	7
3	с точки зрения	2	6
4	более или менее	2	5
5	в том числе	3	5
6	до сих пор	8	5
7	друг с другом	1	5
8	а с другой	1	5
9	для того чтобы	2	5
10	о том что	2	4
11	с тем чтобы	1	4
12	том числе и	2	4
13	и вместе с	1	4
14	к тому же	1	4
15	главным образом в	1	3
16	в связи с	3	3
17	в том что	6	3
18	то же самое	1	2
19	сих пор еще	4	2
20	те и другие	1	2
21	в этом отношении	1	2
22	в значительной мере	1	2
23	может быть и	1	2
24	то ни было	1	2
25	по сравнению с	1	2
26	бы то ни	2	2
27	между этими двумя	1	2
28	таким образом в	1	2
29	то же время	10	2
30	с одним из	2	2
31	с самого начала	1	2
32	той или иной	1	2
33	можно сказать что	2	2
34	в то же	10	2
35	и в этом	1	2
36	и те и	1	2
37	которые по своему	1	1
38	сказать что в	1	1
39	состоит в том	1	1
40	по отношению к	1	1
41	в самом деле	1	1
42	в настоящее время	3	1
43	о том как	1	1
44	сказать и о	1	1
45	по своему значению	1	1
46	обстоит дело с	1	1
47	а следовательно и	1	1
48	в эту эпоху	1	1
49	и в то	5	1
50	до известной степени	1	1
51	в одном и	1	1
52	что все эти	1	1
53	несмотря на его	1	1
54	том или ином	1	1
55	а отчасти и	1	1
56	и некоторые другие	1	1
57	в том или	1	1
58	ни с одним	2	1
59	по своему характеру	2	1
60	в данном случае	2	1
61	не потому что	1	1
62	и т.д в	1	1
63	но в то	2	1
64	и не могут	1	1
65	но при этом	1	1
66	в отличие от	1	1
67	потому что в	1	1
68	не в том	1	1
69	мы уже говорили	7	1
70	тем или иным	1	1
71	друг к другу	1	1
72	до настоящего времени	3	1
73	с другой стороны	2	1
74	как бы в	1	1
75	речь идет о	1	1
76	и в настоящее	1	1
77	мы видели что	3	1
78	только то что	1	1
79	которой не было	1	1
80	у него в	1	1
81	не может быть	2	1
82	что даже в	1	1
83	связанные с ним	1	1
84	может и не	1	1
85	в то время	2	1
86	так и в	1	1
87	что в том	2	1
88	и что она	1	1
89	не только не	2	1
90	том что все	1	1
91	после того как	1	1
92	мы видим что	2	1
93	и только в	1	1
94	в этом процессе	2	1
