1	с одной стороны и	2	3
2	одно и то же	3	3
3	в какой мере не	1	2
4	приводит к тому что	1	2
5	в том что он	2	2
6	то же самое что	1	2
7	с точки зрения самого	2	2
8	одним и тем же	2	2
9	ни в какой мере	1	2
10	речи в этом случае	1	1
11	с самого начала не	1	1
12	несмотря на то что	1	1
13	в неразрывной связи с	2	1
14	самом же деле это	1	1
15	для того чтобы изучить	1	1
16	на самом же деле	3	1
17	что он как и	1	1
18	как мы видели не	1	1
19	неизбежно приводит к тому	1	1
20	с точки зрения языка	1	1
21	и в соответствии с	1	1
22	в том числе и	1	1
23	внутренней и внешней речи	1	1
24	в том что это	1	1
25	здесь как и везде	1	1
26	и не может быть	1	1
27	не что иное как	1	1
28	в последнее время в	1	1
29	только по отношению к	1	1
30	в свою очередь является	1	1
31	но для того чтобы	1	1
32	для того чтобы понять	2	1
33	и то же слово	2	1
