N	2gram	Bakhtin_Fr_7	Poddanst
1	не только	5	17
2	и в	41	14
3	и не	7	12
4	в области	2	11
5	в этом	15	10
6	в отношении	3	10
7	в качестве	9	9
8	но в	8	9
9	то же	13	9
10	в том	11	9
11	только в	6	7
12	в то	10	7
13	же время	9	7
14	в ней	5	6
15	xix века	1	6
16	было бы	4	6
17	но и	9	6
18	в которых	2	5
19	может быть	4	5
20	не в	9	5
21	и о	1	5
22	тех кто	1	4
23	а также	2	4
24	в своем	9	4
25	и к	5	4
26	как бы	7	4
27	гораздо большей	1	4
28	том что	4	4
29	не может	3	4
30	и потому	3	4
31	в котором	1	4
32	большей степени	1	4
33	по себе	1	4
34	в гораздо	1	4
35	что в	9	4
36	же в	2	4
37	а в	5	4
38	то что	8	4
39	мы не	2	3
40	между тем	1	3
41	это не	6	3
42	хотя и	4	3
43	и как	2	3
44	тот же	2	3
45	с ними	3	3
46	в себе	11	3
47	в нем	7	3
48	прежде всего	11	3
49	с тем	1	3
50	и без	1	3
51	с точки	3	3
52	но не	1	3
53	тем самым	3	3
54	потому что	5	3
55	точки зрения	5	3
56	и это	5	2
57	отношения к	1	2
58	например в	3	2
59	в ее	1	2
60	и есть	3	2
61	в мире	3	2
62	есть не	2	2
63	начала и	2	2
64	которую мы	1	2
65	есть нечто	1	2
66	но к	1	2
67	время в	2	2
68	в значительной	2	2
69	во всех	3	2
70	во всей	2	2
71	с этим	2	2
72	и пусть	1	2
73	того что	2	2
74	бы ни	1	2
75	думать что	1	2
76	есть в	6	2
77	но о	1	2
78	в начале	1	2
79	и других	2	2
80	в его	12	2
81	из них	3	2
82	в виде	1	2
83	в силу	1	2
84	и вот	2	2
85	и с	4	2
86	именно в	2	2
87	мира с	1	2
88	и тем	1	2
89	в жизни	1	2
90	для них	1	2
91	в них	7	2
92	не было	3	2
93	а не	2	2
94	должно быть	4	2
95	эта идея	1	2
96	образом на	1	2
97	знать что	1	2
98	не будем	1	2
99	в тот	1	2
100	все это	10	2
101	между прочим	1	2
102	одна из	4	2
103	мысль о	1	2
104	еще более	2	2
105	тем более	1	2
106	может и	1	2
107	в частности	1	2
108	в недрах	2	2
109	как на	1	2
110	том числе	4	2
111	в применении	1	1
112	от этой	1	1
113	также и	2	1
114	и через	1	1
115	происходит и	1	1
116	и то	2	1
117	и этим	1	1
118	в себя	2	1
119	культуры и	1	1
120	смысл этого	1	1
121	есть путь	1	1
122	к жизни	4	1
123	они стремятся	1	1
124	применении к	1	1
125	должна быть	1	1
126	был и	1	1
127	его нет	1	1
128	за то	3	1
129	не с	1	1
130	особенно в	2	1
131	к первому	1	1
132	развитие в	1	1
133	в эпоху	7	1
134	мир с	1	1
135	тем чем	1	1
136	находится в	2	1
137	с ее	3	1
138	и ее	2	1
139	именно потому	1	1
140	эти явления	1	1
141	и здесь	4	1
142	подчеркнуть что	1	1
143	и что	1	1
144	притом в	1	1
145	еще не	2	1
146	и на	4	1
147	он был	3	1
148	и силы	1	1
149	оно ни	2	1
150	в различных	1	1
151	с его	2	1
152	что и	5	1
153	отличие от	1	1
154	не просто	2	1
155	них в	1	1
156	все существующее	2	1
157	также в	1	1
158	в истории	1	1
159	что во	1	1
160	вот как	1	1
161	поднимаясь к	1	1
162	сопоставлять с	1	1
163	всех стран	1	1
164	мысль и	1	1
165	все же	1	1
166	и где	1	1
167	в отрыве	2	1
168	и слова	1	1
169	сочетаются с	1	1
170	культурного развития	1	1
171	георгия в	1	1
172	мы видим	6	1
173	более или	2	1
174	и движение	2	1
175	должен быть	2	1
176	в самом	1	1
177	в которой	2	1
178	во времени	2	1
179	что это	4	1
180	и культурного	2	1
181	есть для	1	1
182	в творениях	1	1
183	если мы	1	1
184	себя в	1	1
185	в глубины	1	1
186	переходит в	1	1
187	и любви	1	1
188	и будущее	1	1
189	что его	1	1
190	св георгия	1	1
191	сливаются в	1	1
