N	3gram	Propp_Morf_1	Komedia
1	до сих пор	1	9
2	в том что	3	9
3	для того чтобы	2	6
4	о том что	1	4
5	с самого начала	1	4
6	с одной стороны	1	3
7	о том как	1	3
8	тем не менее	4	3
9	по отношению к	4	3
10	в связи с	8	3
11	с точки зрения	2	3
12	во всяком случае	2	3
13	с другой стороны	4	2
14	то ни было	2	2
15	что и в	1	2
16	в этом случае	8	2
17	состоит в том	2	2
18	в то время	3	2
19	но все же	3	2
20	в этом отношении	1	2
21	обстоит дело с	1	2
22	наряду с этим	3	2
23	то время как	3	2
24	бы то ни	3	2
25	хотя и не	1	2
26	подобно тому как	5	1
27	с тем как	1	1
28	по существу не	1	1
29	таким образом что	1	1
30	его т е	1	1
31	ни одной из	1	1
32	из них не	1	1
33	на улицу и	1	1
34	друг с другом	1	1
35	за это время	1	1
36	к этому же	1	1
37	так как там	1	1
38	в первой трети	1	1
39	т е о	1	1
40	можно сказать что	1	1
41	в сущности к	1	1
42	на то что	2	1
43	друг за другом	2	1
44	к тому что	3	1
45	имеет ничего общего	1	1
46	не зная о	1	1
47	а в качестве	1	1
48	что его можно	1	1
49	независимо от того	3	1
50	в первом случае	3	1
51	и т д	39	1
52	но об этом	1	1
53	в обоих случаях	2	1
54	сам он не	1	1
55	в настоящее время	3	1
56	или вовсе не	1	1
57	более или менее	2	1
58	далеко не всегда	1	1
59	мы имеем в	1	1
60	т д см	1	1
61	к нему в	1	1
62	сих пор не	1	1
63	достигается тем что	1	1
64	и по существу	1	1
65	по собственному усмотрению	1	1
66	как бы то	1	1
67	не имеет ничего	1	1
68	и не требует	1	1
69	с просьбой о	2	1
70	после того как	1	1
71	в этих условиях	1	1
72	то что он	1	1
73	в третий раз	1	1
74	один из них	1	1
