N	3gram	Nazirov_Vr_1	Freidism
1	с точки зрения	2	11
2	во всяком случае	1	7
3	не может быть	2	7
4	в то же	4	4
5	то же время	4	4
6	с помощью которых	1	3
7	в свою очередь	1	3
8	это и есть	1	2
9	но мы знаем	1	2
10	что он сам	1	2
11	он не только	2	2
12	но в то	2	2
13	может быть и	1	2
14	до сих пор	1	2
15	его отношение к	1	2
16	а с другой	1	2
17	в конце концов	1	2
18	и не может	1	2
19	– это и	1	2
20	в этом отношении	1	2
21	в высшей степени	1	2
22	тем не менее	1	2
23	о том что	1	1
24	мы знаем о	1	1
25	или по крайней	1	1
26	но при этом	1	1
27	чтобы разобраться в	1	1
28	не только не	1	1
29	равно как и	1	1
30	в этом смысле	1	1
31	но оказалось что	1	1
32	в том что	2	1
33	в то время	1	1
34	в котором он	1	1
35	лет тому назад	1	1
36	что как раз	1	1
37	в этот период	1	1
38	не было бы	1	1
39	во время сна	1	1
40	в каком направлении	1	1
41	ответ на это	1	1
42	в глубине души	1	1
43	и все же	5	1
44	быть и речи	1	1
45	по крайней мере	1	1
46	и что он	1	1
47	на первый взгляд	1	1
