N	2gram	Tiupa_Anal_3	Komedia
1	и в	18	22
2	том что	12	12
3	в г	1	11
4	но и	13	11
5	в том	9	11
6	не только	22	10
7	в то	3	10
8	как и	14	9
9	может быть	9	9
10	таким образом	4	8
11	должны были	1	8
12	о том	6	8
13	и его	13	8
14	в одном	4	8
15	и не	12	8
16	едва ли	3	7
17	в этой	6	7
18	то же	3	6
19	тому же	3	6
20	и по	2	6
21	не в	6	6
22	в конце	5	6
23	одного из	1	6
24	что он	4	6
25	такого рода	5	6
26	к тому	6	6
27	а в	10	6
28	что в	9	6
29	в истории	1	5
30	как в	3	5
31	на его	2	5
32	при этом	11	5
33	потому что	1	5
34	со своим	1	5
35	так и	14	5
36	и даже	8	5
37	между тем	5	5
38	один из	2	5
39	уже в	3	5
40	в его	7	5
41	прежде всего	5	5
42	о которых	2	5
43	с другой	7	5
44	когда же	1	5
45	все это	3	5
46	другой стороны	5	5
47	из его	1	4
48	время от	1	4
49	что они	3	4
50	но в	2	4
51	в нем	2	4
52	и вот	2	4
53	в другом	1	4
54	комедиях аристофана	1	4
55	несмотря на	2	4
56	точки зрения	3	4
57	в их	6	4
58	одном из	1	4
59	как мы	1	4
60	на него	1	4
61	можно судить	1	4
62	же время	3	4
63	ли не	4	4
64	так в	3	4
65	а также	2	4
66	что и	5	4
67	в качестве	12	4
68	мы можем	2	4
69	тем что	2	4
70	именно в	3	4
71	в результате	5	4
72	же в	2	4
73	по поводу	3	4
74	к этому	3	4
75	речь идет	1	3
76	в тех	2	3
77	идет о	1	3
78	перед лицом	1	3
79	в году	3	3
80	мы не	3	3
81	и о	1	3
82	и на	4	3
83	как правило	5	3
84	с одной	2	3
85	в этом	14	3
86	все же	4	3
87	хотя и	2	3
88	и как	4	3
89	в целом	3	3
90	по имени	1	3
91	на то	1	3
92	да и	2	3
93	он не	6	3
94	и еще	1	3
95	или вовсе	1	3
96	здесь мы	1	3
97	его в	3	3
98	чаще всего	1	3
99	в них	2	3
100	и ее	2	3
101	место в	1	3
102	вопрос о	1	3
103	не менее	4	3
104	однако в	5	3
105	на всю	1	3
106	даже в	2	3
107	по отношению	7	3
108	казалось бы	1	3
109	ничего не	3	3
110	этом отношении	3	3
111	у нас	1	3
112	могут быть	2	3
113	и сам	4	3
114	во второй	7	3
115	судить по	1	3
116	в частности	12	3
117	и одновременно	1	3
118	тот же	1	3
119	одной из	1	3
120	только в	2	3
121	и у	1	3
122	в начале	6	3
123	отношение к	1	3
124	у него	1	3
125	каждый из	1	3
126	как раз	7	3
127	к которому	1	3
128	как это	3	3
129	по своему	2	3
130	одной стороны	2	3
131	в течение	1	3
132	первое место	1	3
133	не мог	2	3
134	и все	2	3
135	отношению к	7	3
136	как известно	1	2
137	того же	5	2
138	здесь и	3	2
139	на две	1	2
140	видеть в	2	2
141	в доме	1	2
142	иначе в	1	2
143	в сущности	5	2
144	принадлежит к	4	2
145	на себя	2	2
146	он был	1	2
147	столь же	4	2
148	тем как	1	2
149	в стихе	2	2
150	отличие от	2	2
151	за пределы	1	2
152	в рамках	3	2
153	независимо от	1	2
154	что касается	3	2
155	что по	4	2
156	к числу	2	2
157	в противоположность	2	2
158	и хотя	1	2
159	со своей	8	2
160	в самом	5	2
161	право на	1	2
162	в известном	1	2
163	раз в	1	2
164	в себе	2	2
165	не следует	1	2
166	время и	1	2
167	в первой	8	2
168	в принципе	2	2
169	в силу	1	2
170	к г	1	2
171	художественный образ	1	2
172	было бы	3	2
173	в следующем	1	2
174	и без	3	2
175	всяком случае	2	2
176	и самого	6	2
177	тем не	2	2
