N	2gram	Berdyaev_V_1	NovoeSre
1	а не	7	17
2	и в	16	16
3	во имя	32	15
4	нового времени	1	12
5	и не	20	11
6	и есть	4	10
7	истории и	2	9
8	что в	3	9
9	как не	3	8
10	в том	3	8
11	жизни и	3	8
12	в этом	4	7
13	может быть	1	7
14	не будет	2	7
15	как и	4	7
16	с его	3	6
17	от бога	8	6
18	не в	3	6
19	ни в	3	6
20	общественной жизни	1	6
21	никогда не	3	6
22	лишь в	3	6
23	но это	3	6
24	в ней	4	5
25	истории в	1	5
26	не только	2	5
27	в жизни	3	5
28	все это	5	5
29	в нем	4	5
30	быть может	1	4
31	и мы	3	4
32	государства и	2	4
33	перестает быть	1	4
34	в них	3	4
35	то что	9	4
36	это не	2	4
37	прежде всего	2	4
38	не было	3	4
39	должно быть	3	4
40	и потому	7	4
41	и для	3	4
42	не имеет	3	4
43	и все	4	4
44	потому что	4	4
45	с другой	1	3
46	в ее	1	3
47	должна быть	3	3
48	вопрос о	1	3
49	человека и	6	3
50	и начало	1	3
51	еще не	8	3
52	во всех	3	3
53	в истории	8	3
54	как в	1	3
55	духа и	2	3
56	царства божьего	1	3
57	конечно не	2	3
58	к ним	1	3
59	имя свободы	3	3
60	в мире	5	3
61	но и	5	3
62	не есть	6	3
63	с тем	2	3
64	бога и	5	3
65	в своей	3	3
66	к жизни	1	3
67	в прошлом	2	3
68	она не	1	3
69	не существует	1	3
70	жизни не	1	3
71	к ее	1	3
72	жизни в	1	3
73	в духе	2	3
74	к тому	3	3
75	и это	2	2
76	нем нет	2	2
77	роль в	1	2
78	в нашу	1	2
79	не имеют	1	2
80	переход к	1	2
81	можно было	2	2
82	так и	4	2
83	мы не	2	2
84	мира и	1	2
85	и с	1	2
86	будет уже	2	2
87	но она	1	2
88	к вечности	3	2
89	я не	1	2
90	вот почему	2	2
91	и что	3	2
92	и на	1	2
93	но не	2	2
94	к богу	8	2
95	божественной жизни	2	2
96	в новом	1	2
97	жизни все	2	2
98	хотя и	5	2
99	но в	3	2
100	духа в	1	2
101	все эти	3	2
102	уже не	2	2
103	в религиозном	1	2
104	не будут	1	2
105	не к	2	2
106	нашего времени	1	2
107	у него	1	2
108	люди не	2	2
109	что все	4	2
110	нет и	2	2
111	русской революции	1	2
112	нашу эпоху	1	2
113	бытия в	1	2
114	и было	1	2
115	для чего	1	2
116	но я	1	2
117	том что	2	2
118	всемирной истории	3	2
119	будет с	1	2
120	вместе с	1	2
121	так же	1	2
122	мир и	2	2
123	другой стороны	1	2
124	не могли	2	2
125	если нет	1	2
126	этот мир	1	2
127	как это	1	2
128	одна из	2	2
129	того чтобы	2	2
130	и от	1	2
131	самой жизни	1	2
132	в русском	1	2
133	хотя бы	3	2
134	а в	2	2
135	в будущем	1	2
136	свободы от	3	2
137	заключается что	1	2
138	могут быть	2	2
139	свободы и	12	2
140	не хотим	1	2
141	от этой	1	1
142	божьего и	1	1
143	никогда на	1	1
144	небом и	1	1
145	не имел	2	1
146	людей в	3	1
147	для себя	1	1
148	к небытию	4	1
149	для вечности	1	1
150	христианского мира	1	1
151	о религиозном	1	1
152	этого мира	3	1
153	способ выражения	1	1
154	и до	1	1
155	сама идея	1	1
156	превыше всего	2	1
157	в образе	4	1
158	на нее	1	1
159	истории когда	1	1
160	ли это?	1	1
161	не с	2	1
162	и которые	1	1
163	пустоте и	1	1
164	с ним	2	1
165	нас и	3	1
166	смысле и	1	1
167	говорить о	4	1
168	на себя	5	1
169	человечества социализм	1	1
170	то это	3	1
171	политикой с	1	1
172	под этим	2	1
173	не был	1	1
174	в виду	1	1
175	зависимости от	1	1
176	в стихии	2	1
177	теми которые	1	1
178	свободно и	1	1
179	думаю что	1	1
180	освобождения от	2	1
181	теперь и	1	1
182	в чем	3	1
183	человечества в	2	1
184	не знающее	1	1
185	других людей	1	1
186	истина должна	1	1
187	и во	2	1
188	нет у	4	1
189	все в	1	1
190	не могут	2	1
191	в которую	1	1
192	к нему	1	1
193	из сторон	1	1
194	нейтрального и	1	1
195	принудить к	2	1
196	в его	4	1
197	я думаю	2	1
198	менее всего	1	1
199	но нет	1	1
200	себе и	1	1
201	не хотел	2	1
202	революция духа	1	1
203	лишь к	1	1
204	путь которым	2	1
205	и ложь	1	1
206	в своем	1	1
207	и нет	1	1
208	известном смысле	1	1
209	что нет	1	1
210	говорит что	1	1
211	человека в	1	1
212	со злом	1	1
213	что он	4	1
214	лишь себя	1	1
215	только в	2	1
216	этот дух	3	1
217	во всем	1	1
218	от этого	3	1
219	в самом	1	1
220	к чему	3	1
221	и небытию	1	1
222	но под	1	1
223	существе своем	2	1
224	современной культуры	1	1
225	бога в	1	1
226	о свободе	2	1
227	тоже не	1	1
228	государство не	2	1
229	в известном	1	1
230	же и	1	1
231	человеке и	1	1
232	в социализме	3	1
