N	2gram	Vinokur_Vv_1	VrazhdaK
1	не только	21	9
2	в этом	34	8
3	и в	27	8
4	и что	4	8
5	достоевского в	1	7
6	но и	5	7
7	и все	1	7
8	то что	17	7
9	что в	11	7
10	все же	8	6
11	но в	10	6
12	в нем	13	6
13	как и	5	6
14	в котором	4	6
15	и с	2	6
16	в начале	3	6
17	и даже	5	6
18	то же	8	5
19	об этом	5	5
20	в то	5	5
21	же время	5	5
22	между тем	8	5
23	у него	1	5
24	не было	1	5
25	в россии	1	5
26	и не	13	5
27	в ней	3	4
28	что он	4	4
29	в истории	9	4
30	при этом	3	4
31	это не	8	4
32	несмотря на	2	4
33	все это	6	4
34	в виду	4	4
35	с ним	1	4
36	о том	15	4
37	уже в	5	4
38	может быть	24	4
39	как бы	5	4
40	в своих	2	4
41	так же	3	4
42	речь идет	2	3
43	одним из	5	3
44	который был	1	3
45	он был	1	3
46	в чем	4	3
47	в своем	3	3
48	и как	9	3
49	в этот	2	3
50	раз в	1	3
51	на то	1	3
52	его в	6	3
53	и уже	3	3
54	том что	26	3
55	но он	1	3
56	и его	5	3
57	связи с	3	3
58	и о	1	3
59	что у	1	3
60	в его	10	3
61	в том	31	3
62	давно уже	1	3
63	и у	1	3
64	чтобы он	2	3
65	в конце	3	3
66	тем что	6	3
67	в связи	2	3
68	наряду с	2	3
69	имел в	1	3
70	т е	38	3
71	к этому	3	3
72	отношения к	1	2
73	же как	3	2
74	и то	5	2
75	б и	1	2
76	он сам	3	2
77	но как	2	2
78	ответ на	3	2
79	тогда как	2	2
80	к автору	1	2
81	в известном	3	2
82	в той	7	2
83	в этой	3	2
84	что к	1	2
85	в себе	4	2
86	время и	1	2
87	после этого	2	2
88	о которой	2	2
89	нашего времени	2	2
90	таким образом	19	2
91	в них	4	2
92	рядом с	2	2
93	мы знаем	1	2
94	не мог	2	2
95	в эту	1	2
96	во время	1	2
97	точки зрения	7	2
98	в своей	4	2
99	и ее	4	2
100	с точки	2	2
101	не менее	8	2
102	том же	2	2
103	одна из	2	2
104	никогда не	3	2
105	и далее	2	2
106	в момент	1	2
107	и это	6	2
108	в в	3	2
109	еще не	4	2
110	а также	3	2
111	тем более	2	2
112	после смерти	1	2
113	уже не	5	2
114	при помощи	2	2
115	из них	3	2
116	его и	1	2
117	для него	1	2
118	отношение к	3	2
119	к ним	1	2
120	как раз	4	2
121	и т.п	1	2
122	о чем	4	2
123	не может	13	2
124	вместе с	6	2
125	в среде	1	2
126	но это	1	2
127	же в	1	2
128	а в	5	2
129	в свою	1	2
130	это в	2	2
131	которых не	3	1
132	а между	1	1
133	от этой	1	1
134	вряд ли	2	1
135	можно говорить	1	1
136	также и	16	1
137	в рукописи	1	1
138	человека и	1	1
139	котором уже	1	1
140	того же	3	1
141	это и	1	1
142	и есть	3	1
143	ему не	1	1
144	а от	1	1
145	в их	11	1
146	по его	2	1
147	знать его	1	1
148	той же	4	1
149	народа несомненно	1	1
150	что уже	3	1
151	говорить о	3	1
152	в полной	1	1
153	в составе	1	1
154	с исторической	1	1
155	разобраться в	1	1
156	в числе	1	1
157	и был	2	1
158	литературой в	1	1
159	меня в	1	1
160	собой в	2	1
161	по своему	5	1
162	и всего	1	1
163	совсем не	3	1
164	но не	7	1
165	в сторону	1	1
166	всего он	1	1
167	и т.д	4	1
168	и я	1	1
169	выясняется что	1	1
170	независимо от	3	1
171	как в	1	1
172	с этим	2	1
173	дает нам	1	1
174	как к	1	1
175	себе не	1	1
176	тут нет	1	1
177	то в	1	1
178	в самом	12	1
179	что это	3	1
180	в целом	5	1
181	знать и	2	1
182	что же	3	1
183	в орбиту	1	1
184	все кто	1	1
185	выражение в	1	1
186	тому же	1	1
187	во многих	1	1
188	но ведь	4	1
189	как он	6	1
190	не могла	1	1
191	в свет	1	1
192	да и	4	1
193	в первой	1	1
194	к расшифровке	1	1
195	же это	2	1
196	в силу	3	1
197	этот процесс	3	1
198	свои собственные	1	1
199	из него	1	1
200	что ни	1	1
201	к книге	2	1
202	всего то	3	1
203	однако в	3	1
204	одно и	1	1
205	той высокой	1	1
206	это конечно	1	1
207	в глубине	1	1
208	этой традиции	2	1
209	это было	1	1
210	заключается в	4	1
211	было бы	5	1
212	в жизни	1	1
213	соответствии с	2	1
214	указав что	1	1
215	этого не	2	1
216	не всегда	1	1
217	во внимание	2	1
218	он и	2	1
219	одного и	2	1
220	в этих	3	1
221	или вообще	5	1
222	не последнее	1	1
223	всяком случае	3	1
224	каким был	1	1
225	как указывает	1	1
226	его современников	1	1
227	важнее всего	1	1
228	представление о	1	1
229	далее в	1	1
230	его отношение	1	1
231	своего рода	3	1
232	сам же	2	1
233	тем не	8	1
234	по крайней	4	1
235	есть еще	2	1
236	не могли	2	1
237	что этот	1	1
238	так он	1	1
239	человечества и	1	1
240	другой не	1	1
241	это дает	1	1
242	не имеет	4	1
243	правда в	1	1
244	было не	1	1
245	как о	4	1
246	также что	1	1
247	из их	1	1
248	следовательно и	1	1
249	нельзя не	4	1
250	не лучше	1	1
251	ничего не	2	1
252	того как	3	1
253	это то	1	1
254	иными словами	1	1
255	потому что	14	1
256	до того	2	1
257	этом отношении	3	1
258	в каком	1	1
259	ли это	1	1
260	такие же	1	1
261	среди них	1	1
262	н к	1	1
263	этот факт	1	1
264	в духе	1	1
265	могут быть	4	1
266	похож на	1	1
267	отличается от	1	1
268	этого и	1	1
269	же только	2	1
270	не есть	4	1
271	свою очередь	1	1
272	в ее	11	1
273	только при	1	1
274	не могло	1	1
275	был вызван	1	1
276	с правилами	1	1
277	на той	1	1
278	и сам	2	1
279	в печати	2	1
280	так и	1	1
281	на нее	2	1
282	не с	2	1
283	ясно что	9	1
284	сказалось в	2	1
285	так называемую	2	1
286	отразилась в	1	1
287	еще в	1	1
288	во второй	3	1
289	том как	1	1
290	жизнь и	1	1
291	короче говоря	1	1
292	и вообще	3	1
293	во всяком	3	1
294	второй половине	2	1
295	до сих	5	1
296	как эта	1	1
297	вопросу о	2	1
298	к нему	2	1
299	во всех	2	1
300	полагали что	1	1
301	во всей	1	1
302	в форме	2	1
303	крайней мере	4	1
304	возникает вопрос	2	1
305	все в	1	1
306	творческой фантазии	1	1
307	получается что	1	1
308	также в	1	1
309	в свете	1	1
310	если это	2	1
311	и самые	1	1
312	руки его	1	1
313	в литературе	1	1
314	к которому	1	1
315	тех пор	1	1
316	имеется в	1	1
317	этом смысле	11	1
318	один из	6	1
319	но с	4	1
320	и разнообразных	1	1
