N	3gram	Tiupa_Anal_3	Vladivir
1	в том что	7	10
2	тем не менее	2	9
3	о том что	5	8
4	с точки зрения	2	6
5	не может быть	1	6
6	дело в том	2	5
7	к тому же	3	5
8	ничего не говорит	1	4
9	в этом смысле	1	3
10	хотя бы и	1	3
11	во всяком случае	2	3
12	с одной стороны	2	3
13	в то же	3	3
14	в отличие от	2	3
15	само по себе	1	3
16	что и в	1	3
17	что несмотря на	2	2
18	из этих трех	1	2
19	в таком случае	1	2
20	сам по себе	1	2
21	в этом отношении	3	2
22	а с другой	1	2
23	в данном случае	3	2
24	так или иначе	1	2
25	в связи с	1	2
26	с другой стороны	5	2
27	то же время	3	2
28	в сравнении с	2	2
29	но еще и	1	2
30	однако и в	1	1
31	что иное как	1	1
32	а потому и	1	1
33	и так сказать	1	1
34	том что он	2	1
35	может и не	1	1
36	в этом случае	1	1
37	так и его	2	1
38	словом которое как	1	1
39	и в данном	1	1
40	в дальнейшем мы	1	1
41	до сих пор	1	1
42	сама по себе	2	1
43	выходит далеко за	1	1
44	при этом что	1	1
45	несмотря на свою	1	1
46	выражает надежду на	1	1
47	перед нами не	1	1
48	этом отношении он	1	1
49	в основе своей	1	1
50	сам бог не	1	1
51	с тех пор	1	1
52	значении этого слова	1	1
53	отнюдь не является	1	1
54	при всей своей	1	1
55	вопрос о том	1	1
56	далеко не всегда	1	1
57	не только в	1	1
58	не говоря уже	1	1
59	в один ряд	1	1
60	нигде и никогда	1	1
61	в себя и	1	1
62	мы имеем не	1	1
63	в известном смысле	1	1
64	не есть ни	1	1
65	никогда не покидал	1	1
66	но и его	1	1
67	в результате чего	1	1
68	нам еще предстоит	1	1
69	бог не есть	1	1
70	собою то что	1	1
71	все того же	1	1
72	в этом же	1	1
73	как это бывает	1	1
74	не только не	3	1
75	в самом деле	1	1
76	с целым рядом	1	1
77	той или иной	3	1
78	однако и здесь	1	1
79	заключается в том	1	1
80	не что иное	1	1
81	в гораздо более	1	1
82	для того чтобы	1	1
83	в себе не	1	1
84	лишь в том	1	1
85	на наш взгляд	2	1
86	ко второму изданию	1	1
