N	2gram	Berdyaev_V_1	UchenyiS
1	и в	16	14
2	а не	7	10
3	не только	2	10
4	и не	20	8
5	прежде всего	2	8
6	в этом	4	7
7	вот почему	2	7
8	то что	9	7
9	может быть	1	6
10	в искусстве	1	6
11	все это	5	5
12	перестает быть	1	5
13	то же	1	5
14	хотя бы	3	5
15	в их	1	4
16	с другой	1	4
17	конечно не	2	4
18	но и	5	4
19	в этой	1	4
20	у нас	1	3
21	бы то	1	3
22	в своей	3	3
23	все же	1	3
24	то ни	1	3
25	другой стороны	1	3
26	для него	2	3
27	но в	3	3
28	и то	2	3
29	это не	2	3
30	как и	4	3
31	а между	2	2
32	бы и	3	2
33	и с	1	2
34	если не	3	2
35	не случайно	1	2
36	конце концов	1	2
37	мы и	2	2
38	но не	2	2
39	с его	3	2
40	ничего не	1	2
41	тем что	2	2
42	и для	3	2
43	превращается в	3	2
44	о чем	1	2
45	их и	1	2
46	крайней мере	1	2
47	что он	4	2
48	что все	4	2
49	должна быть	3	2
50	в том	3	2
51	только в	2	2
52	между тем	2	2
53	является в	2	2
54	могли бы	1	2
55	более чем	2	2
56	что и	3	2
57	по крайней	1	2
58	в его	4	2
59	могут быть	2	2
60	что мы	4	2
61	не в	3	2
62	его и	2	2
63	в самом	1	2
64	мы не	2	2
65	в конце	3	2
66	но это	3	2
67	а его	1	2
68	не есть	6	2
69	том что	2	2
70	не могут	2	2
71	и глубина	1	1
72	то и	1	1
73	в процессе	1	1
74	от слова	1	1
75	и что	3	1
76	в которой	1	1
77	вообще в	1	1
78	нем но	1	1
79	свое место	1	1
80	поскольку он	1	1
81	в словах	1	1
82	все что	4	1
83	с тем	2	1
84	почему в	2	1
85	тот же	3	1
86	это значит	1	1
87	религии и	1	1
88	что было	2	1
89	бы в	1	1
90	бы это	1	1
91	в виду	1	1
92	в известном	1	1
93	или даже	1	1
94	с которыми	1	1
95	поднимается до	1	1
96	она не	1	1
97	от смысла	1	1
98	но что	1	1
99	стороны в	1	1
100	не поднимается	1	1
101	не существует	1	1
102	ее в	2	1
103	и потому	7	1
104	ее к	1	1
105	и быть	1	1
106	всего что	1	1
107	что в	3	1
108	он был	1	1
109	для себя	1	1
110	взятого в	1	1
111	того что	5	1
112	должно быть	3	1
113	уже не	2	1
114	в которых	1	1
115	к этому	1	1
116	так много	2	1
117	так и	4	1
118	в виде	1	1
119	него не	1	1
120	о которой	1	1
121	конечно это	1	1
122	человека и	6	1
123	если нет	1	1
124	нет и	2	1
125	и все	4	1
126	никогда и	1	1
127	и это	2	1
128	отказаться от	1	1
129	не было	3	1
130	никогда не	3	1
131	в котором	4	1
132	но прежде	1	1
133	когда нужно	1	1
134	его на	1	1
135	как возможно	1	1
136	у него	1	1
137	во мне	4	1
138	всего только	1	1
139	в нем	4	1
140	же ведь	1	1
141	и так	1	1
142	бы ни	1	1
143	и эта	1	1
144	в ней	4	1
145	все в	1	1
146	того как	1	1
147	это в	1	1
148	то есть	1	1
149	отказ от	1	1
150	смысле и	1	1
151	они в	3	1
152	не для	1	1
153	их в	3	1
154	в своем	1	1
