N	4gram	Medvedev_F_3	Myslijsy
1	одного и того же	1	6
2	по мере того как	1	4
3	и сами по себе	1	3
4	от одного к другому	1	2
5	в то же время	7	2
6	в той мере в	1	1
7	так а не иначе	1	1
8	той мере в какой	1	1
9	но мы видели что	1	1
10	взятом отдельно независимо от	1	1
11	что же касается до	1	1
12	не в том что	1	1
13	одной и той же	1	1
14	одно из необходимых условий	1	1
15	смысле этого слова и	1	1
16	дело в том что	1	1
17	бы то ни было	4	1
18	мере того как мы	1	1
19	один и тот же	1	1
20	лишь в той мере	1	1
21	есть одно из необходимых	1	1
