N	2gram	Medvedev_V_1	Sovremen
1	в этом	1	7
2	и в	2	7
3	и не	1	6
4	в том	2	4
5	так как	1	4
6	то же	1	3
7	ясно что	1	3
8	и т.д	1	3
9	ведь это	1	3
10	в конце	2	3
11	все это	1	3
12	самом деле	1	2
13	в самом	1	2
14	к чему	1	2
15	не будем	1	2
16	так в	1	1
17	жизни которое	1	1
18	к этому	1	1
19	крайней мере	1	1
20	все время	1	1
21	собственно и	1	1
22	только в	1	1
23	по существу	1	1
24	для них	1	1
25	и только	1	1
26	в другом	1	1
27	именно в	1	1
28	по своим	1	1
29	и составляет	1	1
30	том что	2	1
31	предлагает нам	1	1
32	по крайней	1	1
33	образом из	1	1
34	дело в	1	1
35	другое дело	1	1
36	и его	1	1
37	но это	1	1
38	от общего	1	1
