N	2gram	Medvedev_S_1	Problema
1	в его	3	43
2	и не	1	42
3	и в	3	38
4	не может	1	27
5	может быть	2	26
6	как бы	2	22
7	по отношению	2	21
8	отнюдь не	1	19
9	отношению к	2	19
10	и его	1	16
11	в этом	5	15
12	только в	2	13
13	прежде всего	1	13
14	но не	1	12
15	за пределы	2	12
16	в области	1	11
17	таким образом	2	10
18	не только	3	9
19	его в	1	9
20	но и	2	9
21	и как	1	8
22	было бы	2	8
23	место в	1	8
24	в том	5	8
25	то что	2	8
26	еще не	2	7
27	как и	1	7
28	не в	3	7
29	с другой	1	7
30	между тем	1	7
31	с помощью	1	7
32	объекта и	1	7
33	в своей	1	7
34	что в	2	7
35	и наконец	1	6
36	ничего не	1	6
37	все же	1	6
38	а в	1	6
39	только как	2	6
40	все эти	1	5
41	то же	2	5
42	это не	1	5
43	в них	1	5
44	далеко не	2	5
45	так и	1	5
46	и о	1	5
47	никогда не	1	5
48	с ним	1	5
49	конечно не	1	5
50	должна быть	2	4
51	конечном счете	1	4
52	произведение как	1	4
53	в данном	1	4
54	не должна	1	4
55	в то	1	4
56	о том	1	4
57	в конечном	1	4
58	и только	3	4
59	к которому	2	4
60	и потому	1	4
61	хотя бы	1	4
62	между ними	1	4
63	противном случае	1	3
64	сказать и	1	3
65	в целом	1	3
66	формальный метод	1	3
67	в мире	1	3
68	том что	2	3
69	в противном	1	3
70	же время	1	3
71	все то	1	3
72	как только	2	3
73	слова но	1	3
74	и должно	1	3
75	с одной	1	3
76	одной стороны	1	3
77	в область	1	3
78	все это	7	3
79	она может	2	3
80	они не	1	3
81	и должны	1	2
82	и есть	1	2
83	в котором	1	2
84	но она	1	2
85	первый план	1	2
86	столь же	1	2
87	в чем	1	2
88	но как	1	2
89	художественных произведений	1	2
90	дает нам	1	2
91	что это	1	2
92	в каждом	1	2
93	переходим к	1	2
94	на первый	1	2
95	и более	1	2
96	этой области	1	2
97	в таких	1	2
98	связи с	1	2
99	представляется нам	1	2
100	же самое	1	2
101	что все	1	2
102	том как	1	2
103	и что	2	2
104	словесного творчества	1	2
105	в лучшем	1	2
106	в него	1	2
107	единство не	1	2
108	что он	1	2
109	в виде	1	2
110	не дает	1	2
111	вовсе не	1	2
112	тем что	1	2
113	не было	1	2
114	в связи	1	2
115	в частности	2	2
116	в строгом	1	2
117	нет а	1	2
118	по существу	2	2
119	лучшем случае	1	2
120	мы должны	1	2
121	в этих	1	2
122	а между	1	1
123	это и	2	1
124	обходится без	1	1
125	время в	1	1
126	как науки	1	1
127	и связь	1	1
128	ними в	1	1
129	нам право	1	1
130	неизбежно по	1	1
131	в свои	1	1
132	быть строго	1	1
133	вопросом о	1	1
134	психологии и	1	1
135	в этой	1	1
136	но ведь	3	1
137	формальным методом	1	1
138	ни были	1	1
139	бы они	1	1
140	и мы	2	1
141	самое должно	1	1
142	метод не	1	1
143	как совокупность	1	1
144	творчества это	1	1
145	том и	1	1
146	должно сказать	1	1
147	по себе	1	1
148	тому что	1	1
149	и какие	1	1
150	только когда	1	1
151	в процессе	1	1
152	этого и	1	1
153	не наука	1	1
154	они ни	1	1
155	исторической жизни	2	1
156	эстетику и	1	1
157	это как	1	1
158	образом в	1	1
159	опирающегося на	1	1
160	нашей работы	1	1
161	настоящее время	1	1
162	на что	1	1
163	для нас	3	1
164	не выходит	1	1
165	мы понимаем	1	1
166	на отдельные	1	1
167	есть процесс	1	1
168	систематическое единство	1	1
169	именно на	1	1
170	входящие в	1	1
171	или даже	2	1
172	социологический метод	4	1
173	может служить	1	1
174	выходит за	1	1
175	именно в	1	1
176	мы еще	1	1
177	на этот	1	1
178	основной вопрос	1	1
179	творчество в	1	1
180	свои права	1	1
181	дело конечно	1	1
182	быть не	1	1
183	историка литературы	2	1
184	эти два	1	1
185	благодаря этому	1	1
186	в смысле	2	1
187	в результате	2	1
188	в настоящее	1	1
189	бы в	1	1
190	но именно	1	1
