N	2gram	Medvedev_B_1	TeoriaLi
1	не только	1	18
2	и не	2	16
3	и в	1	13
4	так и	1	12
5	а не	1	10
6	что в	1	8
7	в данном	1	7
8	еще не	1	6
9	между ними	1	5
10	с другой	1	5
11	в пределах	1	5
12	говорить о	1	4
13	в своей	1	4
14	и ее	1	4
15	не все	1	3
16	прежде всего	1	3
17	таким образом	1	3
18	литературных произведений	2	3
19	и потому	1	3
20	другой стороны	1	3
21	художественного произведения	1	3
22	одной из	1	2
23	об этом	1	2
24	и о	1	2
25	за пределы	1	2
26	литературы как	1	2
27	ведет по	1	2
28	не следует	1	2
29	в области	1	2
30	как будто	1	2
31	переходя к	1	1
32	теоретической и	1	1
33	в значительной	1	1
34	и исторической	1	1
35	теорию литературы	1	1
36	вопрос о	1	1
37	было и	1	1
38	крайней мере	1	1
39	теории литературы	1	1
40	не было	1	1
41	можно в	1	1
42	отнюдь не	1	1
43	не вполне	1	1
44	совершенно не	1	1
45	и на	1	1
46	на которой	1	1
47	у нас	3	1
48	имеющихся в	1	1
49	нельзя не	1	1
50	в научном	1	1
51	значительной степени	1	1
52	все это	2	1
53	в композиции	1	1
54	что все	1	1
55	а о	1	1
56	и меньше	1	1
57	также что	1	1
58	узко и	1	1
59	по крайней	1	1
60	точно и	1	1
61	не уничтожается	1	1
62	свести к	1	1
63	художественном произведении	1	1
64	было бы	1	1
65	никак не	1	1
66	можно было	2	1
67	и более	1	1
