N	2gram	Ircho_Kome_2	Poddanst
1	не только	7	17
2	и в	26	14
3	и не	14	12
4	в области	1	11
5	в этом	10	10
6	н а	1	10
7	в качестве	5	9
8	но в	3	9
9	то же	3	9
10	в том	11	9
11	в пределах	1	8
12	хотя бы	2	8
13	только в	4	7
14	в то	6	7
15	же время	3	7
16	в ней	3	6
17	было бы	8	6
18	но и	10	6
19	с другой	2	5
20	может быть	11	5
21	не в	2	5
22	а н	1	5
23	если бы	9	4
24	а также	1	4
25	в своем	6	4
26	и к	2	4
27	как бы	2	4
28	и если	2	4
29	европейской культуры	1	4
30	том что	9	4
31	не может	3	4
32	в котором	3	4
33	по себе	1	4
34	на пути	2	4
35	что в	9	4
36	же в	4	4
37	а в	3	4
38	то что	6	4
39	в с	1	4
40	и т	2	3
41	мы не	2	3
42	сводится к	1	3
43	в порядке	1	3
44	столь же	9	3
45	между тем	4	3
46	это не	2	3
47	вслед за	2	3
48	о н	1	3
49	хотя и	4	3
50	и как	1	3
51	тот же	2	3
52	с ними	2	3
53	с одной	2	3
54	в себе	1	3
55	в нем	6	3
56	ей в	1	3
57	для того	5	3
58	прежде всего	4	3
59	одной стороны	2	3
60	с тем	5	3
61	и без	1	3
62	с точки	1	3
63	но не	3	3
64	наряду с	6	3
65	т е	1	3
66	тем самым	1	3
67	потому что	6	3
68	точки зрения	4	3
69	и это	2	2
70	отношения к	1	2
71	например в	3	2
72	в ее	2	2
73	и есть	2	2
74	в мире	2	2
75	было в	1	2
76	по сравнению	1	2
77	является в	1	2
78	одних и	2	2
79	о наследстве	1	2
80	никак не	1	2
81	время в	1	2
82	во всех	3	2
83	в которую	1	2
84	говорить о	2	2
85	если в	2	2
86	в общем	1	2
87	во всей	1	2
88	со стороны	2	2
89	отнюдь не	2	2
90	с этим	5	2
91	помнить что	1	2
92	и весьма	1	2
93	ii в	4	2
94	теперь в	2	2
95	думать что	1	2
96	но о	1	2
97	в начале	4	2
98	главным образом	1	2
99	г и	5	2
100	в его	4	2
101	о и	1	2
102	из них	7	2
103	в силу	2	2
104	как раз	1	2
105	где в	1	2
106	в последние	4	2
107	и с	5	2
108	полной мере	1	2
109	именно в	1	2
110	и мы	1	2
111	iii в	6	2
112	в жизни	1	2
113	дети и	1	2
114	в них	4	2
115	не было	3	2
116	а не	1	2
117	в эту	1	2
118	более чем	4	2
119	образом на	1	2
120	не столько	1	2
121	в а	1	2
122	друг другу	3	2
123	в тот	1	2
124	что из	2	2
125	не менее	4	2
126	все это	3	2
127	не о	1	2
128	одна из	2	2
129	мысль о	1	2
130	да и	3	2
131	в полной	1	2
132	еще более	2	2
133	тем более	1	2
134	для нас	3	2
135	и г	1	2
136	в частности	4	2
137	как на	1	2
138	в северной	1	2
139	том числе	3	2
140	которых не	1	1
141	также что	2	1
142	с другом	2	1
143	происходит и	1	1
144	средств в	2	1
145	как известно	2	1
146	на основе	1	1
147	и вслед	1	1
148	тем же	1	1
149	во времена	1	1
150	в себя	1	1
151	на две	1	1
152	культуры на	1	1
153	в рамки	1	1
154	в годы	1	1
155	чтобы дать	1	1
156	за то	4	1
157	не с	1	1
158	в и	1	1
159	этом стремлении	1	1
160	еще в	4	1
161	при существовании	1	1
162	в эпоху	1	1
163	в собственном	1	1
164	не вполне	2	1
165	пор пока	1	1
166	на себя	7	1
167	план в	1	1
168	и ее	2	1
169	и здесь	6	1
170	историю в	1	1
171	не означает	1	1
172	и что	2	1
173	еще не	6	1
174	были бы	1	1
175	и на	7	1
176	он был	2	1
177	в различных	1	1
178	с его	5	1
