N	2gram	Medvedev_I_1	Myshleni
1	и в	1	23
2	в целом	1	20
3	того чтобы	1	17
4	в этом	2	17
5	того что	1	15
6	для того	1	15
7	что в	2	14
8	с другой	1	10
9	и с	3	9
10	и не	2	9
11	другой стороны	1	9
12	в основе	1	8
13	отношению к	1	7
14	по отношению	1	7
15	тем что	1	6
16	все это	1	6
17	бы в	1	5
18	что для	1	5
19	если бы	1	5
20	он не	2	5
21	так и	1	5
22	все эти	1	4
23	а с	1	4
24	только что	1	4
25	понятий и	1	4
26	по существу	1	4
27	должен быть	2	4
28	в первую	1	3
29	первую очередь	1	3
30	не остается	1	3
31	то и	1	3
32	ничего не	2	3
33	я не	1	3
34	только для	1	3
35	в значительной	1	2
36	говорить о	1	2
37	тех же	1	2
38	жизни и	1	2
39	от этого	1	2
40	бы что	2	2
41	а в	1	2
42	со всеми	1	2
43	для него	1	2
44	с любым	1	2
45	никогда не	1	2
46	в них	1	2
47	точно и	1	2
48	своего исследования	1	2
49	без этого	1	2
50	когда его	1	1
51	что при	1	1
52	и со	1	1
53	видит в	1	1
54	и без	1	1
55	на котором	1	1
56	нисколько не	1	1
57	и многое	1	1
58	в эту	1	1
59	к нам	1	1
60	а для	1	1
61	вплоть до	1	1
62	он с	1	1
63	она ничего	1	1
64	так то	1	1
65	еще одной	1	1
66	не дает	1	1
67	автора и	1	1
68	и еще	1	1
69	очевидно что	1	1
70	как только	1	1
71	могло бы	1	1
72	по поводу	1	1
73	и др	1	1
74	и та	1	1
75	в руки	1	1
76	та и	1	1
77	а также	1	1
78	бы все	1	1
79	факты и	1	1
80	как о	1	1
