N	4gram	Losev_Dial_1	Russkaja
1	в то же время	4	10
2	можно было бы показать	1	1
3	дело в том что	1	1
4	и то и другое	2	1
5	что и то и	1	1
6	на самом деле ничего	1	1
7	именно с точки зрения	1	1
8	мы уже знаем что	1	1
9	по существу ничем не	1	1
10	сказать только то что	1	1
11	нечего и говорить что	1	1
12	ни того ни другого	1	1
13	можно сказать только то	1	1
14	он на самом деле	1	1
15	но мы уже знаем	1	1
16	а в том что	1	1
17	но в то же	1	1
18	что это как не	1	1
19	друг с другом в	1	1
20	несмотря на то что	2	1
21	это и есть самое	1	1
