N	2gram	Bakhtin_Pr_3	OGranits
1	и в	53	13
2	и его	10	12
3	прежде всего	15	9
4	может быть	12	8
5	не может	2	8
6	и не	15	8
7	и т.п	31	7
8	в его	8	7
9	и их	2	7
10	точки зрения	4	7
11	только в	4	6
12	как бы	14	6
13	не только	4	6
14	то что	9	6
15	мы должны	4	6
16	таким образом	6	6
17	и т.д	2	5
18	и наконец	2	5
19	но ведь	1	5
20	с точки	2	5
21	в процессе	1	5
22	хотя бы	2	5
23	мы не	4	4
24	но мы	1	4
25	еще и	1	4
26	но в	5	4
27	вопроса о	1	4
28	мы можем	5	4
29	то же	6	4
30	в сознании	2	4
31	в своей	3	4
32	было бы	5	4
33	все это	8	4
34	в двух	2	4
35	вполне понятно	1	4
36	в каждом	4	4
37	вряд ли	1	3
38	связана с	2	3
39	и то	1	3
40	в ее	3	3
41	так и	6	3
42	говорить о	2	3
43	в их	2	3
44	по отношению	2	3
45	за пределы	1	3
46	с этим	2	3
47	в которой	2	3
48	в себе	5	3
49	к одному	2	3
50	не как	1	3
51	так как	7	3
52	здесь мы	2	3
53	но и	7	3
54	слово в	2	3
55	как и	11	3
56	и уже	2	3
57	я хочу	1	3
58	не в	2	3
59	да и	2	3
60	и для	4	3
61	никогда не	2	3
62	и все	10	3
63	превращается в	1	3
64	т.п и	1	3
65	отношению к	1	3
66	что в	2	3
67	и др	14	2
68	зависимости от	2	2
69	и может	1	2
70	конечно в	2	2
71	мы уже	5	2
72	есть не	1	2
73	к анализу	1	2
74	мог бы	1	2
75	и стиль	1	2
76	что иное	1	2
77	иное как	1	2
78	не что	1	2
79	с самого	3	2
80	в ней	7	2
81	ее в	3	2
82	а также	4	2
83	и композиции	1	2
84	помимо этого	1	2
85	между тем	2	2
86	в общем	1	2
87	нуждается в	1	2
88	во всей	4	2
89	что они	1	2
90	наконец в	2	2
91	его на	1	2
92	как в	7	2
93	в которую	1	2
94	в этом	8	2
95	в полном	1	2
96	в том	14	2
97	мы видим	2	2
98	тот же	2	2
99	вся область	1	2
100	с ними	1	2
101	произведения мы	1	2
102	и отчасти	2	2
103	во времени	1	2
104	в целом	1	2
105	и тем	2	2
106	все эти	9	2
107	уже в	2	2
108	иным как	1	2
109	в нем	10	2
110	связанные с	3	2
111	при этом	3	2
112	отношений между	1	2
113	вовсе не	3	2
114	в зависимости	2	2
115	тем что	2	2
116	в них	2	2
117	связанных с	1	2
118	в области	3	2
119	с другой	2	2
120	всей своей	2	2
121	в самом	2	2
122	не чем	1	2
123	соответствии с	2	2
124	более того	6	2
125	а не	11	2
126	другой стороны	1	2
127	там где	1	2
128	несмотря на	2	2
129	в связи	2	2
130	том что	5	2
131	и истории	1	2
132	с помощью	1	2
133	данных писателей	1	2
134	и ее	6	2
135	и помимо	1	2
136	своего рода	3	2
137	в тех	1	2
138	с этой	1	2
139	слова и	3	2
140	не менее	3	2
141	символики и	2	2
142	самого начала	4	2
143	форм и	2	2
