N	2gram	Savitsky_P_1	Dialekti
1	не есть	1	40
2	и не	12	30
3	т е	3	25
4	по себе	4	25
5	и т	3	21
6	т д	1	19
7	и в	14	18
8	точки зрения	3	17
9	может быть	5	17
10	и есть	2	16
11	в нем	3	16
12	не имеет	1	15
13	потому что	3	14
14	и –	1	14
15	а не	2	14
16	что в	4	13
17	то что	4	13
18	не только	17	13
19	не может	4	12
20	с точки	3	12
21	в этом	10	12
22	если бы	4	12
23	и что	1	12
24	было бы	6	12
25	в себе	3	11
26	все это	2	11
27	что это	1	11
28	как бы	4	11
29	прежде всего	3	10
30	то же	9	10
31	есть нечто	2	10
32	и то	1	9
33	в том	9	9
34	это не	3	9
35	отнюдь не	2	9
36	никогда не	1	9
37	том что	4	9
38	ясно что	1	8
39	в каком	1	8
40	что не	1	7
41	но и	6	7
42	как она	1	7
43	также и	1	7
44	не просто	1	7
45	и как	3	7
46	с другой	5	6
47	и вот	2	6
48	не было	2	6
49	она не	1	6
50	не в	5	6
51	хотя бы	8	6
52	в то	7	6
53	да и	2	6
54	но в	9	6
55	никак не	2	6
56	ни на	1	6
57	– все	1	6
58	все же	1	5
59	говорить о	2	5
60	на то	1	5
61	науки и	1	5
62	и мы	2	5
63	и с	2	5
64	а в	4	5
65	в отношении	10	5
66	и пр	5	5
67	она есть	3	5
68	в этих	1	5
69	идеи и	1	5
70	что оно	1	5
71	мы должны	4	5
72	не с	1	5
73	само по	1	5
74	есть и	1	5
75	об отношении	1	5
76	в своем	4	5
77	может и	2	4
78	одно и	1	4
79	же время	7	4
80	во всяком	1	4
81	так же	1	4
82	как раз	2	4
83	что эта	1	4
84	только то	1	4
85	но не	3	4
86	и притом	1	4
87	наука и	1	4
88	хотя и	3	4
89	нисколько не	1	4
90	не о	2	4
91	другой стороны	1	4
92	в котором	4	4
93	мы видим	1	4
94	мы можем	1	4
95	быть может	6	4
96	и более	1	4
97	реальное и	1	3
98	точек зрения	2	3
99	отношении к	5	3
100	мысли и	1	3
101	склонность к	1	3
102	явление и	1	3
