N	3gram	Bakhtin_Fr_2	Poddanst
1	в то же	6	7
2	то же время	6	7
3	не только в	5	4
4	в том что	1	4
5	с точки зрения	5	3
6	с одной стороны	3	3
7	одной стороны и	1	2
8	и в то	2	2
9	но и в	4	2
10	в значительной мере	1	2
11	же в этой	1	1
12	к первой половине	1	1
13	в настоящее время	1	1
14	и не может	1	1
15	в эту эпоху	4	1
16	же время в	1	1
17	в последующие века	2	1
18	в основном и	2	1
19	в собственном смысле	2	1
20	тот же период	1	1
21	хотя и менее	1	1
22	и есть в	1	1
23	в области отношения	1	1
24	все это в	1	1
25	было бы неправильно	1	1
26	в xix веке	3	1
27	по сравнению с	2	1
28	в области политической	1	1
29	не только как	1	1
30	к xv веку	1	1
31	во всяком случае	2	1
32	с другой стороны	3	1
33	не может быть	4	1
34	почти исключительно на	1	1
35	в борьбе с	1	1
36	но также и	1	1
37	и теперь в	1	1
38	но в то	3	1
39	она не только	1	1
40	мы знаем что	1	1
41	в большинстве случаев	1	1
42	на библейские темы	1	1
43	области отношения к	1	1
44	друг с другом	1	1
45	что уже в	1	1
46	для того чтобы	1	1
