N	3gram	Tiupa_Vved_1	slovoVRo
1	то же время	3	12
2	в то же	4	12
3	в той или	1	9
4	той или иной	2	9
5	или иной степени	1	9
6	во всех его	1	7
7	они могут быть	1	6
8	и в то	1	5
9	во всяком случае	1	5
10	с одной стороны	5	4
11	с другой стороны	1	4
12	большей или меньшей	1	4
13	в зависимости от	1	3
14	в романе в	1	3
15	в данном случае	6	3
16	более или менее	2	3
17	в этом случае	1	2
18	своего и чужого	2	2
19	до известной степени	1	2
20	смысловых и ценностных	1	2
21	может быть только	1	2
22	имеет дело не	1	2
23	он в свою	1	2
24	в первом случае	1	2
25	дело не с	1	2
26	не только в	2	2
27	и в этом	1	2
28	в евгении онегине	1	2
29	же национального языка	1	2
30	а не как	1	2
31	того же национального	1	2
32	в свою очередь	4	2
33	можно было бы	2	2
34	одно без другого	1	2
35	а не к	1	1
36	как и у	1	1
37	как бы не	1	1
38	но это не	1	1
39	как сопротивление или	1	1
40	но и по	1	1
41	уже не на	1	1
42	это отношение к	1	1
43	с установкой на	2	1
44	смешаны два высказывания	1	1
45	два смысловых и	1	1
46	герое нашего времени	1	1
47	не входит в	1	1
48	в отличие от	2	1
49	но и в	2	1
50	в этом отношении	4	1
51	к тому или	1	1
52	по аналогии с	1	1
53	сопротивление или поддержка	1	1
54	в противном случае	1	1
55	по крайней мере	1	1
56	у него нет	1	1
57	не могло быть	1	1
58	в значительной степени	1	1
59	осмысления и оценки	1	1
60	даже в лирике	1	1
61	становится одним из	2	1
62	может быть не	3	1
63	каждый из этих	1	1
64	жизни но и	1	1
65	не столько в	1	1
66	которая не может	2	1
67	отношении к автору	1	1
68	несет на себе	1	1
69	в герое нашего	1	1
70	не может быть	3	1
71	тем не менее	3	1
72	о том что	4	1
73	если бы мы	1	1
74	то есть в	1	1
75	но в этом	1	1
76	и прежде всего	1	1
77	можно сказать что	1	1
78	и ценностных кругозора	1	1
79	и вследствие этого	2	1
80	в том что	3	1
81	как и в	2	1
82	не с языком	1	1
83	как мы видели	2	1
84	в пределах одного	1	1
