N	2gram	Losev_Vlad_1	Poddanst
1	не только	24	17
2	и в	31	14
3	и не	17	12
4	в области	1	11
5	в этом	14	10
6	в отношении	3	10
7	в качестве	6	9
8	но в	12	9
9	то же	6	9
10	в том	11	9
11	н и	3	8
12	хотя бы	2	8
13	только в	9	7
14	в то	8	7
15	же время	4	7
16	в о	1	7
17	в ней	1	6
18	было бы	2	6
19	но и	19	6
20	отношении к	1	5
21	с другой	3	5
22	может быть	6	5
23	и пр	1	5
24	не в	5	5
25	и о	2	5
26	е н	2	5
27	а н	2	5
28	если бы	1	4
29	тех кто	1	4
30	а также	5	4
31	россии и	2	4
32	в своем	4	4
33	и к	6	4
34	и если	5	4
35	том что	14	4
36	не может	6	4
37	г о	1	4
38	и потому	6	4
39	в котором	6	4
40	на пути	1	4
41	что в	14	4
42	мы должны	2	4
43	же в	1	4
44	а в	9	4
45	то что	18	4
46	в с	1	4
47	и т	2	3
48	мы не	1	3
49	сводится к	1	3
50	в порядке	1	3
51	столь же	1	3
52	это не	1	3
53	хотя и	4	3
54	и как	4	3
55	тот же	3	3
56	с ними	2	3
57	с одной	1	3
58	в себе	4	3
59	в нем	4	3
60	в россии	4	3
61	для того	2	3
62	и вселенская	1	3
63	заключается в	1	3
64	прежде всего	1	3
65	одной стороны	1	3
66	с тем	2	3
67	что мы	2	3
68	к и	1	3
69	и без	1	3
70	но не	3	3
71	она есть	1	3
72	тем самым	2	3
73	потому что	11	3
74	н н	9	3
75	точки зрения	2	3
76	в сравнении	1	3
77	сравнении с	1	3
78	и это	2	2
79	отношения к	1	2
80	значительной мере	1	2
81	и есть	1	2
82	было в	1	2
83	есть не	1	2
84	с с	1	2
85	есть нечто	1	2
86	но к	1	2
87	никак не	4	2
88	не нужно	1	2
89	в значительной	1	2
90	во всех	1	2
91	в которую	2	2
92	в общем	3	2
93	во всей	1	2
94	со стороны	2	2
95	отнюдь не	3	2
96	пути в	1	2
97	того что	2	2
98	и весьма	2	2
99	теперь в	1	2
100	и и	7	2
101	в начале	3	2
102	главным образом	4	2
103	г и	1	2
104	и других	2	2
105	в его	12	2
106	из них	2	2
107	в виде	3	2
108	не к	1	2
109	в силу	1	2
110	и вот	3	2
111	как раз	7	2
112	в последние	1	2
113	и с	14	2
114	м а	2	2
115	м и	7	2
116	именно в	1	2
117	и мы	2	2
118	и тем	1	2
119	в жизни	3	2
120	xix веке	1	2
121	для них	1	2
122	в них	2	2
123	не было	5	2
124	материализма и	1	2
125	а не	1	2
126	суждений о	2	2
127	д н	3	2
128	не столько	2	2
129	не будем	2	2
130	в тот	2	2
131	ней не	1	2
132	для тех	2	2
133	не менее	2	2
134	все это	5	2
135	между прочим	11	2
136	одна из	1	2
137	н с	1	2
138	она ни	1	2
139	мысль о	1	2
140	да и	4	2
141	в полной	2	2
142	тем более	2	2
143	для нас	4	2
144	в частности	2	2
145	как на	2	2
146	которых не	1	1
147	славянофилов и	3	1
148	также и	10	1
149	повлияли на	1	1
150	и через	3	1
151	не очень	5	1
152	которого в	1	1
153	и веры	1	1
154	и то	10	1
155	как известно	1	1
156	понять в	1	1
157	к жизни	2	1
158	на две	1	1
159	был и	1	1
160	в годы	2	1
161	поскольку она	1	1
162	за то	1	1
163	поэзии и	1	1
164	те же	1	1
165	не с	1	1
166	в и	1	1
167	особенно в	1	1
168	и среди	1	1
169	должна заменить	1	1
170	представляют собою	1	1
171	еще в	4	1
172	что дело	2	1
173	что уже	1	1
174	в эпоху	1	1
175	не вполне	1	1
176	пор пока	1	1
177	на себя	3	1
178	с ее	1	1
179	том виде	1	1
180	в некотором	1	1
181	мы и	4	1
182	и здесь	3	1
183	настоящее время	1	1
184	и что	6	1
185	литературы и	1	1
186	еще не	2	1
187	и на	3	1
188	она всегда	2	1
189	он был	14	1
190	с того	2	1
191	и который	2	1
192	в различных	1	1
193	а м	4	1
194	с его	11	1
195	науке и	1	1
196	и метафизики	1	1
197	бы она	1	1
198	связь между	1	1
199	жить и	1	1
200	с трудом	1	1
201	что и	5	1
202	не просто	1	1
203	все существующее	1	1
204	в истории	4	1
205	тем больше	1	1
206	что во	1	1
207	государства и	1	1
208	и мир	1	1
209	судить по	2	1
210	тех пор	1	1
211	все же	3	1
212	владимира соловьева	1	1
213	у в	1	1
214	и слова	1	1
215	и критика	1	1
216	более или	3	1
217	веры в	1	1
218	в самом	2	1
219	только то	1	1
220	но как	5	1
221	в которой	4	1
222	вопрос об	1	1
223	представляет собой	1	1
224	из этих	2	1
225	в эти	7	1
226	человека с	1	1
227	история и	1	1
228	себя в	4	1
229	соловьев и	4	1
230	и любви	1	1
231	что его	4	1
232	уже в	7	1
233	только на	3	1
234	на то	5	1
235	если он	1	1
236	но на	3	1
237	развития русской	2	1
238	россия и	1	1
239	не могла	1	1
240	веры и	2	1
241	т д	2	1
242	соловьева и	7	1
243	только к	3	1
244	из этой	1	1
245	мы знаем	2	1
246	одно из	1	1
247	не как	1	1
248	очень и	1	1
249	последние годы	1	1
250	вся в	1	1
251	друг друга	1	1
252	чтобы в	1	1
253	мы можем	1	1
254	и только	1	1
255	и по	8	1
256	одно и	1	1
257	от нее	2	1
258	в каждом	1	1
259	без того	1	1
260	не были	2	1
261	ясно что	2	1
262	связаны с	1	1
263	везде и	1	1
264	например с	1	1
265	а с	5	1
266	были в	2	1
267	русской истории	2	1
268	что не	1	1
269	в это	2	1
270	т и	2	1
271	по всему	1	1
272	выступает в	1	1
273	кто не	2	1
274	где он	2	1
275	у с	3	1
276	далеко не	1	1
277	в этой	4	1
278	на основании	2	1
279	как и	4	1
280	и уже	1	1
281	с которым	2	1
282	как ни	1	1
283	к а	2	1
284	и я	2	1
285	философской мысли	3	1
286	нисколько не	2	1
287	и еще	2	1
288	конечном торжестве	1	1
289	или менее	3	1
290	и м	2	1
291	что если	1	1
292	работы в	1	1
293	и любовью	1	1
294	так же	1	1
295	и особенно	4	1
296	всяком случае	2	1
297	на плечи	1	1
