N	3gram	Berdyaev_V_1	Mirosoze
1	любовь к человеку	1	6
2	есть прежде всего	1	5
3	образ и подобие	1	5
4	добра и зла	2	5
5	никогда не было	1	3
6	к тому что	3	3
7	и в этом	1	3
8	если нет бога	1	3
9	познания добра и	2	2
10	во имя своей	1	2
11	взял все что	1	2
12	во имя счастья	2	2
13	есть один из	1	2
14	и никогда не	1	2
15	в нем нет	2	2
16	все что было	1	2
17	на этом пути	1	2
18	хлеба земного и	4	2
19	и в социализме	1	2
20	о великом инквизиторе	4	2
21	как и в	1	2
22	после того как	1	2
23	в том что	2	2
24	все будут счастливы	1	2
25	знамя которое предлагалось	1	1
26	работать но в	1	1
27	ничего и никогда	1	1
28	камни в этой	1	1
29	для него не	1	1
30	а между тем	2	1
31	хотя и вечно	1	1
32	есть соблазн небытия	1	1
33	не было для	1	1
34	счастье слабосильных существ	1	1
35	тот же соблазн	1	1
36	свободы с которым	1	1
37	грех они слабы	1	1
38	было не по	1	1
39	они побороли свободу	1	1
40	человечество как стадо	1	1
41	и не случайно	1	1
42	и своим что	1	1
43	послушное хотя и	1	1
44	чтобы заставить всех	1	1
45	и тогда уже	1	1
46	бога во имя	1	1
47	кому бы передать	1	1
48	легенда о великом	2	1
49	это несчастное существо	1	1
50	необычайного гадательного и	3	1
51	том что он	2	1
52	хором с невинными	1	1
53	благодарное и послушное	1	1
54	тебе что нет	1	1
55	как песок морской	2	1
56	стадо благодарное и	1	1
57	потому поступил как	1	1
58	знамя хлеба земного	1	1
59	которое предлагалось тебе	1	1
60	свободные от труда	1	1
61	дар свободы с	1	1
62	того духа который	1	1
63	а видишь ли	1	1
64	того кому бы	1	1
65	его совесть и	1	1
66	мы разрешим им	1	1
67	в этом мире	1	1
68	ли сии камни	1	1
69	имеет абсолютное значение	1	1
70	в средство для	1	1
71	заботы мучительнее как	1	1
72	сделали так для	1	1
73	у человека заботы	1	1
74	я представляю себе	1	1
75	того что есть	1	1
76	и сделали так	1	1
77	тобой побежит человечество	1	1
78	в новых формах	1	1
79	общества невыносимее свободы	1	1
80	но и в	2	1
81	во имя свободы	3	1
82	великий инквизитор но	1	1
83	как детскую игру	1	1
84	разрешим им и	1	1
85	станут свободными когда	1	1
86	слабосильных существ какими	1	1
87	есть соединение и	1	1
88	их работать но	1	1
89	тебе чтобы заставить	1	1
90	но в свободные	1	1
91	абсолютное знамя которое	1	1
92	на два начала	1	1
93	мучительнее как найти	1	1
94	тот дар свободы	1	1
95	и отверг во	1	1
96	свободы и своего	1	1
97	и не было	1	1
98	человека заботы мучительнее	1	1
99	человека в его	1	1
100	признание абсолютного значения	1	1
101	своей свободы и	1	1
102	и подобие божье	1	1
103	на тысячу лет	1	1
104	говорю тебе что	1	1
105	песок морской слабых	2	1
106	не будет уже	2	1
107	в католичестве и	1	1
108	предлагалось тебе чтобы	1	1
109	а потому поступил	1	1
110	ли это? и	1	1
111	и грех они	1	1
112	меч кесаря и	1	1
113	и послушное хотя	1	1
114	бы и не	2	1
115	видишь ли сии	1	1
116	личности и ее	1	1
117	имя счастья людей	1	1
118	не было еще	2	1
119	с невинными плясками	1	1
120	имя свободы и	1	1
121	не любя их	1	1
122	найти того кому	1	1
123	нагой и раскаленной	1	1
124	обрати их в	1	1
125	лишь в боге	1	1
126	себе и своим	1	1
127	как стадо благодарное	1	1
128	слабы и бессильны	1	1
129	в этом нет	1	1
130	во имя этого	1	1
131	не по силам	1	1
132	в xx веке	1	1
133	по сравнению с	1	1
134	мы убедим их	1	1
135	человеческого общества невыносимее	1	1
136	с которым это	1	1
137	и менее всего	1	1
138	они и созданы	1	1
139	с детскими песнями	1	1
140	но в нем	1	1
141	с такой силой	1	1
142	этой нагой и	1	1
143	поскорее тот дар	1	1
144	жизнь как детскую	1	1
145	его во всех	2	1
146	свободы и хлеба	1	1
147	земного и отверг	1	1
148	свободы а видишь	1	1
149	они слабы и	1	1
150	должна быть скрыта	1	1
151	смысл мировой жизни	1	1
152	детскую игру с	1	1
153	единственное абсолютное знамя	1	1
154	побежит человечество как	1	1
155	и вечно трепещущее	1	1
156	за тобой побежит	1	1
157	в смысл мира	2	1
158	в заслугу себе	1	1
159	часы мы устроим	1	1
160	поступил как бы	2	1
161	детскими песнями хором	1	1
162	плясками о мы	1	1
163	к богу и	1	1
164	как найти того	1	1
165	тысяч великих и	2	1
166	в марксе и	1	1
167	и за тобой	1	1
168	сделать людей счастливыми	1	1
169	заставим их работать	1	1
170	для человека и	1	1
171	не в силах	2	1
172	передать поскорее тот	1	1
173	мы заставим их	1	1
174	было для человека	1	1
175	и раскаленной пустыне?	1	1
176	гадательного и неопределенного	2	1
177	в социализме есть	1	1
178	все эти современные	1	1
179	людей во имя	3	1
180	в этой нагой	1	1
181	жизни в этом	1	1
182	своим что наконец-то	1	1
183	которым это несчастное	1	1
184	великих и сильных	2	1
185	людей об устроении	1	1
186	сии камни в	1	1
187	нет у человека	1	1
188	игру с детскими	1	1
189	ты отверг единственное	1	1
190	невыносимее свободы а	1	1
