N	2gram	Vinokur_St_3	Istorich
1	и в	25	26
2	т е	8	22
3	так как	3	18
4	мы имеем	5	14
5	никогда не	2	13
6	потому что	5	13
7	и на	6	12
8	в этом	24	12
9	таким образом	10	12
10	в том	20	12
11	что в	19	12
12	мы видели	1	11
13	может быть	19	11
14	связь с	4	11
15	и т	8	10
16	не только	12	10
17	том что	15	10
18	в образе	1	10
19	с другой	5	10
20	и не	10	10
21	еще не	2	9
22	а именно	1	9
23	что он	19	9
24	но и	9	9
25	и это	5	8
26	все эти	3	8
27	все же	4	8
28	в нем	1	8
29	т д	2	8
30	на том	1	8
31	с ним	1	8
32	вместе с	2	8
33	другой стороны	5	8
34	например в	4	7
35	но в	5	7
36	здесь можно	1	7
37	и его	3	7
38	о том	8	7
39	с одной	2	7
40	уже не	3	7
41	у него	9	7
42	одной стороны	3	7
43	мы не	2	6
44	как в	6	6
45	как он	1	6
46	в ином	1	6
47	так в	1	6
48	в русской	6	6
49	и с	4	6
50	в виде	3	6
51	то что	12	6
52	связан с	3	6
53	ее в	2	6
54	не может	7	6
55	то же	5	5
56	в ней	4	5
57	чаще всего	1	5
58	и этим	1	5
59	как и	4	5
60	и эти	1	5
61	и что	3	5
62	в то	7	5
63	то это	1	5
64	очень часто	1	5
65	так и	5	5
66	нас к	2	5
67	в его	12	5
68	показывают что	1	5
69	мы видим	4	5
70	только в	6	5
71	тем что	19	5
72	связаны с	1	5
73	у нас	4	5
74	там где	1	5
75	его в	1	5
76	как мы	2	4
77	и он	1	4
78	с его	3	4
79	но как	2	4
80	из этих	6	4
81	имеем в	2	4
82	на его	4	4
83	и по	2	4
84	это не	7	4
85	и тем	4	4
86	с тем	4	4
87	здесь же	1	4
88	в очень	1	4
89	здесь еще	1	4
90	совершенно ясно	1	4
91	но здесь	1	4
92	а также	4	4
93	что и	1	4
94	в других	1	4
95	до сих	2	4
96	иногда это	1	4
97	прежде всего	10	4
98	связано с	5	4
99	как бы	6	4
100	в это	2	4
101	сих пор	2	4
102	в книге	1	4
103	у них	1	4
104	но это	4	4
105	есть и	1	4
106	все что	1	4
107	связана с	4	3
108	и то	1	3
109	должна быть	1	3
110	время как	4	3
111	из которых	4	3
112	независимо от	5	3
113	когда он	1	3
114	и наконец	3	3
115	что она	1	3
116	если бы	4	3
117	в них	5	3
118	нет в	3	3
119	попадает в	3	3
