N	3gram	Losev_Dial_2	Tvorches
1	и т д	15	11
2	то же время	4	7
3	в то же	3	7
4	в братьях карамазовых	1	6
5	у достоевского в	1	3
6	до сих пор	2	3
7	не может быть	3	3
8	в самом деле	3	2
9	и не может	1	2
10	в таком случае	3	2
11	и в то	1	2
12	по самой своей	1	2
13	по крайней мере	9	2
14	так же как	1	2
15	все же не	1	2
16	во всяком случае	2	2
17	с другой стороны	4	2
18	и т п	2	2
19	о том что	4	2
20	в том что	6	2
21	том что в	1	1
22	если он не	1	1
23	мы уже говорили	1	1
24	на свете есть	1	1
25	видим в нем	1	1
26	я никогда не	1	1
27	с первого взгляда	2	1
28	нужно быть действительно	1	1
29	о том как	1	1
30	может и не	1	1
31	т д и	2	1
32	есть по преимуществу	1	1
33	же как и	1	1
34	в нем и	2	1
35	говорил что он	1	1
36	сами по себе	3	1
37	может быть в	3	1
38	что в нем	2	1
39	точно так же	1	1
40	со всех сторон	1	1
41	д все это	1	1
42	то или иное	4	1
43	не то что	1	1
44	только потому что	1	1
45	в том смысле	4	1
46	что они имеют	1	1
47	только то что	4	1
48	как будто бы	3	1
49	в них нет	1	1
50	не зависит от	1	1
51	но при этом	1	1
52	и должно быть	2	1
53	и в этом	1	1
54	не могут быть	2	1
55	той или иной	1	1
56	я не буду	1	1
57	в связи с	4	1
58	это не значит	2	1
59	в виду что	2	1
60	не только потому	1	1
61	к тому же	1	1
62	т д все	1	1
63	он не знал	1	1
64	потому что они	2	1
65	по себе не	3	1
66	в то время	3	1
67	того или иного	1	1
68	это еще не	1	1
69	д и т	2	1
70	как и всякая	1	1
71	том смысле что	3	1
72	это и есть	1	1
73	т д в	1	1
74	с самого начала	2	1
75	содержит в себе	3	1
76	и в литературе	1	1
77	но это не	2	1
78	это не просто	1	1
79	не значит что	3	1
80	и прежде всего	2	1
81	и в том	1	1
82	мы говорим о	1	1
83	и в другом	1	1
