N	3gram	Kanaev_Sov_1	FransuaR
1	то же время	1	6
2	в то же	1	6
3	до сих пор	1	4
4	в связи с	1	4
5	на самом деле	1	3
6	в отличие от	2	3
7	прежде всего необходимо	1	3
8	и прежде всего	1	3
9	по отношению к	1	2
10	можно было бы	1	2
11	не подлежит никакому	1	2
12	одной и той	1	2
13	и во всей	1	2
14	никакому сомнению что	1	2
15	подлежит никакому сомнению	1	2
16	и не было	1	2
17	и той же	1	2
18	не может быть	4	2
19	до наших дней	1	2
20	в данном случае	1	2
21	той или иной	1	2
22	может быть в	1	2
23	что иное как	1	1
24	во всех деталях	1	1
25	но только не	1	1
26	оно может быть	1	1
27	какой бы то	1	1
28	дело в том	1	1
29	и до сих	1	1
30	в настоящее время	2	1
31	в этом случае	1	1
32	может быть только	1	1
33	с точки зрения	5	1
34	они не могут	1	1
35	и не может	1	1
36	бы то ни	1	1
37	сказать несколько слов	1	1
38	все же в	1	1
39	не подлежит сомнению	2	1
40	может быть и	2	1
41	не что иное	1	1
42	все эти три	1	1
43	то ни было	1	1
44	как одной из	1	1
45	и в этом	1	1
46	во всяком случае	2	1
47	и в настоящее	1	1
48	мы видели что	3	1
49	в свое время	1	1
50	есть не что	1	1
51	в свою очередь	2	1
52	что в ней	1	1
53	с самого начала	3	1
54	мы знаем что	1	1
55	но ведь это	1	1
56	в новое время	1	1
57	как мы видим	1	1
58	но все эти	1	1
59	это как бы	1	1
60	только на его	1	1
61	мы видим что	1	1
62	но все же	1	1
63	в том что	1	1
