N	2gram	Vinokur_Vv_1	Myslijsy
1	потому что	14	33
2	то что	17	29
3	может быть	24	26
4	таким образом	19	24
5	в этом	34	23
6	в том	31	23
7	и в	27	23
8	и не	13	18
9	что в	11	17
10	в языке	1	16
11	при этом	3	15
12	только в	13	15
13	то же	8	14
14	в себе	4	14
15	как и	5	14
16	того что	12	14
17	так как	13	14
18	если бы	2	13
19	не было	1	12
20	а не	3	12
21	том что	26	12
22	не в	8	11
23	по себе	9	11
24	но и	5	11
25	не может	13	11
26	по отношению	4	10
27	не только	21	10
28	мы можем	2	10
29	тем что	6	10
30	что мы	2	10
31	между тем	8	9
32	не есть	4	9
33	мы не	2	8
34	то это	3	8
35	в своем	3	8
36	но в	10	8
37	заключает в	1	8
38	было бы	5	8
39	тогда когда	3	8
40	о том	15	8
41	другими словами	1	8
42	сказать что	5	8
43	отношению к	4	8
44	и т	43	7
45	мы говорим	2	7
46	очевидно что	1	7
47	как в	1	7
48	с этим	2	7
49	что это	3	7
50	на то	1	7
51	в нем	13	7
52	в силу	3	7
53	что такое	10	7
54	мысли и	2	7
55	это не	8	7
56	по мере	4	7
57	и что	4	7
58	что и	3	7
59	язык есть	1	7
60	вовсе не	6	7
61	с тем	6	7
62	понятия о	1	7
63	могут быть	4	7
64	этого слова	2	7
65	что если	2	6
66	независимо от	3	6
67	и к	1	6
68	в которой	1	6
69	известно что	1	6
70	человеческого духа	1	6
71	того как	3	6
72	когда мы	2	6
73	так и	1	6
74	тех пор	1	6
75	что не	5	6
76	заметить что	1	6
77	до тех	1	6
78	для того	21	6
79	в ряду	1	6
80	вместе с	6	6
81	и то	5	5
82	есть нечто	1	5
83	говорить о	3	5
84	не то	1	5
85	хотя и	3	5
86	бы и	2	5
87	как бы	5	5
88	так сказать	1	5
89	должно быть	2	5
90	по крайней	4	5
91	не менее	8	5
92	с ним	1	5
93	не имеет	4	5
94	образом в	1	5
95	такие же	1	5
96	есть только	2	5
97	внимание на	4	5
98	к нему	2	5
99	крайней мере	4	5
100	так что	5	5
101	есть в	1	5
102	уже в	5	5
103	только тогда	1	5
104	в его	10	5
105	для него	1	5
106	само по	3	5
107	что же	3	5
108	слова и	1	5
109	этом случае	6	5
110	все это	6	5
111	тем более	2	5
112	а в	5	5
113	во всяком	3	5
114	а между	1	4
115	сам по	1	4
116	только потому	1	4
117	есть не	3	4
118	и о	1	4
119	в истории	9	4
120	что все	1	4
121	и с	2	4
122	его в	6	4
123	с другими	1	4
124	и тем	5	4
125	мы имеем	3	4
126	точки зрения	7	4
127	в котором	4	4
128	сих пор	5	4
129	тем не	8	4
130	т п	5	4
131	и более	1	4
132	в то	5	4
133	на котором	2	4
134	того чтобы	21	4
135	в каком	1	4
136	языке и	1	4
137	же самое	2	4
138	если же	2	4
139	на вопрос	6	4
140	и та	1	4
141	можно сказать	3	4
142	что он	4	4
143	хотя бы	5	4
144	представления в	1	4
145	в одном	4	4
146	тогда как	2	4
147	от того	3	4
148	только на	3	4
149	до сих	5	4
150	а именно	6	4
151	но есть	1	4
152	быть названо	4	4
153	на основании	5	4
154	так же	3	4
155	мысли но	1	4
156	в данном	11	4
