N	3gram	Bakhtin_KF_1	Literetu
1	то же время	2	7
2	в то же	2	7
3	по отношению к	22	4
4	в том что	2	4
5	в соответствии с	2	3
6	с точки зрения	9	3
7	не может быть	11	3
8	себя в другом	1	2
9	то что я	2	2
10	какого бы то	1	2
11	то же самое	1	2
12	не в одном	1	2
13	бы то ни	2	2
14	в целом и	2	2
15	то ни было	2	2
16	а не как	1	2
17	и тем самым	1	2
18	той или иной	2	2
19	на то что	1	2
20	бытию в его	1	1
21	отношение к предмету	1	1
22	в этом его	2	1
23	это уже не	1	1
24	именно там где	1	1
25	уже не может	2	1
26	на самом деле	3	1
27	только по отношению	2	1
28	оно должно быть	1	1
29	только в том	1	1
30	я в мире	1	1
31	но не в	1	1
32	хотя бы и	1	1
33	вместе с тем	1	1
34	во второй половине	1	1
35	в котором мы	3	1
36	но это не	1	1
37	самого по себе	1	1
38	может быть только	7	1
39	и тем не	1	1
40	и то что	1	1
41	ту или иную	1	1
42	в значительной степени	1	1
43	там где есть	1	1
44	найти себя в	1	1
45	для себя а	1	1
46	а во втором	1	1
47	и только в	2	1
48	между субъектом и	1	1
49	в определенное время	1	1
50	вопрос о том	2	1
51	я не могу	1	1
52	для того чтобы	1	1
53	между тем как	3	1
54	как и всякое	1	1
55	в свою очередь	1	1
56	а не просто	1	1
57	в событии бытия	1	1
58	в конечном счете	1	1
59	тогда когда оно	1	1
60	но отнюдь не	1	1
61	к тому что	1	1
62	место в этом	1	1
63	тем не менее	2	1
64	быть не может	1	1
65	может быть в	3	1
66	это не единственное	1	1
