N	3gram	Vinokur_Vv_1	Otkroven
1	у него в	1	5
2	о человеке и	1	5
3	для того чтобы	21	3
4	и в этом	3	2
5	с разных сторон	1	2
6	не может быть	8	2
7	но и в	1	2
8	не могут быть	2	2
9	с тем что	3	2
10	человеческой природы и	1	2
11	и никогда не	1	2
12	смысле этого слова	2	1
13	в другом месте	2	1
14	как будто бы	2	1
15	по сравнению с	3	1
16	в строгом смысле	3	1
17	в эпоху возрождения	1	1
18	не в том	2	1
19	потому что в	1	1
20	человеческого духа в	1	1
21	прежде всего в	1	1
22	том что в	1	1
23	того чтобы сделать	1	1
24	в одном месте	1	1
25	в самом деле	5	1
26	том-то и дело	1	1
27	и в том	3	1
28	строгом смысле этого	1	1
29	в глубине человеческой	1	1
30	о которой в	1	1
31	в нем все	1	1
32	во всяком случае	3	1
33	сам по себе	1	1
34	в том только	1	1
35	глубине человеческой природы	1	1
36	само по себе	3	1
37	после того как	2	1
38	о том что	12	1
39	в этом отношении	3	1
40	прежде всего он	1	1
41	и в самом	3	1
42	заключает в себе	1	1
43	и прежде всего	1	1
44	каждом из них	1	1
45	в том что	12	1
46	и дело что	1	1
47	но от этого	1	1
48	и не в	1	1
49	и то что	2	1
50	в том-то и	1	1
51	привести ни к	1	1
52	в каждом из	1	1
53	люди с их	1	1
54	бы и не	1	1
55	а не только	1	1
56	от того что	1	1
57	человека к человеку	1	1
58	это было у	1	1
59	что в центре	1	1
