N	4gram	Vygotskiy__5	EvropaiC
1	совершенно так же как	1	3
2	отличаются друг от друга	1	3
3	одного и того же	3	3
4	заключается в том что	4	3
5	нога в ногу с	1	2
6	одно и то же	1	1
7	в том числе и	1	1
8	не только по отношению	1	1
9	представление о том что	1	1
10	в то время как	4	1
11	одному и тому же	2	1
12	все дело заключается в	1	1
13	но мы знаем что	1	1
14	одной и той же	1	1
15	в том что он	2	1
16	в том виде как	1	1
17	но вместе с тем	1	1
18	состоит в том что	3	1
19	только по отношению к	1	1
20	в этом последнем случае	1	1
21	в своем развитии и	1	1
22	в самом деле если	1	1
23	то же самое что	2	1
24	таким образом как бы	1	1
25	дело заключается в том	1	1
26	образом мы видим что	1	1
27	таким образом мы видим	1	1
28	и в другом случае	1	1
29	и того же процесса	1	1
30	в этом случае мы	1	1
31	в тех случаях когда	1	1
