N	2gram	Vinokur_Vv_1	Sovremen
1	не может	13	17
2	может быть	24	12
3	точки зрения	7	12
4	таким образом	19	11
5	мы не	2	9
6	в каждом	4	8
7	в этом	34	7
8	и в	27	7
9	мы можем	2	6
10	ничего не	2	6
11	как и	5	6
12	и не	13	6
13	в результате	3	6
14	только одна	1	6
15	все эти	3	5
16	что же	3	5
17	прежде всего	8	5
18	с точки	2	5
19	в дальнейшем	2	4
20	в зависимости	1	4
21	вопрос о	8	4
22	зависимости от	1	4
23	нет и	1	4
24	мы должны	1	4
25	в том	31	4
26	в целом	5	4
27	из них	3	4
28	же это	2	4
29	так как	13	4
30	мы видели	2	4
31	не только	21	4
32	с помощью	1	4
33	как бы	5	4
34	вместе с	6	4
35	это не	8	4
36	точку зрения	1	4
37	а в	5	4
38	жизни и	2	4
39	в первом	5	3
40	с самого	1	3
41	на две	1	3
42	то же	8	3
43	ясно что	9	3
44	и т.д	4	3
45	между собой	1	3
46	все же	8	3
47	еще не	4	3
48	но в	10	3
49	у каждого	1	3
50	в этой	3	3
51	в себе	4	3
52	уже в	5	3
53	как он	6	3
54	что она	3	3
55	ведь это	1	3
56	в одном	4	3
57	в конце	3	3
58	в нем	13	3
59	при этом	3	3
60	из двух	2	3
61	на этой	3	3
62	было бы	5	3
63	основной вопрос	1	3
64	а не	3	3
65	так называемых	4	3
66	мы называем	2	3
67	не в	8	3
68	все это	6	3
69	самого начала	1	3
70	одна из	2	3
71	и все	1	3
72	в системе	1	3
73	у нас	2	3
74	состоит из	1	3
75	и к	1	3
76	когда мы	2	3
77	отличается от	1	3
78	в области	4	3
79	как мы	9	2
80	свою очередь	1	2
81	и есть	3	2
82	той же	4	2
83	времени и	4	2
84	в и	4	2
85	на этом	3	2
86	и даже	5	2
87	говорить о	3	2
88	только так	2	2
89	говорим о	1	2
90	настоящее время	1	2
91	и что	4	2
92	самом деле	6	2
93	в его	10	2
94	и будет	1	2
95	ясного и	1	2
96	каждая из	1	2
97	с этим	2	2
98	дает нам	1	2
99	развития но	1	2
100	быть и	2	2
101	только один	1	2
102	в самом	12	2
103	в которой	1	2
104	или же	3	2
105	что это	3	2
106	из этих	5	2
107	с одной	4	2
108	ни одна	2	2
109	уже не	5	2
110	научного исследования	4	2
111	так сказать	1	2
112	в виде	4	2
113	на его	1	2
114	тем не	8	2
115	мы знаем	1	2
116	который как	1	2
117	всяком случае	3	2
118	у него	1	2
119	отличие от	3	2
120	но все	3	2
121	то ни	1	2
122	что все	1	2
123	значение в	2	2
124	или иной	1	2
125	на этот	4	2
126	что такое	10	2
127	он должен	1	2
128	из которых	2	2
129	в отличие	3	2
130	такого рода	2	2
131	о жизни	1	2
132	же мы	1	2
133	не менее	8	2
134	можно назвать	1	2
135	на котором	2	2
136	и именно	12	2
137	наблюдения и	1	2
138	в настоящее	1	2
139	из четырех	1	2
140	этих двух	1	2
141	еще более	1	2
142	мы видим	1	2
143	не дает	1	2
144	тот же	1	2
145	в свою	1	2
146	представлять себе	1	2
147	такие же	1	2
148	своего предмета	1	2
149	совершенно не	1	2
150	не могут	5	2
151	могут быть	4	2
152	что при	1	2
153	же самое	2	2
154	что в	11	2
155	если же	2	2
156	во всяком	3	2
157	должен быть	4	1
158	и это	6	1
159	можно говорить	1	1
160	диалектического материализма	1	1
161	человека и	1	1
162	то она	1	1
163	научной работы	3	1
164	на самом	1	1
165	ее месте	1	1
166	ведь в	1	1
167	это и	1	1
168	отношению к	4	1
169	и до	2	1
170	можно было	7	1
171	мы уже	1	1
172	есть не	3	1
173	здесь нет	4	1
174	осуществляется в	1	1
175	мы имеем	3	1
176	нуждаются в	1	1
177	же как	3	1
178	еще в	1	1
179	это только	4	1
180	что уже	3	1
181	если бы	2	1
182	и вообще	3	1
183	что иное	4	1
184	и соответственно	1	1
185	для нашей	1	1
186	и должно	1	1
187	или как	3	1
188	разобраться в	1	1
189	того же	3	1
190	мы ее	1	1
191	о том	15	1
192	в ней	3	1
193	и та	1	1
194	развития с	1	1
195	одного из	1	1
196	которую можно	1	1
197	и ставит	1	1
198	он сам	3	1
199	иное как	5	1
200	быть в	4	1
201	же время	5	1
202	в вопросах	1	1
203	бы то	1	1
204	что его	1	1
205	от другой	3	1
206	его в	6	1
207	во всех	2	1
208	в какой-нибудь	1	1
209	природы и	1	1
210	различия между	1	1
211	данном случае	5	1
212	совсем не	3	1
213	но не	7	1
214	к этому	3	1
215	можем взять	1	1
216	которых в	1	1
217	но как	2	1
218	вся эта	1	1
219	при исследовании	1	1
220	в конечном	1	1
221	во втором	2	1
222	по отношению	4	1
223	а потому	3	1
224	во всей	1	1
225	крайней мере	4	1
226	вообще и	3	1
227	к концу	1	1
228	всю эту	1	1
229	все время	1	1
230	чем же	3	1
231	независимо от	3	1
232	стороны и	3	1
233	к которому	1	1
234	значит что	1	1
235	к нему	2	1
236	известном смысле	3	1
237	один из	6	1
238	кроме того	1	1
239	с понятием	3	1
240	нужна для	1	1
241	и критика	1	1
242	одной из	3	1
243	этого можно	1	1
244	в действительности	1	1
245	увидим что	1	1
246	только в	13	1
247	в этот	2	1
248	целого и	2	1
249	может оказаться	3	1
250	за собой	3	1
251	он выражается	2	1
252	та же	1	1
253	ведущие к	1	1
254	одном случае	1	1
255	до наших	1	1
256	но ведь	4	1
257	в известном	3	1
258	остановиться на	1	1
259	и тот	1	1
260	этот вопрос	4	1
261	и у	1	1
262	и те	2	1
263	только на	3	1
264	вследствие этого	1	1
265	в начале	3	1
266	этот процесс	3	1
267	научного знания	1	1
268	а это	1	1
269	чтобы он	2	1
270	его и	1	1
271	эта система	1	1
272	пока не	1	1
273	как их	1	1
274	по существу	2	1
275	вовсе не	6	1
276	для них	1	1
277	но что	3	1
278	какой бы	2	1
279	одной и	2	1
280	заключает в	1	1
281	мало для	1	1
282	в основу	2	1
283	это конечно	1	1
284	наука не	1	1
285	по его	2	1
286	в очень	3	1
287	науки в	4	1
288	это значит	1	1
289	а затем	1	1
290	факт что	1	1
291	в другом	3	1
292	одной стороны	4	1
293	и речи	1	1
294	чем в	3	1
295	и т.п	1	1
296	развития на	1	1
297	до сих	5	1
298	физику и	1	1
299	с другой	8	1
300	может ли	1	1
301	обоих случаях	1	1
302	именно в	8	1
303	здесь в	1	1
304	уже знаем	1	1
305	этом смысле	11	1
306	и прежде	1	1
307	должен был	4	1
308	это своеобразное	1	1
309	на которые	1	1
310	цель и	1	1
311	виде и	1	1
312	к области	1	1
313	но уже	2	1
314	нужно сказать	1	1
315	не было	1	1
316	рядом с	2	1
317	она и	1	1
318	остается еще	1	1
319	все равно	1	1
320	и составляет	1	1
321	этого не	2	1
322	необходимость в	1	1
323	всегда и	1	1
324	несмотря на	2	1
325	бы ее	2	1
326	оно имеет	1	1
327	на эту	1	1
328	должно быть	2	1
329	и ничего	1	1
330	понятия и	1	1
331	историей не	1	1
332	один реальный	1	1
333	в связи	2	1
334	связей и	1	1
335	и становится	1	1
336	том что	26	1
337	в эту	1	1
338	все более	3	1
339	этом случае	6	1
340	но если	3	1
341	том как	1	1
342	и при	2	1
343	работы в	3	1
344	так же	3	1
345	и особенно	1	1
346	в такой	1	1
347	почти не	1	1
348	мы говорим	2	1
349	тот факт	1	1
350	представление о	1	1
351	направление в	2	1
352	по многим	1	1
353	от его	1	1
354	в область	1	1
355	в данном	11	1
356	для объяснения	2	1
357	в течение	5	1
358	и той	2	1
359	и цельное	1	1
360	областях в	1	1
361	науке а	1	1
362	по крайней	4	1
363	на другую	1	1
364	и более	1	1
365	так называемое	1	1
366	влечет за	2	1
367	мере в	4	1
368	этом ее	1	1
369	по себе	9	1
370	xix в	12	1
371	в своем	3	1
372	только о	2	1
373	еще раз	1	1
374	как например	5	1
375	как будет	2	1
376	сих пор	5	1
377	с ним	1	1
378	что с	3	1
