N	2gram	Bakhtin_sl_2	Vladivir
1	и в	39	31
2	не только	24	24
3	но и	21	19
4	то что	2	18
5	и не	22	17
6	и даже	7	15
7	у него	3	15
8	в этом	16	14
9	том что	5	14
10	и с	9	14
11	что в	3	14
12	но в	6	12
13	в его	7	12
14	что он	2	12
15	с его	7	11
16	о том	2	11
17	в том	5	11
18	также и	2	10
19	он не	2	10
20	как мы	7	9
21	никогда не	7	9
22	в конце	1	9
23	только в	5	9
24	даже и	4	9
25	а в	4	9
26	и по	1	8
27	в то	4	8
28	в дальнейшем	2	8
29	так как	4	8
30	кроме того	2	7
31	мы уже	2	7
32	как это	3	7
33	и его	33	7
34	для него	7	7
35	об этом	1	7
36	о нем	2	7
37	уже в	2	7
38	как раз	1	7
39	сказать что	3	7
40	того же	1	6
41	то же	4	6
42	то он	1	6
43	и к	6	6
44	это было	1	6
45	и сам	1	6
46	так и	15	6
47	и что	1	6
48	можно сказать	1	6
49	в качестве	1	6
50	может быть	37	6
51	и потому	7	6
52	не может	20	6
53	к этому	1	6
54	не был	2	5
55	но как	2	5
56	на то	1	5
57	не в	9	5
58	со своим	9	5
59	что и	3	5
60	вовсе не	10	5
61	но он	2	5
62	не было	2	5
63	все это	16	5
64	и от	3	5
65	а также	3	5
66	с ним	7	5
67	жизни и	6	5
68	в своих	1	5
69	что его	1	4
70	совсем не	1	4
71	в этой	1	4
72	в истории	11	4
73	в своем	6	4
74	хотя и	2	4
75	и как	3	4
76	в нашем	2	4
77	в себе	2	4
78	как он	2	4
79	в нем	19	4
80	как и	6	4
81	несмотря на	1	4
82	еще в	1	4
83	в своей	1	4
84	мысли и	1	4
85	дело в	2	4
86	в нас	1	4
87	же время	4	4
88	к ней	2	4
89	во всем	4	4
90	да и	1	4
91	никак не	1	4
92	к нему	3	4
93	по своей	1	4
94	один из	5	4
95	себя в	8	4
96	в особенности	3	4
97	и все	5	4
98	и особенно	2	4
99	для нас	5	4
100	он как	1	3
101	но она	2	3
102	и на	4	3
103	то мы	1	3
104	но не	6	3
105	отношение к	4	3
106	и речи	2	3
107	за пределы	2	3
108	отнюдь не	1	3
109	как в	13	3
110	все же	6	3
111	более или	2	3
112	в целом	1	3
113	он в	1	3
114	все эти	6	3
115	но на	1	3
116	на его	2	3
117	то есть	26	3
118	из своего	1	3
119	или менее	2	3
120	но это	3	3
121	в отношении	4	3
122	и притом	1	3
123	на него	2	3
124	ничего не	1	3
125	всей жизни	1	3
126	таким образом	8	3
127	здесь не	4	3
128	к его	2	3
129	и здесь	2	3
130	человека как	1	3
131	мы увидим	2	3
132	и действительно	1	3
133	уже не	5	3
134	только на	1	3
135	в виде	2	3
136	с этими	1	3
137	с другой	5	3
138	был достаточно	1	3
139	в связи	2	3
140	вместе с	2	3
141	к своему	9	3
142	толстого в	1	3
143	другой стороны	1	3
144	но этот	1	3
145	и т	35	2
146	одним из	2	2
147	это и	2	2
148	и до	1	2
149	и за	1	2
150	той же	3	2
151	хотя бы	3	2
152	еще не	7	2
153	он сам	1	2
154	первый план	1	2
155	и личность	1	2
156	в чем	3	2
157	не мешало	1	2
158	было вполне	1	2
159	его на	1	2
160	как к	3	2
161	конечно не	5	2
162	но его	1	2
163	что она	1	2
164	больше всего	1	2
165	при этом	7	2
166	время и	1	2
167	т д	2	2
168	и еще	1	2
169	своего времени	1	2
170	на этом	3	2
171	лишь в	3	2
172	в свой	2	2
173	ни в	4	2
174	в них	6	2
175	на основании	1	2
176	быть также	2	2
177	на первый	1	2
178	точки зрения	8	2
179	что такое	1	2
180	место в	1	2
181	тем не	1	2
182	уже сказали	1	2
183	для нее	1	2
184	даже в	2	2
185	не менее	4	2
186	дело не	1	2
187	которого он	2	2
188	того чтобы	2	2
189	очень мало	1	2
190	для того	2	2
191	и о	1	2
192	его была	1	2
193	не столько	3	2
194	глубоко и	3	2
195	образом в	1	2
196	на все	1	2
197	но мы	2	2
198	которой мы	1	2
199	а именно	2	2
200	знания и	1	2
201	того что	1	2
202	всякого рода	1	2
203	с ними	5	2
204	всяком случае	2	2
205	никак нельзя	1	2
206	одной из	1	2
207	и философии	1	2
208	а это	1	2
209	и других	4	2
210	и никогда	1	2
211	тем что	1	2
212	не были	1	2
213	даже не	1	2
214	и затем	2	2
215	именно так	1	2
216	с которым	2	2
217	чем не	2	2
218	этот свой	1	2
219	к себе	1	2
220	он говорит	1	2
221	несколько слов	2	2
222	этом и	1	2
223	нисколько не	1	2
224	и для	5	2
225	указать на	1	2
226	просто не	2	2
227	в результате	2	2
228	речи с	1	2
229	особого рода	1	2
230	от него	5	2
231	и ни	2	2
232	но зато	1	2
